hour_index,day_index,hour_slot,hour_utc,hour,month,method,nugget_mode,tile_id,tile_y,tile_x,tile_lat_min,tile_lat_max,tile_lon_min,tile_lon_max,tile_center_lat,tile_center_lon,sigmasq,range_lat,range_lon,smooth,nugget,phi1,phi2,phi3,sigma,success,loss,message,n_eval,raw_params,nll,n_restarts,fit_engine,fit_method,n,n_fit,n_initial_fit,outlier_whitened_threshold,n_qc_initial_fit,n_qc_removed,n_qc_fit,qc_max_abs_whitened,qc_refit,qc_initial_success,qc_precomputed,qc_initial_method,qc_tile_y,qc_tile_x,qc_tile_max_points,qc_tile_workers,qc_tiles_fit,qc_tiles_failed,qc_tiles_too_small,qc_global_removed,qc_global_max_abs_whitened,qc_global_message
65,9,1,1,2024-07-09T01:00:00Z,2024-07,full_likelihood,free,0,0,0,-2.988000,-1.745000,121.046000,123.534500,-2.366500,122.290250,9.893040,0.334943,0.418468,0.685012,1.734228,23.641086,2.389668,1.560928,3.145320,True,1.995280,finite_loss,17,"[3.1629861104429233, 0.8711546482357395, 0.44528045495339713, -1.05019108925792, 0.5505626089427191]",1975.327616,1,torch_full_bessel_autograd,full_likelihood,990,990,990,10.000000,990,0,990,5.731016,False,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,0,5.731016,
65,9,1,1,2024-07-09T01:00:00Z,2024-07,full_likelihood,free,1,0,1,-2.988000,-1.745000,123.534500,126.023000,-2.366500,124.778750,6.207994,0.130409,0.167998,0.342526,0.000001,36.952831,5.952459,1.659550,2.491585,True,1.970239,finite_loss,43,"[3.609642262973117, 1.7838044662280352, 0.5065465927480376, -1.9981390434506632, -14.37089847427407]",2283.506727,1,torch_full_bessel_autograd,full_likelihood,1159,1159,1159,10.000000,1159,0,1159,5.606559,False,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,0,5.731016,
65,9,1,1,2024-07-09T01:00:00Z,2024-07,full_likelihood,free,2,0,2,-2.988000,-1.745000,126.023000,128.511500,-2.366500,127.267250,6.123450,0.132041,0.168098,0.439485,0.612046,36.427893,5.948916,1.620707,2.474561,True,2.011066,finite_loss,32,"[3.5953347626925996, 1.7832090892589778, 0.4828622202963332, -1.6658853780747276, -0.49094748997643617]",2274.516000,1,torch_full_bessel_autograd,full_likelihood,1131,1131,1131,10.000000,1131,0,1131,4.104814,False,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,0,5.731016,
65,9,1,1,2024-07-09T01:00:00Z,2024-07,full_likelihood,free,3,0,3,-2.988000,-1.745000,128.511500,131.000000,-2.366500,129.755750,5.525807,0.150408,0.176328,0.548957,0.286972,31.338169,5.671238,1.374370,2.350704,True,1.792922,finite_loss,24,"[3.4448368107730243, 1.7354074419342937, 0.3179957601048121, -1.363599280295117, -1.2483702695998296]",1954.284865,1,torch_full_bessel_autograd,full_likelihood,1090,1090,1090,10.000000,1090,0,1090,4.064348,False,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,0,5.731016,
65,9,1,1,2024-07-09T01:00:00Z,2024-07,full_likelihood,free,4,1,0,-1.745000,-0.502000,121.046000,123.534500,-1.123500,122.290250,9.507667,0.306480,0.254438,0.344965,0.000001,37.367328,3.930231,0.689222,3.083450,True,1.971655,finite_loss,51,"[3.6207967441828672, 1.3686982485298393, -0.37219175670437926, -1.9887067107511966, -13.837337988821012]",2095.869043,1,torch_full_bessel_autograd,full_likelihood,1063,1063,1063,10.000000,1063,0,1063,4.111404,False,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,0,5.731016,
65,9,1,1,2024-07-09T01:00:00Z,2024-07,full_likelihood,free,5,1,1,-1.745000,-0.502000,123.534500,126.023000,-1.123500,124.778750,11.346682,0.397379,0.486322,0.266055,0.000002,23.331629,2.056251,1.497742,3.368484,True,2.078052,finite_loss,54,"[3.1498098968995016, 0.7208845646929161, 0.4039584619096935, -2.3359937301206504, -13.333601114406646]",1938.822322,1,torch_full_bessel_autograd,full_likelihood,933,933,933,10.000000,933,0,933,4.487852,False,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,0,5.731016,
65,9,1,1,2024-07-09T01:00:00Z,2024-07,full_likelihood,free,6,1,2,-1.745000,-0.502000,126.023000,128.511500,-1.123500,127.267250,14.154530,0.491971,0.506993,0.410717,0.000005,27.918590,1.972414,1.062002,3.762251,True,1.858797,finite_loss,56,"[3.3292927884828782, 0.6792580526332257, 0.06015574569865348, -1.7564820599366742, -12.167241868067974]",1617.153315,1,torch_full_bessel_autograd,full_likelihood,870,870,870,10.000000,870,0,870,4.292802,False,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,0,5.731016,
65,9,1,1,2024-07-09T01:00:00Z,2024-07,full_likelihood,free,7,1,3,-1.745000,-0.502000,128.511500,131.000000,-1.123500,129.755750,5.004575,0.137277,0.142260,0.330272,0.000001,35.179055,7.029379,1.073913,2.237091,True,1.889639,finite_loss,44,"[3.5604508847495118, 1.9500983600872583, 0.0713087940321347, -2.046597010985605, -13.826541245268785]",1925.542062,1,torch_full_bessel_autograd,full_likelihood,1019,1019,1019,10.000000,1019,0,1019,4.784234,False,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,0,5.731016,
65,9,1,1,2024-07-09T01:00:00Z,2024-07,full_likelihood,free,8,2,0,-0.502000,0.741000,121.046000,123.534500,0.119500,122.290250,4.805585,0.178427,0.153078,0.393153,0.000001,31.393121,6.532632,0.736041,2.192165,True,1.747175,finite_loss,45,"[3.4465887864455023, 1.87680991899167, -0.3064694833874411, -1.8147719580063426, -14.367009187508492]",1955.089324,1,torch_full_bessel_autograd,full_likelihood,1119,1119,1119,10.000000,1119,0,1119,4.360129,False,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,0,5.731016,
65,9,1,1,2024-07-09T01:00:00Z,2024-07,full_likelihood,free,9,2,1,-0.502000,0.741000,123.534500,126.023000,0.119500,124.778750,8.986465,0.265419,0.338401,0.345022,0.000002,26.555707,2.955078,1.625547,2.997743,True,1.930903,finite_loss,47,"[3.2792446640063133, 1.0835250701507406, 0.48584464886501205, -1.9884860672434361, -13.380979223856016]",2050.618787,1,torch_full_bessel_autograd,full_likelihood,1062,1062,1062,10.000000,1062,0,1062,4.506542,False,True,True,vecchia_qc_tiles_4x4_cluster_4x4_cond2,4,4,0,4,16,0,0,0,5.731016,
