variant,label,smooth,nugget,source_model_variant,source_vecchia_loss_per_obs,est_sigmasq,est_range_lat,est_range_lon,est_range_time,est_advec_lat,est_advec_lon,est_nugget,n_obs,mean_rank,residual_df,n_eigen,eigen_threshold,min_kept_eigen,max_kept_eigen,sum_score2,score2_per_df,loss,loss_per_obs,max_abs_bridge,max_abs_bridge_scaled,brown_bridge_band_width,cov_seconds,eig_seconds,beta_intercept,beta_lat_centered,beta_hour_1,beta_hour_2,beta_hour_3,beta_hour_4,beta_hour_5,beta_hour_6,beta_hour_7,total_seconds,subset_mode,tile_grid,tile_row,tile_col,maxmin_points_per_hour,n_hours
s05_n1_advec_true,Matern s=0.5 nugget1 advec true,0.50000000,1.00000000,matern_s05_n1_advec_true,1.12637400,9.59868500,0.19101300,0.28788000,1.91127800,0.08000000,-0.20000000,1.00000000,3113,9,3104.00000000,3113,0.00000001,4.28537549,139.39420129,3079.85818640,0.99222235,7692.59153748,2.47111839,0.00983831,0.38758433,0.03447358,0.12459016,5.68229485,260.10515174,1.12753239,0.02293245,0.20208673,0.61495662,0.87931079,0.47217362,0.19437682,0.04053438,5.83271408,maxmin,5x5,3,3,400,8
s05_n1_advec_zero,Matern s=0.5 nugget1 advec zero,0.50000000,1.00000000,matern_s05_n1_advec_zero,1.14799800,9.13014000,0.18066400,0.27350700,0.93266900,0.00000000,0.00000000,1.00000000,3113,9,3104.00000000,3113,0.00000001,5.15274888,79.52817969,3142.90233621,1.01253297,7808.40195531,2.50832058,0.01636306,0.64463000,0.03447358,0.11733794,1.56201696,260.09961628,1.14228011,0.05853683,0.25907818,0.69079211,0.93559767,0.47927240,0.15001446,0.00905309,1.71177697,maxmin,5x5,3,3,400,8
s05_n1_advec_large,Matern s=0.5 nugget1 advec 0.5/0.5,0.50000000,1.00000000,matern_s05_n1_advec_large,1.14077600,9.42900700,0.18702300,0.28234000,1.88159600,0.50000000,0.50000000,1.00000000,3113,9,3104.00000000,3113,0.00000001,4.55874393,109.64797153,3944.53792203,1.27079186,8151.32950405,2.61848041,0.27114615,10.68191949,0.03447358,0.13162804,1.54925537,260.09590941,1.11180317,-0.05756492,0.17676488,0.62045879,0.91952417,0.44873588,0.12532969,0.01617098,1.71740699,maxmin,5x5,3,3,400,8
