date,mode,training_eigenvalue,training_g_score,heldout_null_variance,heldout_true_variance,projection,squared_projection
2024-07-19,1,1.28552321048,0.0171787036574,1,1.28130233403,0.352838505873,0.124495011227
2024-07-19,2,1.28462858257,0.0170794734027,1,1.2779294004,-1.28982343784,1.6636445008
2024-07-19,3,1.27751994138,0.0162996443579,1,1.26384097183,1.49758559773,2.24276262252
2024-07-19,4,1.26043271973,0.0144888146841,1,1.25193743778,0.383847024383,0.147338538128
2024-07-19,5,0.782700903994,0.0138527735987,1,0.800356234144,-0.816982263761,0.6674600193
2024-07-19,6,1.25412027426,0.0138429620806,1,1.25147714592,-0.151879903037,0.0230675049465
2024-07-19,7,1.24989089298,0.0134173155452,1,1.24223214289,0.75327637941,0.567425303776
2024-07-19,8,0.787350000561,0.0132162012322,1,0.800146767297,1.03160125226,1.06420114367
2024-07-19,9,1.24630717547,0.0130611281095,1,1.23554752565,-0.98844392605,0.977021394945
2024-07-19,10,1.24254749754,0.0126918959429,1,1.23504767394,-0.163089979525,0.0265983414214
2024-07-19,11,0.80258758449,0.011250937436,1,0.819365491926,-0.165234247704,0.0273023566142
2024-07-19,12,0.803444536891,0.0111458299858,1,0.812543812042,-0.441031788265,0.19450903826
2025-07-06,1,1.28552321048,0.0171787036574,1,1.27729173093,0.0779175105801,0.006071138455
2025-07-06,2,1.28462858257,0.0170794734027,1,1.2755229715,1.54426782544,2.38476311668
2025-07-06,3,1.27751994138,0.0162996443579,1,1.25034486797,0.724575631519,0.525009845791
2025-07-06,4,1.26043271973,0.0144888146841,1,1.24774191335,0.485305207223,0.235521144157
2025-07-06,5,0.782700903994,0.0138527735987,1,0.808429917775,-0.117713009072,0.0138563525047
2025-07-06,6,1.25412027426,0.0138429620806,1,1.24505407478,-0.703194928194,0.494483107038
2025-07-06,7,1.24989089298,0.0134173155452,1,1.23643065652,-1.45474200787,2.11627430947
2025-07-06,8,0.787350000561,0.0132162012322,1,0.801998290324,-0.727683980241,0.5295239751
2025-07-06,9,1.24630717547,0.0130611281095,1,1.23531731573,1.42905972496,2.0422116975
2025-07-06,10,1.24254749754,0.0126918959429,1,1.22906405619,1.22317732197,1.49616276099
2025-07-06,11,0.80258758449,0.011250937436,1,0.822443494295,0.199640945338,0.0398565070553
2025-07-06,12,0.803444536891,0.0111458299858,1,0.815565335659,1.35014943529,1.82290349761
