day,cov_name,lr,stepsize,lat_lon_resolution,params,time,epoch
2025-07-13,80,50.0,0.02,Vecc_b2,"[38.26384190028464, 4.383160873587311, 7.915940539181715, -0.13390751688379496, 0.12587943403124174, 0.05398327631378874, 2.3345570242724736, 594.5525312431396]",16.484419107437134,2499
2025-07-13,80,50.0,0.02,Vecc_testing,"[38.263841658195425, 4.382971404197258, 7.916036396486501, -0.13394220462965123, 0.12583300919046514, 0.054056254098035765, 2.334631258774499, 594.5525326235228]",16.045793771743774,2499
2025-07-13,80,50.0,0.02,full_like,"[30.693973517049166, 3.624664416605537, 6.371020686115225, -0.13373198533891356, 0.12065833071141042, 0.06531230816842, 2.3946651863368156, 596.2762322347785]",10.075401067733765,1562
