maxmin_block_rank,local_eigen_rank,y2,expected_increment,n_scores,n_hours,conditional_eigenvalue_mean,conditional_eigenvalue_median,leverage_mean,index,order_key,cumsum_y2,expected,frac_index,scaled_cumsum,scaled_expected,band_lower,band_upper,scaled_band_lower,scaled_band_upper
2,9,11.475696,7.999985,8,8,4.025580,4.031876,0.000002,37,37,398.149315,279.628605,0.001957,0.002787,0.001957,-446.322072,1005.579282,-0.003124,0.007039
2,10,2.748509,7.999939,8,8,3.714491,3.682114,0.000008,38,38,400.897824,287.628544,0.002013,0.002806,0.002013,-438.322133,1013.579221,-0.003068,0.007095
2,11,3.101409,7.999759,8,8,3.651882,3.636593,0.000030,39,39,403.999234,295.628303,0.002069,0.002828,0.002069,-430.322374,1021.578980,-0.003012,0.007151
2,12,6.065568,7.999990,8,8,3.594299,3.591431,0.000001,40,40,410.064802,303.628293,0.002125,0.002870,0.002125,-422.322384,1029.578970,-0.002956,0.007207
2,13,3.573983,7.999999,8,8,3.401257,3.387488,0.000000,41,41,413.638784,311.628293,0.002181,0.002895,0.002181,-414.322384,1037.578970,-0.002900,0.007263
2,14,5.936045,7.999996,8,8,3.200321,3.186337,0.000000,42,42,419.574829,319.628289,0.002237,0.002937,0.002237,-406.322388,1045.578966,-0.002844,0.007319
2,15,4.071438,7.999995,8,8,3.126885,3.111132,0.000001,43,43,423.646267,327.628285,0.002293,0.002965,0.002293,-398.322392,1053.578962,-0.002788,0.007375
2,16,2.097305,8.000000,8,8,2.931343,2.924025,0.000000,44,44,425.743573,335.628284,0.002349,0.002980,0.002349,-390.322393,1061.578961,-0.002732,0.007431
3,1,12.776026,7.865370,8,8,36.096810,28.269261,0.016829,45,45,438.519598,343.493654,0.002404,0.003070,0.002404,-382.457023,1069.444331,-0.002677,0.007486
3,2,9.782045,7.999534,8,8,10.845271,10.259353,0.000058,46,46,448.301644,351.493188,0.002460,0.003138,0.002460,-374.457489,1077.443865,-0.002621,0.007542
3,3,17.250795,7.995708,8,8,5.908939,5.782505,0.000537,47,47,465.552439,359.488896,0.002516,0.003259,0.002516,-366.461781,1085.439573,-0.002565,0.007598
3,4,46.777698,7.999197,8,8,5.019990,5.300087,0.000100,48,48,512.330137,367.488092,0.002572,0.003586,0.002572,-358.462585,1093.438769,-0.002509,0.007654
3,5,17.648219,7.999846,8,8,3.910518,4.176547,0.000019,49,49,529.978355,375.487939,0.002628,0.003710,0.002628,-350.462738,1101.438616,-0.002453,0.007710
3,6,4.009772,7.999965,8,8,3.434040,3.746429,0.000004,50,50,533.988128,383.487903,0.002684,0.003738,0.002684,-342.462774,1109.438580,-0.002397,0.007766
3,7,10.539030,7.999982,8,8,3.143990,3.455470,0.000002,51,51,544.527157,391.487886,0.002740,0.003812,0.002740,-334.462791,1117.438563,-0.002341,0.007822
3,8,4.789013,7.999999,8,8,2.841149,3.077583,0.000000,52,52,549.316170,399.487885,0.002796,0.003845,0.002796,-326.462792,1125.438562,-0.002285,0.007878
4,1,3.662789,7.886868,8,8,37.436164,30.465115,0.014141,53,53,552.978959,407.374753,0.002852,0.003871,0.002852,-318.575924,1133.325430,-0.002230,0.007933
4,2,1.643173,7.999684,8,8,11.327836,11.678358,0.000040,54,54,554.622132,415.374437,0.002908,0.003882,0.002908,-310.576240,1141.325114,-0.002174,0.007989
4,3,10.557204,7.997480,8,8,5.967169,6.260439,0.000315,55,55,565.179336,423.371917,0.002963,0.003956,0.002963,-302.578760,1149.322594,-0.002118,0.008045
4,4,14.644507,7.999411,8,8,4.781330,4.447360,0.000074,56,56,579.823844,431.371328,0.003019,0.004059,0.003019,-294.579349,1157.322005,-0.002062,0.008101
4,5,16.772039,7.999845,8,8,3.527718,3.143351,0.000019,57,57,596.595883,439.371173,0.003075,0.004176,0.003075,-286.579504,1165.321850,-0.002006,0.008157
4,6,15.860729,7.999991,8,8,3.152207,2.780623,0.000001,58,58,612.456612,447.371163,0.003131,0.004287,0.003131,-278.579514,1173.321840,-0.001950,0.008213
4,7,9.589314,7.999986,8,8,2.894938,2.554302,0.000002,59,59,622.045926,455.371149,0.003187,0.004354,0.003187,-270.579528,1181.321826,-0.001894,0.008269
4,8,17.680285,8.000000,8,8,2.675537,2.427535,0.000000,60,60,639.726210,463.371149,0.003243,0.004478,0.003243,-262.579528,1189.321826,-0.001838,0.008325
5,1,4.658290,7.920864,8,8,56.931277,43.197247,0.009892,61,61,644.384500,471.292013,0.003299,0.004511,0.003299,-254.658664,1197.242690,-0.001783,0.008380
5,2,4.345323,7.999792,8,8,13.905918,13.628026,0.000026,62,62,648.729823,479.291805,0.003355,0.004541,0.003355,-246.658872,1205.242482,-0.001727,0.008436
5,3,3.784549,7.998956,8,8,13.248909,13.057952,0.000131,63,63,652.514371,487.290761,0.003411,0.004567,0.003411,-238.659916,1213.241438,-0.001671,0.008492
5,4,5.300264,7.999993,8,8,7.270361,7.250951,0.000001,64,64,657.814636,495.290753,0.003467,0.004605,0.003467,-230.659924,1221.241430,-0.001615,0.008548
