maxmin_block_rank,local_eigen_rank,y2,expected_increment,n_scores,n_hours,conditional_eigenvalue_mean,conditional_eigenvalue_median,leverage_mean,index,order_key,cumsum_y2,expected,frac_index,scaled_cumsum,scaled_expected,band_lower,band_upper,scaled_band_lower,scaled_band_upper
811,1,3.300678,7.998997,8,8,20.598261,19.984959,0.000125,12695,12695,103669.917134,100083.595833,0.700556,0.725660,0.700556,99357.645156,100809.546510,0.695475,0.705638
811,2,1.155823,7.999993,8,8,9.370691,9.179234,0.000001,12696,12696,103671.072957,100091.595826,0.700612,0.725668,0.700612,99365.645149,100817.546503,0.695531,0.705694
811,3,4.557266,7.999997,8,8,8.167047,8.234012,0.000000,12697,12697,103675.630223,100099.595823,0.700668,0.725700,0.700668,99373.645146,100825.546500,0.695587,0.705750
811,4,7.891677,7.999988,8,8,5.876051,5.774720,0.000001,12698,12698,103683.521900,100107.595811,0.700724,0.725755,0.700724,99381.645134,100833.546488,0.695643,0.705806
811,5,5.719191,7.999987,8,8,5.301528,5.132531,0.000002,12699,12699,103689.241091,100115.595798,0.700780,0.725795,0.700780,99389.645121,100841.546475,0.695699,0.705862
811,6,4.548601,7.999991,8,8,4.680220,4.647475,0.000001,12700,12700,103693.789692,100123.595790,0.700836,0.725827,0.700836,99397.645113,100849.546467,0.695755,0.705918
811,7,7.526828,7.999998,8,8,4.301039,4.185062,0.000000,12701,12701,103701.316520,100131.595788,0.700892,0.725879,0.700892,99405.645111,100857.546465,0.695811,0.705974
811,8,7.951385,8.000000,8,8,4.021407,3.997586,0.000000,12702,12702,103709.267905,100139.595787,0.700948,0.725935,0.700948,99413.645110,100865.546464,0.695867,0.706030
811,9,3.822214,8.000000,8,8,3.805685,3.763365,0.000000,12703,12703,103713.090120,100147.595787,0.701004,0.725962,0.701004,99421.645110,100873.546464,0.695923,0.706086
811,10,0.566041,8.000000,8,8,3.531215,3.460717,0.000000,12704,12704,103713.656161,100155.595787,0.701060,0.725966,0.701060,99429.645110,100881.546464,0.695979,0.706142
811,11,15.505139,7.999999,8,8,3.453003,3.423348,0.000000,12705,12705,103729.161300,100163.595786,0.701116,0.726074,0.701116,99437.645109,100889.546463,0.696035,0.706198
811,12,5.223466,8.000000,8,8,3.421283,3.411534,0.000000,12706,12706,103734.384766,100171.595786,0.701172,0.726111,0.701172,99445.645109,100897.546463,0.696091,0.706254
811,13,4.189189,8.000000,8,8,3.259436,3.241414,0.000000,12707,12707,103738.573955,100179.595785,0.701228,0.726140,0.701228,99453.645108,100905.546462,0.696147,0.706310
