variant,rank_index,eigenvalue,score2,expected_increment,cumsum_score2,cumsum_expected,frac_expected,scaled_cumsum,bridge,band_lower,band_upper
s10_n1,1,426.73920882,0.01244194,0.49735870,0.01244194,0.49735870,0.00009131,0.00000228,-0.00008902,-0.02593236,0.02611498
s10_n1,2,380.34238787,0.53400118,0.82319752,0.54644312,1.32055621,0.00024244,0.00010032,-0.00014212,-0.02578123,0.02626611
s10_n1,3,350.98056066,2.76588072,0.78752757,3.31232384,2.10808378,0.00038702,0.00060810,0.00022108,-0.02563665,0.02641069
s10_n1,4,339.28590692,1.91437628,0.89542706,5.22670012,3.00351085,0.00055141,0.00095956,0.00040815,-0.02547226,0.02657508
s10_n1,5,311.96145552,1.69509141,0.98964256,6.92179153,3.99315341,0.00073309,0.00127075,0.00053766,-0.02529058,0.02675676
s10_n1,6,299.95676556,1.94603679,0.92666799,8.86782832,4.91982140,0.00090322,0.00162802,0.00072480,-0.02512045,0.02692689
s10_n1,7,287.05653705,0.26759271,0.57590594,9.13542103,5.49572734,0.00100895,0.00167715,0.00066820,-0.02501472,0.02703262
s10_n1,8,284.55189089,1.30957063,0.92843348,10.44499165,6.42416082,0.00117939,0.00191757,0.00073817,-0.02484428,0.02720306
s10_n1,9,275.43262953,0.72338103,0.95964132,11.16837268,7.38380214,0.00135557,0.00205037,0.00069480,-0.02466810,0.02737924
s10_n1,10,263.92054092,1.16293265,0.94317605,12.33130533,8.32697819,0.00152873,0.00226387,0.00073514,-0.02449494,0.02755240
s10_n1,11,247.99122058,0.15953559,0.95469668,12.49084092,9.28167487,0.00170400,0.00229316,0.00058916,-0.02431967,0.02772767
s10_n1,12,246.95774823,7.05016276,0.93596613,19.54100368,10.21764100,0.00187583,0.00358748,0.00171165,-0.02414784,0.02789950
s10_n1,13,233.42810115,3.22441753,0.84878469,22.76542121,11.06642569,0.00203166,0.00417944,0.00214779,-0.02399201,0.02805533
s10_n1,14,231.27989211,0.92838751,0.93636857,23.69380872,12.00279426,0.00220356,0.00434988,0.00214632,-0.02382011,0.02822723
s10_n1,15,224.88500067,1.01746495,0.93965068,24.71127367,12.94244494,0.00237607,0.00453668,0.00216061,-0.02364760,0.02839974
s10_n1,16,221.25644519,1.15641447,0.96589841,25.86768814,13.90834335,0.00255340,0.00474898,0.00219558,-0.02347027,0.02857707
s10_n1,17,215.52588153,3.46815141,0.96185715,29.33583955,14.87020050,0.00272998,0.00538569,0.00265571,-0.02329369,0.02875365
s10_n1,18,208.14519159,2.29102616,0.96170104,31.62686570,15.83190154,0.00290654,0.00580629,0.00289975,-0.02311713,0.02893021
s10_n1,19,201.81178304,1.56309908,0.97323661,33.18996479,16.80513815,0.00308521,0.00609326,0.00300805,-0.02293846,0.02910888
s10_n1,20,199.32851031,4.04699654,0.95045407,37.23696133,17.75559221,0.00325970,0.00683623,0.00357653,-0.02276397,0.02928337
s10_n1,21,195.06927273,0.19011836,0.97931706,37.42707969,18.73490928,0.00343949,0.00687114,0.00343165,-0.02258418,0.02946316
s10_n1,22,194.84344277,0.15547199,0.98828862,37.58255168,19.72319790,0.00362093,0.00689968,0.00327875,-0.02240274,0.02964460
s10_n1,23,187.50609701,1.31707163,0.99334314,38.89962331,20.71654104,0.00380329,0.00714148,0.00333818,-0.02222038,0.02982696
s10_n1,24,178.27253342,0.26838228,0.88989163,39.16800559,21.60643267,0.00396667,0.00719075,0.00322408,-0.02205700,0.02999034
s10_n1,25,176.85712209,3.70956309,0.97883053,42.87756868,22.58526320,0.00414637,0.00787178,0.00372541,-0.02187730,0.03017004
s10_n1,26,175.62626627,0.06272835,0.96708242,42.94029704,23.55234562,0.00432391,0.00788329,0.00355938,-0.02169976,0.03034758
s10_n1,27,173.36121432,0.58341209,0.99098547,43.52370913,24.54333109,0.00450584,0.00799040,0.00348456,-0.02151783,0.03052951
s10_n1,28,169.76102271,0.07692916,0.96408384,43.60063829,25.50741493,0.00468284,0.00800452,0.00332169,-0.02134083,0.03070651
s10_n1,29,168.75119367,2.63982881,0.90681782,46.24046710,26.41423275,0.00484932,0.00848916,0.00363984,-0.02117435,0.03087299
s10_n1,30,167.06651581,1.01908010,0.89864164,47.25954720,27.31287439,0.00501430,0.00867625,0.00366196,-0.02100937,0.03103797
s10_n1,31,161.87347965,0.41311080,0.98422736,47.67265801,28.29710174,0.00519499,0.00875209,0.00355711,-0.02082868,0.03121866
s10_n1,32,159.82184860,0.88918260,0.94834068,48.56184061,29.24544243,0.00536909,0.00891534,0.00354625,-0.02065458,0.03139276
s10_n1,33,152.98135764,0.00074177,0.98225624,48.56258238,30.22769867,0.00554942,0.00891547,0.00336605,-0.02047425,0.03157309
s10_n1,34,152.52818427,1.66712690,0.96578396,50.22970928,31.19348262,0.00572673,0.00922154,0.00349481,-0.02029694,0.03175040
s10_n1,35,151.69414083,0.34174300,0.99492137,50.57145229,32.18840400,0.00590938,0.00928428,0.00337489,-0.02011429,0.03193305
s10_n1,36,150.70260885,6.29987085,0.99611675,56.87132314,33.18452075,0.00609226,0.01044085,0.00434860,-0.01993141,0.03211593
s10_n1,37,148.28979152,0.13456292,0.99264783,57.00588605,34.17716858,0.00627449,0.01046556,0.00419106,-0.01974918,0.03229816
s10_n1,38,143.37849605,1.27842713,0.97985789,58.28431319,35.15702647,0.00645438,0.01070026,0.00424588,-0.01956929,0.03247805
s10_n1,39,139.39527580,0.00000707,0.99058861,58.28432026,36.14761509,0.00663624,0.01070026,0.00406402,-0.01938743,0.03265991
s10_n1,40,136.57492289,0.01021517,0.95071653,58.29453544,37.09833162,0.00681078,0.01070214,0.00389135,-0.01921289,0.03283445
s10_n1,41,133.97167210,0.00098115,0.81212483,58.29551658,37.91045645,0.00695988,0.01070232,0.00374244,-0.01906379,0.03298355
s10_n1,42,133.85899923,0.51936308,0.95300707,58.81487966,38.86346351,0.00713484,0.01079766,0.00366283,-0.01888883,0.03315851
s10_n1,43,132.42326618,0.87189842,0.96722846,59.68677808,39.83069197,0.00731241,0.01095773,0.00364533,-0.01871126,0.03333608
s10_n1,44,131.44242516,0.33070483,0.98462547,60.01748291,40.81531745,0.00749317,0.01101845,0.00352527,-0.01853050,0.03351684
s10_n1,45,131.21484820,0.03031760,0.98952944,60.04780052,41.80484689,0.00767484,0.01102401,0.00334917,-0.01834883,0.03369851
s10_n1,46,129.39578848,0.00405719,0.97311461,60.05185771,42.77796150,0.00785349,0.01102476,0.00317127,-0.01817018,0.03387716
s10_n1,47,127.24208291,0.57566121,0.98091550,60.62751892,43.75887700,0.00803357,0.01113044,0.00309687,-0.01799010,0.03405724
s10_n1,48,123.87085025,0.58035847,0.98538120,61.20787739,44.74425821,0.00821448,0.01123699,0.00302251,-0.01780919,0.03423815
s10_n1,49,120.35469959,3.25386255,0.97669406,64.46173994,45.72095227,0.00839379,0.01183436,0.00344057,-0.01762988,0.03441746
s10_n1,50,120.34292347,0.28256225,0.99473604,64.74430219,46.71568831,0.00857641,0.01188623,0.00330982,-0.01744726,0.03460008
s10_n1,51,119.46069977,0.06579199,0.99544539,64.81009418,47.71113370,0.00875916,0.01189831,0.00313915,-0.01726451,0.03478283
s10_n1,52,117.88251426,0.21204234,0.99439987,65.02213651,48.70553357,0.00894172,0.01193724,0.00299552,-0.01708195,0.03496539
s10_n1,53,116.09163615,8.95461890,0.98379813,73.97675542,49.68933170,0.00912233,0.01358119,0.00445886,-0.01690134,0.03514600
s10_n1,54,114.84296527,1.27349271,0.97179840,75.25024812,50.66113011,0.00930074,0.01381499,0.00451425,-0.01672293,0.03532441
s10_n1,55,114.07655989,0.55667485,0.99150104,75.80692298,51.65263115,0.00948277,0.01391719,0.00443442,-0.01654090,0.03550644
s10_n1,56,113.50847077,0.10722923,0.98579276,75.91415221,52.63842390,0.00966375,0.01393687,0.00427313,-0.01635992,0.03568742
s10_n1,57,112.74924624,2.35687225,0.97945507,78.27102445,53.61787897,0.00984356,0.01436957,0.00452600,-0.01618011,0.03586723
s10_n1,58,109.87037895,5.02447852,0.96278016,83.29550297,54.58065913,0.01002032,0.01529200,0.00527168,-0.01600335,0.03604399
s10_n1,59,106.74141550,0.61746175,0.97868035,83.91296473,55.55933948,0.01019999,0.01540535,0.00520537,-0.01582368,0.03622366
s10_n1,60,106.09598570,0.67153207,0.99188545,84.58449680,56.55122493,0.01038209,0.01552864,0.00514655,-0.01564158,0.03640576
s10_n1,61,104.87128370,2.45393408,0.98003267,87.03843088,57.53125761,0.01056201,0.01597915,0.00541714,-0.01546166,0.03658568
s10_n1,62,103.29204566,3.08387532,0.97925087,90.12230620,58.51050847,0.01074179,0.01654531,0.00580352,-0.01528188,0.03676546
s10_n1,63,102.66595369,0.11025465,0.99129275,90.23256084,59.50180122,0.01092377,0.01656555,0.00564178,-0.01509990,0.03694744
s10_n1,64,102.58444039,9.20805282,0.94664731,99.44061366,60.44844853,0.01109757,0.01825603,0.00715847,-0.01492610,0.03712124
s10_n1,65,101.90558980,2.43482019,0.88243396,101.87543386,61.33088249,0.01125957,0.01870304,0.00744346,-0.01476410,0.03728324
s10_n1,66,100.76354332,1.33674189,0.99862875,103.21217574,62.32951124,0.01144291,0.01894844,0.00750554,-0.01458076,0.03746658
s10_n1,67,100.66480976,0.35300639,0.98611884,103.56518213,63.31563008,0.01162395,0.01901325,0.00738931,-0.01439972,0.03764762
s10_n1,68,98.50981679,0.01228207,0.98625846,103.57746421,64.30188854,0.01180501,0.01901551,0.00721050,-0.01421866,0.03782868
s10_n1,69,97.23869778,0.17475355,0.98980891,103.75221775,65.29169745,0.01198673,0.01904759,0.00706086,-0.01403694,0.03801040
s10_n1,70,96.38294703,2.75056183,0.98879453,106.50277958,66.28049198,0.01216826,0.01955256,0.00738430,-0.01385541,0.03819193
s10_n1,71,95.71201214,0.42344861,0.93355411,106.92622820,67.21404610,0.01233964,0.01963030,0.00729065,-0.01368403,0.03836332
s10_n1,72,93.69671302,2.68463660,0.99666556,109.61086480,68.21071166,0.01252262,0.02012316,0.00760054,-0.01350105,0.03854629
s10_n1,73,92.65689902,0.95569344,0.97372203,110.56655824,69.18443369,0.01270138,0.02029862,0.00759723,-0.01332229,0.03872505
s10_n1,74,90.82901440,0.03082701,0.99568260,110.59738524,70.18011629,0.01288418,0.02030427,0.00742010,-0.01313949,0.03890785
s10_n1,75,89.70813362,5.84039387,0.98482494,116.43777912,71.16494123,0.01306498,0.02137650,0.00831152,-0.01295869,0.03908865
s10_n1,76,89.43930224,3.48196086,0.97902455,119.91973998,72.14396579,0.01324472,0.02201574,0.00877103,-0.01277895,0.03926839
s10_n1,77,89.40267844,1.80140025,0.99796953,121.72114023,73.14193531,0.01342793,0.02234645,0.00891852,-0.01259574,0.03945160
s10_n1,78,88.55965044,0.16366582,0.93811992,121.88480605,74.08005523,0.01360016,0.02237650,0.00877634,-0.01242351,0.03962383
s10_n1,79,88.32559984,1.71440754,0.99455378,123.59921358,75.07460902,0.01378274,0.02269125,0.00890850,-0.01224093,0.03980641
s10_n1,80,87.80345181,1.84462248,0.99255741,125.44383606,76.06716642,0.01396497,0.02302989,0.00906493,-0.01205870,0.03998864
s10_n1,81,87.40510785,1.10237757,0.99947162,126.54621363,77.06663804,0.01414846,0.02323228,0.00908382,-0.01187521,0.04017213
s10_n1,82,86.43634882,0.77490726,0.97036760,127.32112090,78.03700564,0.01432660,0.02337454,0.00904794,-0.01169707,0.04035027
s10_n1,83,85.02028868,0.13550943,0.99607954,127.45663033,79.03308518,0.01450947,0.02339942,0.00888995,-0.01151420,0.04053314
s10_n1,84,83.57916664,0.32200666,0.98144664,127.77863699,80.01453182,0.01468965,0.02345853,0.00876888,-0.01133402,0.04071332
s10_n1,85,83.07389913,1.24622074,0.99061452,129.02485772,81.00514634,0.01487152,0.02368732,0.00881581,-0.01115215,0.04089519
s10_n1,86,82.00839921,0.06567031,0.96809286,129.09052803,81.97323921,0.01504925,0.02369938,0.00865014,-0.01097442,0.04107292
s10_n1,87,80.82575943,3.68351168,0.97912819,132.77403971,82.95236739,0.01522900,0.02437563,0.00914663,-0.01079467,0.04125267
s10_n1,88,80.17967277,2.21210894,0.99074494,134.98614865,83.94311233,0.01541089,0.02478174,0.00937085,-0.01061278,0.04143456
s10_n1,89,79.02678029,0.22332754,0.99512472,135.20947618,84.93823705,0.01559358,0.02482274,0.00922916,-0.01043009,0.04161725
s10_n1,90,78.13405963,0.34640268,0.97059109,135.55587887,85.90882814,0.01577177,0.02488634,0.00911457,-0.01025190,0.04179544
s10_n1,91,77.93690406,0.12155658,0.99727915,135.67743545,86.90610729,0.01595486,0.02490865,0.00895380,-0.01006881,0.04197853
s10_n1,92,77.69529588,1.97127580,0.90851850,137.64871124,87.81462579,0.01612165,0.02527055,0.00914890,-0.00990202,0.04214532
s10_n1,93,77.05365960,0.22215442,0.99301959,137.87086566,88.80764539,0.01630396,0.02531134,0.00900738,-0.00971971,0.04232763
s10_n1,94,75.95240420,0.58624121,0.99553118,138.45710687,89.80317657,0.01648672,0.02541897,0.00893224,-0.00953695,0.04251039
s10_n1,95,75.88061522,0.11592570,0.98969142,138.57303257,90.79286799,0.01666842,0.02544025,0.00877183,-0.00935525,0.04269209
s10_n1,96,74.70560298,0.98150594,0.99489700,139.55453852,91.78776499,0.01685107,0.02562044,0.00876937,-0.00917260,0.04287474
s10_n1,97,74.27148456,0.03927869,0.99554029,139.59381721,92.78330528,0.01703384,0.02562765,0.00859382,-0.00898983,0.04305751
s10_n1,98,73.55034065,0.35585690,0.98278988,139.94967411,93.76609516,0.01721426,0.02569298,0.00847872,-0.00880941,0.04323793
s10_n1,99,73.34781563,0.12476459,0.99303220,140.07443870,94.75912737,0.01739657,0.02571589,0.00831932,-0.00862710,0.04342024
s10_n1,100,72.60040491,0.86725472,0.98333589,140.94169341,95.74246326,0.01757710,0.02587510,0.00829800,-0.00844657,0.04360077
s10_n1,101,71.98651123,1.27575866,0.89550403,142.21745208,96.63796728,0.01774150,0.02610932,0.00836781,-0.00828217,0.04376517
s10_n1,102,71.74641817,0.52453688,0.99122584,142.74198895,97.62919313,0.01792348,0.02620562,0.00828214,-0.00810019,0.04394715
s10_n1,103,70.98095221,0.51398561,0.98176026,143.25597456,98.61095339,0.01810372,0.02629998,0.00819626,-0.00791995,0.04412739
s10_n1,104,70.18969001,0.43368041,0.96179031,143.68965497,99.57274370,0.01828029,0.02637960,0.00809930,-0.00774338,0.04430396
s10_n1,105,69.68788856,0.04584825,0.98542841,143.73550322,100.55817211,0.01846120,0.02638801,0.00792681,-0.00756247,0.04448487
s10_n1,106,69.32696209,0.53261279,0.99826858,144.26811601,101.55644069,0.01864447,0.02648579,0.00784132,-0.00737920,0.04466814
s10_n1,107,68.14262853,0.03922937,0.98932750,144.30734538,102.54576819,0.01882610,0.02649300,0.00766690,-0.00719757,0.04484977
s10_n1,108,68.13995299,2.61646353,0.99597479,146.92380891,103.54174297,0.01900895,0.02697334,0.00796440,-0.00701472,0.04503262
s10_n1,109,68.01095210,0.06066947,0.97983637,146.98447838,104.52157934,0.01918883,0.02698448,0.00779565,-0.00683484,0.04521250
s10_n1,110,66.25008504,1.90672294,0.99125921,148.89120132,105.51283856,0.01937082,0.02733453,0.00796372,-0.00665285,0.04539449
s10_n1,111,66.22845357,2.36913782,0.96541427,151.26033914,106.47825283,0.01954805,0.02776948,0.00822142,-0.00647562,0.04557172
