lat_lag,lon_lag,ridge_norm,gamma_min,gamma_second_min,gamma_gap,gamma_rel_gap,near_min_count,near_min_tol,is_ambiguous,n_pairs,row,col,year,month,day_num,tau,lat_step,lon_step
0.0440,-0.2520,0.2558,9.6274,9.6353,0.0079,0.0008,8,0.0963,True,106991,21,16,2025,7,1,1,0.0440,0.0630
0.0880,-0.6300,0.6361,11.2959,11.2982,0.0023,0.0002,22,0.1130,True,84981,22,10,2025,7,1,2,0.0440,0.0630
0.3080,-1.0710,1.1144,11.8327,11.8346,0.0019,0.0002,48,0.1183,True,63548,27,3,2025,7,1,3,0.0440,0.0630
0.0000,-0.3780,0.3780,5.8204,5.8487,0.0283,0.0049,4,0.0582,False,96173,20,14,2025,7,2,1,0.0440,0.0630
-0.0440,-0.7560,0.7573,7.3109,7.3128,0.0018,0.0003,21,0.0731,True,75262,19,8,2025,7,2,2,0.0440,0.0630
-0.4400,-0.7560,0.8747,8.1407,8.1407,0.0001,0.0000,58,0.0814,True,56151,10,8,2025,7,2,3,0.0440,0.0630
-0.0440,-0.2520,0.2558,9.4411,9.4542,0.0131,0.0014,4,0.0944,False,120431,19,16,2025,7,3,1,0.0440,0.0630
-0.0880,-0.5670,0.5738,11.5108,11.5174,0.0066,0.0006,18,0.1151,True,98814,18,11,2025,7,3,2,0.0440,0.0630
-0.2640,-1.0080,1.0420,12.6318,12.6339,0.0021,0.0002,47,0.1263,True,75532,14,4,2025,7,3,3,0.0440,0.0630
0.0000,-0.0630,0.0630,9.6970,9.7237,0.0267,0.0028,2,0.0970,False,120756,20,19,2025,7,4,1,0.0440,0.0630
-0.0440,0.0000,0.0440,11.4439,11.4572,0.0133,0.0012,5,0.1144,True,103407,19,20,2025,7,4,2,0.0440,0.0630
-0.0440,-0.0630,0.0768,12.1307,12.1414,0.0107,0.0009,11,0.1213,True,85566,19,19,2025,7,4,3,0.0440,0.0630
-0.0440,-0.4410,0.4432,12.3113,12.3296,0.0182,0.0015,3,0.1231,False,115542,19,13,2025,7,5,1,0.0440,0.0630
-0.0880,-0.8820,0.8864,16.0275,16.0324,0.0049,0.0003,10,0.1603,True,93666,18,6,2025,7,5,2,0.0440,0.0630
-0.0440,-1.2600,1.2608,17.9416,17.9700,0.0283,0.0016,11,0.1794,True,75516,19,0,2025,7,5,3,0.0440,0.0630
0.0440,-0.3780,0.3806,12.1708,12.1836,0.0128,0.0011,4,0.1217,False,111962,21,14,2025,7,6,1,0.0440,0.0630
0.1320,-0.6300,0.6437,15.8612,15.8861,0.0248,0.0016,17,0.1586,True,90819,23,10,2025,7,6,2,0.0440,0.0630
0.1320,-0.6300,0.6437,17.9383,17.9459,0.0075,0.0004,59,0.1794,True,75290,23,10,2025,7,6,3,0.0440,0.0630
0.0000,-0.3150,0.3150,8.0394,8.0460,0.0066,0.0008,3,0.0804,False,103137,20,15,2025,7,7,1,0.0440,0.0630
0.0000,-0.5670,0.5670,10.3678,10.3694,0.0016,0.0002,16,0.1037,True,83591,20,11,2025,7,7,2,0.0440,0.0630
-0.0440,-0.7560,0.7573,11.6788,11.6791,0.0004,0.0000,75,0.1168,True,66297,19,8,2025,7,7,3,0.0440,0.0630
-0.0440,-0.1890,0.1941,9.7808,9.7939,0.0131,0.0013,5,0.0978,True,121096,19,17,2025,7,8,1,0.0440,0.0630
-0.0880,-0.2520,0.2669,12.0838,12.0916,0.0078,0.0006,19,0.1208,True,102087,18,16,2025,7,8,2,0.0440,0.0630
-0.0880,-0.3780,0.3881,13.3478,13.3523,0.0045,0.0003,28,0.1335,True,83937,18,14,2025,7,8,3,0.0440,0.0630
0.0000,0.0000,0.0000,7.6236,7.6430,0.0194,0.0025,6,0.0762,True,114996,20,20,2025,7,9,1,0.0440,0.0630
-0.0440,0.0000,0.0440,9.2541,9.2653,0.0112,0.0012,13,0.0925,True,96716,19,20,2025,7,9,2,0.0440,0.0630
-0.0440,0.0000,0.0440,10.1762,10.1785,0.0023,0.0002,19,0.1018,True,79892,19,20,2025,7,9,3,0.0440,0.0630
-0.0440,-0.0630,0.0768,10.4325,10.4466,0.0142,0.0014,5,0.1043,True,118140,19,19,2025,7,10,1,0.0440,0.0630
0.0000,-0.1260,0.1260,13.7864,13.7925,0.0060,0.0004,17,0.1379,True,100555,20,18,2025,7,10,2,0.0440,0.0630
0.0440,-0.3150,0.3181,15.1170,15.1251,0.0081,0.0005,37,0.1512,True,81143,21,15,2025,7,10,3,0.0440,0.0630
0.0000,-0.0630,0.0630,9.1860,9.2100,0.0240,0.0026,4,0.0919,False,113233,20,19,2025,7,11,1,0.0440,0.0630
-0.0440,-0.0630,0.0768,12.5641,12.5650,0.0009,0.0001,19,0.1256,True,94646,19,19,2025,7,11,2,0.0440,0.0630
-0.0880,0.0630,0.1082,14.4361,14.4383,0.0022,0.0001,60,0.1444,True,77635,18,21,2025,7,11,3,0.0440,0.0630
0.0000,-0.3150,0.3150,10.6483,10.6572,0.0089,0.0008,4,0.1065,False,120168,20,15,2025,7,12,1,0.0440,0.0630
0.0000,-0.5670,0.5670,13.5814,13.5817,0.0003,0.0000,19,0.1358,True,100142,20,11,2025,7,12,2,0.0440,0.0630
0.0440,-0.3150,0.3181,15.0938,15.0977,0.0039,0.0003,35,0.1509,True,84748,21,15,2025,7,12,3,0.0440,0.0630
0.0880,-0.6300,0.6361,11.4193,11.4338,0.0146,0.0013,9,0.1142,True,111308,22,10,2025,7,13,1,0.0440,0.0630
0.1320,-0.8820,0.8918,14.1751,14.1757,0.0005,0.0000,28,0.1418,True,91764,23,6,2025,7,13,2,0.0440,0.0630
