date,method,mode_fraction,observed_cumulative_energy,expected_cumulative_energy,null_q025,null_q975
2024-07-03,adapted,8.397786343519847e-06,2.3297678376386045e-05,8.397786343519847e-06,4.0723387006753777e-10,4.314573434828188e-05
2024-07-03,adapted,0.0019650820043836444,0.001207658894724166,0.0019650820043836444,0.001576447973756952,0.002511812018895183
2024-07-03,adapted,0.003921766222423769,0.002632088930369251,0.003921766222423769,0.0035141542235110736,0.0043434013007653425
2024-07-03,adapted,0.005878450440463894,0.003786691187995853,0.005878450440463894,0.005589922514007706,0.0061914281542464105
2024-07-03,adapted,0.007835134658504017,0.004936767187146997,0.007835134658504017,0.007485944313596258,0.008387430772628636
2024-07-03,adapted,0.009791818876544144,0.006400675569479523,0.009791818876544144,0.009115952342532626,0.010492325982261328
2024-07-03,adapted,0.011748503094584268,0.007923880330186529,0.011748503094584268,0.010862004234404938,0.012337035020778321
2024-07-03,adapted,0.013705187312624392,0.009216166683949015,0.013705187312624392,0.012737906210582833,0.014832129881997825
2024-07-03,adapted,0.015661871530664517,0.011059541626965026,0.015661871530664517,0.01496629151637371,0.01660740725258604
2024-07-03,adapted,0.01761855574870464,0.01305888387871836,0.01761855574870464,0.01695521377711161,0.018826801159097666
2024-07-03,adapted,0.019575239966744765,0.014710518225257074,0.019575239966744765,0.018776444119639753,0.021046945059104816
2024-07-03,adapted,0.02153192418478489,0.016378214923014688,0.02153192418478489,0.020641633680208757,0.023284637098984432
2024-07-03,adapted,0.023488608402825014,0.01834890783944447,0.023488608402825014,0.022647153511519913,0.02529889330879143
2024-07-03,adapted,0.02544529262086514,0.020476195183937788,0.02544529262086514,0.024433646594186426,0.027122114778727297
2024-07-03,adapted,0.027401976838905266,0.02229088923554918,0.027401976838905266,0.026138384509484445,0.029164533587886097
2024-07-03,adapted,0.02935866105694539,0.024075190310194065,0.02935866105694539,0.02789891539954866,0.031153798022568336
2024-07-03,adapted,0.031315345274985515,0.026250993606784262,0.031315345274985515,0.029746755690240243,0.033080357453707805
2024-07-03,adapted,0.033272029493025636,0.028321641926092638,0.033272029493025636,0.03196527832114185,0.035069998901427694
2024-07-03,adapted,0.035228713711065764,0.030733434838187326,0.035228713711065764,0.03387652196951707,0.036987359618218314
2024-07-03,adapted,0.037185397929105884,0.032820332535825815,0.037185397929105884,0.03562751099715765,0.03876397258234061
2024-07-03,adapted,0.03914208214714601,0.034632014901581465,0.03914208214714601,0.03760916584036082,0.04065303726985369
2024-07-03,adapted,0.04109876636518614,0.03687015736248008,0.04109876636518614,0.039813912087795646,0.042988966213559486
2024-07-03,adapted,0.04305545058322626,0.03962384371303167,0.04305545058322626,0.04161579751102645,0.044901548625999696
2024-07-03,adapted,0.04501213480126639,0.041196504536826814,0.04501213480126639,0.04346122554399671,0.046775862725565893
2024-07-03,adapted,0.04696881901930651,0.04302564873210543,0.04696881901930651,0.04549552855520038,0.04895466998743599
2024-07-03,adapted,0.04892550323734664,0.04451444695363262,0.04892550323734664,0.04757647170538896,0.05131912697302003
2024-07-03,adapted,0.05088218745538676,0.04631886272949217,0.05088218745538676,0.049616749790628065,0.05343836633068547
2024-07-03,adapted,0.052838871673426886,0.047988269227993305,0.052838871673426886,0.05119953188968053,0.05567679747332729
2024-07-03,adapted,0.05479555589146701,0.04951075837495087,0.05479555589146701,0.05348560978762912,0.05783913970368891
2024-07-03,adapted,0.056752240109507135,0.051028816704043654,0.056752240109507135,0.05533525457811782,0.05942950358474971
