date,method,band,wavelet_detail_level,orientation,orientation_label,n_coefficients,observed_energy_ratio,null_mean,null_q025,null_q975,monte_carlo_two_sided_p,native_nll_per_observation
2024-07-03,adapted,low,3,H,lat detail (cH),2353,0.9008980536607548,1.0259848950291715,0.9687691946159595,1.0739698344469315,0.1111111111111111,1.3771604850377008
2024-07-03,adapted,low,3,V,lon detail (cV),2353,0.9369495914980014,1.0011558841625459,0.9442341615805071,1.040119253551793,0.1111111111111111,1.3771604850377008
2024-07-03,adapted,low,3,D,diagonal (cD),2353,0.8440587251454015,1.0089327774055725,0.9788253589723083,1.058165137719659,0.1111111111111111,1.3771604850377008
2024-07-03,adapted,low,3,all,pooled,7059,0.8939687901013859,1.0120245188657635,0.9743014903944631,1.0453874325773067,0.1111111111111111,1.3771604850377008
2024-07-03,adapted,middle,2,H,lat detail (cH),8218,1.0322714693160402,1.0156765092984807,0.962407875940696,1.0597346591293537,0.5555555555555556,1.3771604850377008
2024-07-03,adapted,middle,2,V,lon detail (cV),8218,0.9013542285261452,0.9989421445908794,0.983433917406273,1.016784808653532,0.1111111111111111,1.3771604850377008
2024-07-03,adapted,middle,2,D,diagonal (cD),8218,1.0465175029607994,0.9989185955024473,0.9564881778339098,1.0257514100275391,0.3333333333333333,1.3771604850377008
2024-07-03,adapted,middle,2,all,pooled,24654,0.9933810669343283,1.0045124164639359,0.970087086500133,1.0268436554956384,0.5555555555555556,1.3771604850377008
2024-07-03,adapted,high,1,H,lat detail (cH),29122,1.047527210851472,0.9919623140480178,0.9779319967739293,1.0034356277951948,0.1111111111111111,1.3771604850377008
2024-07-03,adapted,high,1,V,lon detail (cV),29122,1.0771581845890807,1.0041829322187554,0.9833846586145576,1.0267108944449437,0.1111111111111111,1.3771604850377008
2024-07-03,adapted,high,1,D,diagonal (cD),29122,0.9726455600377069,1.0015778454777506,0.9931673178475253,1.0135943047524125,0.1111111111111111,1.3771604850377008
2024-07-03,adapted,high,1,all,pooled,87366,1.0324436518260867,0.9992410305815079,0.9885448212020468,1.010488023831341,0.1111111111111111,1.3771604850377008
2024-07-03,fixed,low,3,H,lat detail (cH),2353,0.8602085255281734,1.02198685446812,0.9645972252750546,1.0733126296049598,0.1111111111111111,1.3816898837122225
2024-07-03,fixed,low,3,V,lon detail (cV),2353,0.8985598396055554,1.001764312777488,0.9505751638954812,1.0445461303469725,0.1111111111111111,1.3816898837122225
2024-07-03,fixed,low,3,D,diagonal (cD),2353,0.8276015449201366,1.0067445904834278,0.975891145205968,1.062725410283602,0.1111111111111111,1.3816898837122225
2024-07-03,fixed,low,3,all,pooled,7059,0.8621233033512884,1.0101652525763452,0.9701338931448096,1.0436177197236578,0.1111111111111111,1.3816898837122225
2024-07-03,fixed,middle,2,H,lat detail (cH),8218,1.019275646468585,1.0166715128814157,0.965266520024951,1.0589325443584308,1.0,1.3816898837122225
2024-07-03,fixed,middle,2,V,lon detail (cV),8218,0.8885406086807515,1.0002464626223717,0.9836714595556865,1.0160990336877072,0.1111111111111111,1.3816898837122225
2024-07-03,fixed,middle,2,D,diagonal (cD),8218,1.0426901122473433,0.9989910843378232,0.9556558739977652,1.0251906567955698,0.3333333333333333,1.3816898837122225
2024-07-03,fixed,middle,2,all,pooled,24654,0.9835021224655599,1.0053030199472035,0.9702852476399572,1.02614830383826,0.2222222222222222,1.3816898837122225
2024-07-03,fixed,high,1,H,lat detail (cH),29122,1.0425883218171415,0.9925997869172793,0.9770701703687408,1.0041694477064198,0.1111111111111111,1.3816898837122225
2024-07-03,fixed,high,1,V,lon detail (cV),29122,1.0736059160145437,1.0045645136437558,0.983861793087243,1.0259826529476155,0.1111111111111111,1.3816898837122225
2024-07-03,fixed,high,1,D,diagonal (cD),29122,0.9674144149398111,1.0016905685737347,0.993281970441104,1.0134238400992084,0.1111111111111111,1.3816898837122225
2024-07-03,fixed,high,1,all,pooled,87366,1.0278695509238323,0.9996182897115901,0.9879674575215945,1.0107970964244626,0.1111111111111111,1.3816898837122225
