day,cov_name,space_size,lr,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget,loss,time,rmsre
2022-07-01_02,Vecc2day_mm100_A12B12C12,18126.0,1.0,5.6323,0.3394,0.3925,1.9245,0.0103,-0.0767,2.8751,1.3155,430.3855,0.0
2022-07-03_04,Vecc2day_mm100_A12B12C12,18126.0,1.0,9.9431,0.3821,0.4896,2.2231,0.0364,-0.1269,2.7091,1.3817,374.9951,0.0
2022-07-05_06,Vecc2day_mm100_A12B12C12,18126.0,1.0,10.0709,0.5815,0.7357,3.4605,0.0075,-0.0832,2.5967,1.2922,413.3119,0.0
2022-07-07_08,Vecc2day_mm100_A12B12C12,18126.0,1.0,12.5704,0.4253,0.5466,2.1122,-0.0285,-0.0745,1.7679,1.3122,285.0937,0.0
2022-07-09_10,Vecc2day_mm100_A12B12C12,18126.0,1.0,11.2434,0.4314,0.4085,1.9746,0.0314,-0.1764,2.5119,1.3973,343.3682,0.0
2022-07-11_12,Vecc2day_mm100_A12B12C12,18126.0,1.0,8.6297,0.4787,0.5767,2.2691,-0.0191,-0.1119,2.1508,1.2505,312.1377,0.0
2022-07-13_14,Vecc2day_mm100_A12B12C12,18126.0,1.0,8.6555,0.3244,0.4626,2.0983,0.0197,-0.1015,3.0934,1.4022,365.0662,0.0
2022-07-15_16,Vecc2day_mm100_A12B12C12,18126.0,1.0,11.9648,0.7346,1.0089,3.6915,0.0199,-0.1256,2.201,1.2353,324.483,0.0
2022-07-17_18,Vecc2day_mm100_A12B12C12,18126.0,1.0,8.3406,0.4767,0.5493,1.8767,-0.003,-0.0772,1.7247,1.1915,267.7875,0.0
2022-07-19_20,Vecc2day_mm100_A12B12C12,18126.0,1.0,6.8853,0.277,0.4006,1.5905,0.0024,-0.1128,3.0453,1.3852,448.9131,0.0
2022-07-21_22,Vecc2day_mm100_A12B12C12,18126.0,1.0,8.8434,0.3964,0.6141,2.8973,0.0249,-0.0534,3.0834,1.3632,508.1852,0.0
2022-07-23_24,Vecc2day_mm100_A12B12C12,18126.0,1.0,7.3162,0.7384,0.8849,5.8583,0.007,-0.0313,2.9377,1.2437,585.9286,0.0
2022-07-25_26,Vecc2day_mm100_A12B12C12,18126.0,1.0,7.2126,0.3822,0.4651,2.1195,0.021,-0.1074,2.6237,1.312,408.8081,0.0
2022-07-27_28,Vecc2day_mm100_A12B12C12,18126.0,1.0,9.9103,0.4213,0.548,2.493,0.0442,-0.1778,2.6867,1.3567,365.7895,0.0
2023-07-01_02,Vecc2day_mm100_A12B12C12,18126.0,1.0,14.9552,0.4498,0.5944,4.0784,0.0087,-0.0517,3.279,1.4674,482.7922,0.0
2023-07-03_04,Vecc2day_mm100_A12B12C12,18126.0,1.0,13.1912,0.5316,0.6258,3.0208,-0.0026,-0.1106,3.2288,1.4358,352.3588,0.0
2023-07-05_06,Vecc2day_mm100_A12B12C12,18126.0,1.0,15.6447,0.4125,0.5909,2.2914,-0.0177,-0.2286,2.4687,1.4384,326.2688,0.0
2023-07-07_08,Vecc2day_mm100_A12B12C12,18126.0,1.0,18.8506,0.5184,0.7849,3.0986,0.008,-0.1258,2.623,1.4383,372.8465,0.0
2023-07-09_10,Vecc2day_mm100_A12B12C12,18126.0,1.0,13.7931,0.3389,0.476,1.9311,0.0365,-0.1392,1.5727,1.3588,280.6483,0.0
2023-07-11_12,Vecc2day_mm100_A12B12C12,18126.0,1.0,13.9447,0.4467,0.604,1.8397,-0.02,-0.1355,1.4149,1.2771,254.1379,0.0
2023-07-13_14,Vecc2day_mm100_A12B12C12,18126.0,1.0,15.8131,0.4766,0.4966,2.3831,0.0343,-0.1579,1.9961,1.3996,317.3071,0.0
2023-07-15_16,Vecc2day_mm100_A12B12C12,18126.0,1.0,10.1221,0.3044,0.3788,1.5279,-0.0321,-0.0511,1.2607,1.2652,310.349,0.0
2023-07-17_18,Vecc2day_mm100_A12B12C12,18126.0,1.0,16.8578,0.8267,0.9794,2.6828,-0.0864,-0.0006,1.9951,1.2748,295.0621,0.0
