day,cov_name,space_size,lr,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget,gc_beta,loss,time,rmsre
2022-07-1,Cauchy_bb10_mm100_A20B20C20,18126,1.0,4.5229,0.0811,0.1013,0.8133,-0.0016,-0.0255,1.7836,1.0,1.258,69.8465,0.0
2022-07-2,Cauchy_bb10_mm100_A20B20C20,18126,1.0,8.2544,0.1792,0.1934,0.8745,0.0226,-0.2152,1.7805,1.0,1.3413,43.5124,0.0
2022-07-3,Cauchy_bb10_mm100_A20B20C20,18126,1.0,10.4489,0.2382,0.3458,1.232,0.0354,-0.1402,1.7862,1.0,1.3313,32.6941,0.0
2022-07-4,Cauchy_bb10_mm100_A20B20C20,18126,1.0,8.7715,0.1929,0.2077,1.1474,0.0161,-0.1363,2.1607,1.0,1.3817,42.4272,0.0
2022-07-5,Cauchy_bb10_mm100_A20B20C20,18126,1.0,8.1543,0.2224,0.2566,1.3984,0.0223,-0.146,1.4494,1.0,1.246,43.3669,0.0
2022-07-6,Cauchy_bb10_mm100_A20B20C20,18126,1.0,8.7095,0.2975,0.4215,2.2295,-0.0069,-0.0369,2.4943,1.0,1.3132,59.6422,0.0
2022-07-7,Cauchy_bb10_mm100_A20B20C20,18126,1.0,12.0843,0.2452,0.3688,1.3442,-0.0505,-0.0847,1.4457,1.0,1.3276,34.9165,0.0
2022-07-8,Cauchy_bb10_mm100_A20B20C20,18126,1.0,12.9346,0.3548,0.354,1.6032,-0.0042,-0.066,0.9455,1.0,1.2408,28.9908,0.0
2022-07-9,Cauchy_bb10_mm100_A20B20C20,18126,1.0,10.7923,0.2693,0.2535,1.4193,0.0279,-0.1632,1.763,1.0,1.3509,40.9569,0.0
2022-07-10,Cauchy_bb10_mm100_A20B20C20,18126,1.0,11.4307,0.261,0.2793,1.4162,0.0076,-0.2696,1.8616,1.0,1.3779,37.8221,0.0
2022-07-11,Cauchy_bb10_mm100_A20B20C20,18126,1.0,7.9025,0.3193,0.3953,1.5728,-0.0174,-0.1277,1.5375,1.0,1.1765,33.4769,0.0
2022-07-12,Cauchy_bb10_mm100_A20B20C20,18126,1.0,9.5339,0.273,0.3141,1.3967,-0.0189,-0.0923,1.8217,1.0,1.3015,36.6485,0.0
2022-07-13,Cauchy_bb10_mm100_A20B20C20,18126,1.0,9.0633,0.176,0.2053,1.0359,0.0131,-0.121,1.9286,1.0,1.3764,46.6752,0.0
2022-07-14,Cauchy_bb10_mm100_A20B20C20,18126,1.0,8.7653,0.1905,0.3143,1.3721,0.0256,-0.0704,2.4371,1.0,1.3739,48.8064,0.0
