year,month,day_num,direction,model,rmse,mae,bias_emp_minus_fit,mean_model,normalized,sigma,range_lat,range_lon,range_time,nugget
2024,7,7,lat,Vecchia_mm20,1.3096,1.0369,-0.9838,hour_dummy_plus_lat_lon_ols,False,17.6936,0.3092,0.5092,2.2488,1.8022
2024,7,7,lon,Corridor_4x4_lag643,1.5957,1.3422,-0.2547,hour_dummy_plus_lat_lon_ols,False,14.6350,0.1863,0.2619,1.4712,1.1503
2024,7,7,lon,Debiased_Whittle,2.6995,1.9506,1.8897,hour_dummy_plus_lat_lon_ols,False,12.0320,0.1447,0.2523,1.3125,1.0250
2024,7,7,lon,Vecchia_mm20,1.5678,1.3526,-1.1582,hour_dummy_plus_lat_lon_ols,False,17.6936,0.3092,0.5092,2.2488,1.8022
2024,7,8,lat,Corridor_4x4_lag643,2.0102,1.5761,0.9794,hour_dummy_plus_lat_lon_ols,False,13.2374,0.1644,0.1641,0.9607,0.4722
2024,7,8,lat,Debiased_Whittle,2.6581,2.1486,1.5274,hour_dummy_plus_lat_lon_ols,False,12.4209,0.1291,0.1250,0.9131,0.3221
2024,7,8,lat,Vecchia_mm20,1.6245,1.2999,-1.1930,hour_dummy_plus_lat_lon_ols,False,15.5298,0.2667,0.3092,1.4487,1.5783
2024,7,8,lon,Corridor_4x4_lag643,1.0357,0.8838,-0.1602,hour_dummy_plus_lat_lon_ols,False,13.2374,0.1644,0.1641,0.9607,0.4722
2024,7,8,lon,Debiased_Whittle,1.4762,1.2737,0.3219,hour_dummy_plus_lat_lon_ols,False,12.4209,0.1291,0.1250,0.9131,0.3221
2024,7,8,lon,Vecchia_mm20,2.2106,1.8925,-1.8667,hour_dummy_plus_lat_lon_ols,False,15.5298,0.2667,0.3092,1.4487,1.5783
2024,7,9,lat,Corridor_4x4_lag643,1.4061,1.1237,0.8295,hour_dummy_plus_lat_lon_ols,False,7.9167,0.1912,0.2162,1.0915,1.6265
2024,7,9,lat,Debiased_Whittle,1.8206,1.4414,1.2473,hour_dummy_plus_lat_lon_ols,False,7.8551,0.1563,0.1946,1.1264,1.0872
2024,7,9,lat,Vecchia_mm20,0.7770,0.7017,0.4836,hour_dummy_plus_lat_lon_ols,False,9.4306,0.2876,0.3430,1.5224,1.1868
2024,7,9,lon,Corridor_4x4_lag643,0.5872,0.5135,-0.0238,hour_dummy_plus_lat_lon_ols,False,7.9167,0.1912,0.2162,1.0915,1.6265
2024,7,9,lon,Debiased_Whittle,0.8237,0.6719,0.4574,hour_dummy_plus_lat_lon_ols,False,7.8551,0.1563,0.1946,1.1264,1.0872
