date_str,hour_idx,time_key,resolution_stride,resolution_label,variant,gc_alpha,parameter,estimate,loss,n_grid,n_valid
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta2p5,0.6000,sigmasq,14.7872,1.8121,300,300
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta2p5,0.6000,range_lat,2.7613,1.8121,300,300
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta2p5,0.6000,range_lon,4.6574,1.8121,300,300
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta2p5,0.6000,gc_alpha,0.6000,1.8121,300,300
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta2p5,0.6000,gc_beta,2.5000,1.8121,300,300
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta2p5,0.6000,phi1,3.1750,1.8121,300,300
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta2p5,0.6000,phi2,0.2147,1.8121,300,300
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta2p5,0.6000,phi3,2.8447,1.8121,300,300
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta2p5,0.6000,nugget,0.0000,1.8121,300,300
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_beta2p5,0.6000,sigmasq,15.0228,1.7306,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_beta2p5,0.6000,range_lat,3.6536,1.7306,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_beta2p5,0.6000,range_lon,4.6734,1.7306,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_beta2p5,0.6000,gc_alpha,0.6000,1.7306,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_beta2p5,0.6000,gc_beta,2.5000,1.7306,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_beta2p5,0.6000,phi1,3.2145,1.7306,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_beta2p5,0.6000,phi2,0.2140,1.7306,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_beta2p5,0.6000,phi3,1.6361,1.7306,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,cauchy_beta2p5,0.6000,nugget,0.0000,1.7306,1160,1160
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_beta2p5,0.6000,sigmasq,17.9592,1.7675,4560,4531
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_beta2p5,0.6000,range_lat,1.4421,1.7675,4560,4531
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_beta2p5,0.6000,range_lon,2.2265,1.7675,4560,4531
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,cauchy_beta2p5,0.6000,gc_alpha,0.6000,1.7675,4560,4531
