frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.7 b=3 nugget0,GC a=0.7 b=3.5 nugget0,GC a=0.7 b=4 nugget0
ultra_low,0.5729,5.1561,1.6576,1.2685,1.2955,1.3172
low_mid,6.3019,16.6141,0.8765,0.9226,0.9185,0.9151
mid,17.7599,33.8012,1.0949,1.0705,1.0691,1.0680
high,34.9470,56.7172,1.0667,1.0480,1.0488,1.0494
very_high,57.8630,79.6333,0.9234,0.9205,0.9218,0.9228
