true_smooth,fit_smooth,n,fit_type,n_reps,loss_mean,sigmasq_mean,sigmasq_sd,range_mean,range_sd,nugget_mean,nugget_sd,success_rate,fit_s_mean
0.3000,0.3000,200,full_nugget0,1,2.1727,14.7381,,0.0660,,0.0000,,1.0000,0.5713
0.3000,0.3000,200,full_nugget_free,1,2.1374,13.8461,,0.4419,,2.1343,,1.0000,0.9830
0.3000,0.3000,200,nugget_only,1,2.1377,12.0000,,0.3000,,2.0439,,1.0000,0.1445
0.3000,0.3000,200,range_only_nugget0,1,2.1740,12.0000,,0.0474,,0.0000,,1.0000,0.2083
0.3000,0.3000,200,range_only_nugget_free,1,2.1377,12.0000,,0.3097,,2.0000,,1.0000,0.1149
0.3000,0.3000,200,sigma_only_nugget0,1,2.1786,35.5328,,0.3000,,0.0000,,1.0000,0.2120
0.3000,0.3000,200,sigma_only_nugget_free,1,2.1377,11.9922,,0.3000,,2.0000,,1.0000,0.1430
0.3000,0.3000,400,full_nugget0,1,2.0842,7.9547,,0.0142,,0.0000,,1.0000,2.3396
0.3000,0.3000,400,full_nugget_free,1,2.0500,6.2275,,0.1070,,2.0315,,1.0000,3.1495
0.3000,0.3000,400,nugget_only,1,2.0514,12.0000,,0.3000,,2.0019,,1.0000,0.5218
0.3000,0.3000,400,range_only_nugget0,1,2.0891,12.0000,,0.0287,,0.0000,,1.0000,0.6801
0.3000,0.3000,400,range_only_nugget_free,1,2.0514,12.0000,,0.3189,,2.0000,,1.0000,0.3145
0.3000,0.3000,400,sigma_only_nugget0,1,2.1041,46.4264,,0.3000,,0.0000,,1.0000,0.4876
0.3000,0.3000,400,sigma_only_nugget_free,1,2.0512,11.1591,,0.3000,,2.0000,,1.0000,0.4389
0.3000,0.3000,800,full_nugget0,1,2.0931,18.4176,,0.0320,,0.0000,,1.0000,8.0378
0.3000,0.3000,800,full_nugget_free,1,2.0119,12.2581,,0.3099,,2.1010,,1.0000,12.6953
0.3000,0.3000,800,nugget_only,1,2.0119,12.0000,,0.3000,,2.1020,,1.0000,1.6558
0.3000,0.3000,800,range_only_nugget0,1,2.0971,12.0000,,0.0161,,0.0000,,1.0000,2.4104
0.3000,0.3000,800,range_only_nugget_free,1,2.0122,12.0000,,0.2682,,2.0000,,1.0000,1.7239
0.3000,0.3000,800,sigma_only_nugget0,1,2.0974,69.5019,,0.3000,,0.0000,,1.0000,1.8352
0.3000,0.3000,800,sigma_only_nugget_free,1,2.0122,12.8349,,0.3000,,2.0000,,1.0000,1.8948
0.3000,0.3000,1600,full_nugget0,1,2.0497,30.9256,,0.0449,,0.0000,,1.0000,29.5351
0.3000,0.3000,1600,full_nugget_free,1,1.9432,16.3452,,0.5197,,2.0081,,1.0000,30.5651
0.3000,0.3000,1600,nugget_only,1,1.9433,12.0000,,0.3000,,2.0009,,1.0000,6.4485
0.3000,0.3000,1600,range_only_nugget0,1,2.0656,12.0000,,0.0102,,0.0000,,1.0000,7.2254
0.3000,0.3000,1600,range_only_nugget_free,1,1.9433,12.0000,,0.3132,,2.0000,,1.0000,5.1102
0.3000,0.3000,1600,sigma_only_nugget0,1,2.0511,96.0978,,0.3000,,0.0000,,1.0000,6.3694
0.3000,0.3000,1600,sigma_only_nugget_free,1,1.9433,11.9425,,0.3000,,2.0000,,1.0000,5.3456
0.3000,0.5000,200,full_nugget0,1,2.2243,13.0136,,0.0208,,0.0000,,1.0000,0.0651
0.3000,0.5000,200,full_nugget_free,1,2.1410,12.0110,,0.2065,,2.7182,,1.0000,0.0601
0.3000,0.5000,200,nugget_only,1,2.1428,12.0000,,0.3000,,2.8992,,1.0000,0.0226
0.3000,0.5000,200,range_only_nugget0,1,2.2247,12.0000,,0.0192,,0.0000,,1.0000,0.0289
0.3000,0.5000,200,range_only_nugget_free,1,2.1500,12.0000,,0.1175,,2.0000,,1.0000,0.0115
0.3000,0.5000,200,sigma_only_nugget0,1,2.2764,165.7901,,0.3000,,0.0000,,1.0000,0.0229
0.3000,0.5000,200,sigma_only_nugget_free,1,2.1538,25.5691,,0.3000,,2.0000,,1.0000,0.0115
