frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.75 b=1 nugget0,GC a=0.75 b=0.5 nugget0,GC a=0.8 b=1 nugget0,GC a=0.8 b=0.5 nugget0,GC a=0.85 b=1 nugget0,GC a=0.85 b=0.5 nugget0,GC a=0.9 b=1 nugget0,GC a=0.9 b=0.5 nugget0,GC a=0.95 b=1 nugget0,GC a=0.95 b=0.5 nugget0,GC a=1 b=1 nugget0,GC a=1 b=0.5 nugget0
ultra_low,0.5729,5.1561,0.7204,0.9152,0.8837,0.9767,0.9414,1.0717,1.0001,1.1716,1.0595,1.2760,1.1235,1.3844,1.1970
low_mid,6.3019,16.6141,0.9004,0.9327,0.9406,0.9323,0.9455,0.9256,0.9534,0.9319,0.9636,0.9258,0.9771,0.9190,0.9794
mid,17.7599,33.8012,1.0910,1.0524,1.0510,1.0454,1.0459,1.0357,1.0399,1.0241,1.0327,1.0065,1.0247,0.9856,1.0164
high,34.9470,56.7172,1.0601,1.0425,1.0349,1.0484,1.0412,1.0527,1.0439,1.0541,1.0468,1.0536,1.0471,1.0534,1.0471
very_high,57.8630,79.6333,0.9075,0.9196,0.9096,0.9404,0.9272,0.9598,0.9429,0.9779,0.9570,0.9960,0.9698,1.0134,0.9821
