frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.7 b=2.5 nugget0,GC a=0.7 b=2 nugget0,GC a=0.7 b=1.5 nugget0
ultra_low,0.5729,5.1561,1.6036,1.1325,1.0899,1.0319
low_mid,6.3019,16.6141,0.7714,0.8988,0.9094,0.9223
mid,17.7599,33.8012,1.0091,1.0295,1.0348,1.0420
high,34.9470,56.7172,1.0775,1.0448,1.0429,1.0403
very_high,57.8630,79.6333,0.9786,0.9445,0.9405,0.9347
