smooth,nugget_mean,nugget_median,nugget_sd,nugget_min,nugget_max,n_tile_hour,global_nugget_mean
0.3000,0.8012,0.0000,1.8585,0.0000,16.6201,128,0.2772
0.5000,1.7583,1.1595,2.1071,0.0000,17.9852,128,1.6692
