true_smooth,fit_smooth,rep,resolution_stride,resolution_label,fit_type,n,loss_per_obs,success,n_iter,fit_s,est_sigmasq,est_range,est_nugget,true_sigmasq,true_range,true_nugget
0.3000,0.3000,0,8,x8,full_nugget_free,32,2.4509,True,10,0.0331,9.0114,0.1586,2.5546,12.0000,0.0800,2.0000
0.3000,0.3000,0,8,x8,full_nugget0,32,2.4659,True,8,0.0149,12.2528,0.0889,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,0,8,x8,sigma_only_nugget_free,32,2.4621,True,3,0.0049,8.3522,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,0,8,x8,range_only_nugget_free,32,2.4548,True,2,0.0028,12.0000,0.1878,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,0,8,x8,nugget_only,32,2.4655,True,8,0.0090,12.0000,0.0800,0.3218,12.0000,0.0800,2.0000
0.3000,0.3000,0,8,x8,sigma_only_nugget0,32,2.4663,True,4,0.0053,11.7674,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,0,8,x8,range_only_nugget0,32,2.4659,True,3,0.0051,12.0000,0.0865,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,0,4,x4,full_nugget_free,64,2.3487,True,25,0.5826,13.5571,0.0917,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,0,4,x4,full_nugget0,64,2.3487,True,8,0.2599,13.5566,0.0917,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,0,4,x4,sigma_only_nugget_free,64,2.3655,True,3,0.0767,8.7398,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,0,4,x4,range_only_nugget_free,64,2.3589,True,3,0.0246,12.0000,0.1647,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,0,4,x4,nugget_only,64,2.3499,True,10,0.0657,12.0000,0.0800,0.0867,12.0000,0.0800,2.0000
0.3000,0.3000,0,4,x4,sigma_only_nugget0,64,2.3492,True,4,0.0336,12.6946,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,0,4,x4,range_only_nugget0,64,2.3498,True,4,0.0333,12.0000,0.0768,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,0,2,x2,full_nugget_free,128,2.4137,True,13,0.6376,9.0503,0.1585,4.0748,12.0000,0.0800,2.0000
0.3000,0.3000,0,2,x2,full_nugget0,128,2.4684,True,11,0.2717,14.8512,0.0333,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,0,2,x2,sigma_only_nugget_free,128,2.4331,True,4,0.1641,12.4812,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,0,2,x2,range_only_nugget_free,128,2.4331,True,3,0.0706,12.0000,0.0735,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,0,2,x2,nugget_only,128,2.4254,True,5,0.1236,12.0000,0.0800,2.8917,12.0000,0.0800,2.0000
0.3000,0.3000,0,2,x2,sigma_only_nugget0,128,2.4777,True,5,0.1226,23.5688,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,0,2,x2,range_only_nugget0,128,2.4726,True,6,0.1110,12.0000,0.0247,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,0,1,x1,full_nugget_free,256,2.2741,True,13,1.8807,12.6366,0.0832,1.9065,12.0000,0.0800,2.0000
0.3000,0.3000,0,1,x1,full_nugget0,256,2.2880,True,10,1.7267,15.5205,0.0370,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,0,1,x1,sigma_only_nugget_free,256,2.2742,True,4,0.5183,12.0193,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,0,1,x1,range_only_nugget_free,256,2.2742,True,3,0.5052,12.0000,0.0812,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,0,1,x1,nugget_only,256,2.2742,True,6,0.5790,12.0000,0.0800,1.9596,12.0000,0.0800,2.0000
0.3000,0.3000,0,1,x1,sigma_only_nugget0,256,2.2919,True,5,0.7229,23.9847,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,0,1,x1,range_only_nugget0,256,2.2913,True,7,0.7934,12.0000,0.0250,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,1,8,x8,full_nugget_free,32,2.3793,True,13,0.0290,12.7991,0.4295,2.1007,12.0000,0.0800,2.0000
0.3000,0.3000,1,8,x8,full_nugget0,32,2.3887,True,8,0.0132,15.1305,0.2000,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,1,8,x8,sigma_only_nugget_free,32,2.4393,True,3,0.0087,8.4097,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,1,8,x8,range_only_nugget_free,32,2.3795,True,5,0.0050,12.0000,0.3712,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,1,8,x8,nugget_only,32,2.4185,True,17,0.0332,12.0000,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,1,8,x8,sigma_only_nugget0,32,2.4149,True,3,0.0084,10.6193,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,1,8,x8,range_only_nugget0,32,2.3927,True,4,0.0060,12.0000,0.1425,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,1,4,x4,full_nugget_free,64,2.3934,True,17,0.4710,7.7890,0.7948,4.8673,12.0000,0.0800,2.0000
0.3000,0.3000,1,4,x4,full_nugget0,64,2.4308,True,9,0.0814,13.3791,0.0631,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,1,4,x4,sigma_only_nugget_free,64,2.4151,True,3,0.0250,9.2616,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,1,4,x4,range_only_nugget_free,64,2.4110,True,3,0.0233,12.0000,0.1516,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,1,4,x4,nugget_only,64,2.4196,True,5,0.0240,12.0000,0.0800,1.3484,12.0000,0.0800,2.0000
0.3000,0.3000,1,4,x4,sigma_only_nugget0,64,2.4319,True,5,0.0361,14.9783,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,1,4,x4,range_only_nugget0,64,2.4318,True,4,0.0213,12.0000,0.0538,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,1,2,x2,full_nugget_free,128,2.3848,True,12,1.1874,10.9656,0.1755,3.4101,12.0000,0.0800,2.0000
0.3000,0.3000,1,2,x2,full_nugget0,128,2.4146,True,10,0.2419,14.9839,0.0425,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,1,2,x2,sigma_only_nugget_free,128,2.3916,True,3,0.1033,11.6736,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,1,2,x2,range_only_nugget_free,128,2.3914,True,3,0.2378,12.0000,0.0880,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,1,2,x2,nugget_only,128,2.3909,True,5,0.2667,12.0000,0.0800,2.2765,12.0000,0.0800,2.0000
0.3000,0.3000,1,2,x2,sigma_only_nugget0,128,2.4192,True,5,0.1872,20.9640,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,1,2,x2,range_only_nugget0,128,2.4184,True,4,0.0694,12.0000,0.0307,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,1,1,x1,full_nugget_free,256,2.2488,True,13,2.7646,12.9758,0.0836,1.6350,12.0000,0.0800,2.0000
0.3000,0.3000,1,1,x1,full_nugget0,256,2.2608,True,10,1.5249,15.1139,0.0389,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,1,1,x1,sigma_only_nugget_free,256,2.2497,True,3,0.4579,11.2799,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,1,1,x1,range_only_nugget_free,256,2.2495,True,3,0.4344,12.0000,0.0919,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,1,1,x1,nugget_only,256,2.2489,True,5,0.4050,12.0000,0.0800,1.7304,12.0000,0.0800,2.0000
0.3000,0.3000,1,1,x1,sigma_only_nugget0,256,2.2640,True,5,0.4075,22.6827,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,1,1,x1,range_only_nugget0,256,2.2631,True,7,0.5924,12.0000,0.0272,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,2,8,x8,full_nugget_free,32,2.6608,True,48,0.1048,12.2006,0.0161,0.0001,12.0000,0.0800,2.0000
0.3000,0.3000,2,8,x8,full_nugget0,32,2.6608,True,11,0.0200,12.1962,0.0161,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,2,8,x8,sigma_only_nugget_free,32,2.7095,True,3,0.0068,14.8220,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,2,8,x8,range_only_nugget_free,32,2.6652,True,5,0.0160,12.0000,0.0197,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,2,8,x8,nugget_only,32,2.6893,True,5,0.0133,12.0000,0.0800,4.9414,12.0000,0.0800,2.0000
0.3000,0.3000,2,8,x8,sigma_only_nugget0,32,2.7298,True,5,0.0076,19.9343,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,2,8,x8,range_only_nugget0,32,2.6609,True,5,0.0074,12.0000,0.0160,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,2,4,x4,full_nugget_free,64,2.4955,True,25,0.4827,3.4563,0.2301,6.6742,12.0000,0.0800,2.0000
0.3000,0.3000,2,4,x4,full_nugget0,64,2.5014,True,10,0.2977,10.3160,0.0213,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,2,4,x4,sigma_only_nugget_free,64,2.5193,True,3,0.0572,12.0434,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,2,4,x4,range_only_nugget_free,64,2.5130,True,4,0.0943,12.0000,0.0493,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,2,4,x4,nugget_only,64,2.5159,True,5,0.1147,12.0000,0.0800,2.7807,12.0000,0.0800,2.0000
0.3000,0.3000,2,4,x4,sigma_only_nugget0,64,2.5401,True,5,0.0248,18.5971,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,2,4,x4,range_only_nugget0,64,2.5049,True,5,0.0429,12.0000,0.0259,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,2,2,x2,full_nugget_free,128,2.3552,True,12,2.0982,6.7420,0.0418,2.5446,12.0000,0.0800,2.0000
0.3000,0.3000,2,2,x2,full_nugget0,128,2.3652,True,11,0.2677,9.4428,0.0186,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,2,2,x2,sigma_only_nugget_free,128,2.3632,True,3,0.0747,10.5096,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,2,2,x2,range_only_nugget_free,128,2.3648,True,3,0.0802,12.0000,0.0795,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,2,2,x2,nugget_only,128,2.3647,True,5,0.1132,12.0000,0.0800,2.0900,12.0000,0.0800,2.0000
0.3000,0.3000,2,2,x2,sigma_only_nugget0,128,2.3934,True,5,0.1735,19.9114,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,2,2,x2,range_only_nugget0,128,2.3705,True,5,0.1028,12.0000,0.0272,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,2,1,x1,full_nugget_free,256,2.2481,True,13,1.4639,7.5442,0.0365,1.8920,12.0000,0.0800,2.0000
0.3000,0.3000,2,1,x1,full_nugget0,256,2.2591,True,12,0.9848,9.7021,0.0163,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,2,1,x1,sigma_only_nugget_free,256,2.2513,True,3,0.2469,10.6679,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,2,1,x1,range_only_nugget_free,256,2.2522,True,3,0.2486,12.0000,0.0856,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,2,1,x1,nugget_only,256,2.2522,True,6,0.3977,12.0000,0.0800,1.8942,12.0000,0.0800,2.0000
0.3000,0.3000,2,1,x1,sigma_only_nugget0,256,2.2779,True,5,0.3531,23.3230,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,2,1,x1,range_only_nugget0,256,2.2617,True,6,0.3296,12.0000,0.0230,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,3,8,x8,full_nugget_free,32,2.5658,True,18,0.0537,5.4826,0.1095,5.7301,12.0000,0.0800,2.0000
0.3000,0.3000,3,8,x8,full_nugget0,32,2.5789,True,9,0.0133,11.2843,0.0323,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,3,8,x8,sigma_only_nugget_free,32,2.5826,True,3,0.0040,10.8000,0.0800,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,3,8,x8,range_only_nugget_free,32,2.5822,True,5,0.0046,12.0000,0.0609,2.0000,12.0000,0.0800,2.0000
0.3000,0.3000,3,8,x8,nugget_only,32,2.5832,True,6,0.0063,12.0000,0.0800,2.5002,12.0000,0.0800,2.0000
0.3000,0.3000,3,8,x8,sigma_only_nugget0,32,2.6037,True,5,0.0083,15.4891,0.0800,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,3,8,x8,range_only_nugget0,32,2.5797,True,4,0.0099,12.0000,0.0346,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,3,4,x4,full_nugget_free,64,2.3889,True,32,0.2852,10.3971,0.0426,0.0000,12.0000,0.0800,2.0000
0.3000,0.3000,3,4,x4,full_nugget0,64,2.3889,True,9,0.0798,10.3965,0.0426,0.0000,12.0000,0.0800,2.0000
