date_str,hour_idx,time_key,resolution_stride,resolution_label,variant,fit_type,smooth,est_sigmasq,est_range,est_nugget,direction,k_mid,data_k_max,data_spectrum,theory_spectrum_expected,theory_spectrum_scaled,theory_scale_to_data
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,6.005147778259436,1.1681229280652734,8.516430707696758,lat,1.189997217269,8.329980520882,32.91321483150348,23.951336504823775,8.93273143149866,0.9167477239571528
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,6.005147778259436,1.1681229280652734,8.516430707696758,lat,2.379994434538,8.329980520882,15.208558185871075,14.236925544315346,8.096573077193847,0.9167477239571528
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,6.005147778259436,1.1681229280652734,8.516430707696758,lat,3.569991651807,8.329980520882,4.597248748380772,10.385138860087224,7.910186121166405,0.9167477239571528
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,6.005147778259436,1.1681229280652734,8.516430707696758,lat,4.759988869075,8.329980520882,7.123280271571981,9.32380443360905,7.853882897392169,0.9167477239571528
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,6.005147778259436,1.1681229280652734,8.516430707696758,lat,5.949986086344,8.329980520882,8.47075180635856,8.959227667209701,7.8320107080160914,0.9167477239571528
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,6.005147778259436,1.1681229280652734,8.516430707696758,lat,7.139983303613,8.329980520882,6.982373100797531,8.812874866261007,7.821913403872744,0.9167477239571528
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,6.005147778259436,1.1681229280652734,8.516430707696758,lat,8.329980520882,8.329980520882,7.816648945806236,8.757961623560472,7.816648945806236,0.9167477239571528
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,6.005147778259436,1.1681229280652734,8.516430707696758,lon,0.623331875712,6.233318757123,12.032173047907097,25.544765726516083,10.532559620367513,0.9667582154779981
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,6.005147778259436,1.1681229280652734,8.516430707696758,lon,1.246663751425,6.233318757123,29.397211716212254,20.081282246943935,9.339579655826043,0.9667582154779981
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,6.005147778259436,1.1681229280652734,8.516430707696758,lon,1.869995627137,6.233318757123,31.90653745702702,14.123430697832251,8.758470865116305,0.9667582154779981
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,6.005147778259436,1.1681229280652734,8.516430707696758,lon,2.493327502849,6.233318757123,11.915970040390034,11.412053931016434,8.50597306442507,0.9667582154779981
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,6.005147778259436,1.1681229280652734,8.516430707696758,lon,3.116659378561,6.233318757123,5.339347210770376,10.177946871114822,8.388646755460517,0.9667582154779981
