frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.7 b=3 nugget0,GC a=0.7 b=3.5 nugget0,GC a=0.7 b=4 nugget0
ultra_low,0.5729,5.1561,1.6036,1.1656,1.1920,1.2134
low_mid,6.3019,16.6141,0.7714,0.8905,0.8838,0.8784
mid,17.7599,33.8012,1.0091,1.0255,1.0224,1.0199
high,34.9470,56.7172,1.0775,1.0461,1.0472,1.0480
very_high,57.8630,79.6333,0.9786,0.9475,0.9497,0.9515
