k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.75 b=1 nugget0,GC a=0.75 b=0.5 nugget0,GC a=0.8 b=1 nugget0,GC a=0.8 b=0.5 nugget0,GC a=0.85 b=1 nugget0,GC a=0.85 b=0.5 nugget0,GC a=0.9 b=1 nugget0,GC a=0.9 b=0.5 nugget0,GC a=0.95 b=1 nugget0,GC a=0.95 b=0.5 nugget0,GC a=1 b=1 nugget0,GC a=1 b=0.5 nugget0
0,0.5729,4.7017,2.8862,2.0457,3.5541,2.3950,4.2831,2.7474,5.0669,3.0983,5.8984,3.4439,6.7697,3.7814
1,1.7187,1.1577,1.2604,1.0761,1.4649,1.2188,1.6831,1.3629,1.9144,1.5068,2.1574,1.6494,2.4105,1.7894
2,2.8645,0.6817,0.8867,0.8236,0.9767,0.8982,1.0717,0.9735,1.1716,1.0488,1.2760,1.1235,1.3844,1.1970
3,4.0103,0.7204,0.9152,0.8837,0.9747,0.9414,1.0379,1.0001,1.1050,1.0595,1.1758,1.1191,1.2500,1.1784
4,5.1561,0.6562,0.8041,0.7896,0.8386,0.8274,0.8754,0.8662,0.9151,0.9057,0.9575,0.9457,1.0025,0.9857
5,6.3019,0.7713,0.9148,0.9115,0.9371,0.9411,0.9620,0.9722,0.9900,1.0045,1.0209,1.0378,1.0548,1.0716
6,7.4477,0.8014,0.9000,0.8980,0.9126,0.9196,0.9269,0.9424,0.9438,0.9664,0.9635,0.9916,0.9858,1.0175
7,8.5935,0.7855,0.8634,0.8683,0.8659,0.8805,0.8702,0.8941,0.8769,0.9092,0.8864,0.9257,0.8984,0.9432
8,9.7393,0.8509,0.9098,0.9164,0.9063,0.9237,0.9043,0.9324,0.9047,0.9427,0.9078,0.9544,0.9135,0.9674
9,10.8851,0.8963,0.9389,0.9465,0.9310,0.9499,0.9244,0.9546,0.9200,0.9608,0.9183,0.9687,0.9193,0.9780
10,12.0309,0.9044,0.9265,0.9348,0.9141,0.9333,0.9028,0.9332,0.8938,0.9347,0.8873,0.9380,0.8835,0.9428
11,13.1767,0.9397,0.9517,0.9644,0.9336,0.9574,0.9173,0.9523,0.9035,0.9493,0.8925,0.9484,0.8843,0.9494
12,14.3225,0.9906,0.9959,1.0053,0.9788,0.9997,0.9624,0.9949,0.9477,0.9916,0.9353,0.9900,0.9254,0.9900
13,15.4683,1.0614,1.0554,1.0652,1.0354,1.0568,1.0159,1.0493,0.9979,1.0432,0.9822,1.0388,0.9691,1.0361
14,16.6141,1.0264,1.0099,1.0187,0.9895,1.0088,0.9693,0.9997,0.9503,0.9918,0.9334,0.9855,0.9187,0.9807
15,17.7599,1.0207,1.0016,1.0108,0.9805,0.9998,0.9595,0.9894,0.9397,0.9802,0.9215,0.9724,0.9054,0.9661
16,18.9057,1.0711,1.0427,1.0510,1.0203,1.0387,0.9978,1.0267,0.9762,1.0158,0.9562,1.0063,0.9381,0.9983
17,20.0515,1.0288,0.9964,1.0039,0.9749,0.9913,0.9531,0.9790,0.9320,0.9675,0.9121,0.9573,0.8940,0.9484
18,21.1974,1.0791,1.0432,1.0502,1.0217,1.0375,0.9993,1.0247,0.9774,1.0126,0.9565,1.0015,0.9371,0.9917
19,22.3432,1.1530,1.1106,1.1166,1.0885,1.1034,1.0653,1.0897,1.0422,1.0765,1.0199,1.0642,0.9989,1.0532
20,23.4890,1.1388,1.0950,1.1005,1.0738,1.0874,1.0512,1.0737,1.0286,1.0604,1.0065,1.0479,0.9856,1.0364
21,24.6348,1.1429,1.0973,1.1017,1.0771,1.0892,1.0553,1.0758,1.0332,1.0626,1.0115,1.0499,0.9906,1.0382
22,25.7806,1.0910,1.0466,1.0506,1.0280,1.0387,1.0079,1.0260,0.9873,1.0133,0.9668,1.0011,0.9471,0.9896
23,26.9264,1.0696,1.0268,1.0315,1.0086,1.0192,0.9892,1.0063,0.9693,0.9934,0.9496,0.9811,0.9304,0.9695
24,28.0722,1.1498,1.1048,1.1068,1.0885,1.0965,1.0701,1.0849,1.0507,1.0728,1.0310,1.0608,1.0115,1.0493
25,29.2180,1.1202,1.0772,1.0781,1.0630,1.0692,1.0466,1.0588,1.0290,1.0477,1.0108,1.0366,0.9926,1.0257
26,30.3638,1.1913,1.1471,1.1468,1.1341,1.1389,1.1186,1.1291,1.1015,1.1185,1.0836,1.1074,1.0653,1.0965
27,31.5096,1.0696,1.0302,1.0295,1.0197,1.0230,1.0068,1.0149,0.9924,1.0057,0.9771,0.9962,0.9614,0.9866
28,32.6554,1.1317,1.0927,1.0915,1.0831,1.0857,1.0710,1.0780,1.0572,1.0693,1.0423,1.0599,1.0268,1.0504
29,33.8012,1.0891,1.0524,1.0497,1.0454,1.0459,1.0357,1.0399,1.0241,1.0327,1.0113,1.0247,0.9976,1.0164
30,34.9470,1.1024,1.0676,1.0643,1.0621,1.0615,1.0540,1.0567,1.0438,1.0504,1.0322,1.0432,1.0196,1.0355
31,36.0928,1.1145,1.0814,1.0773,1.0777,1.0759,1.0711,1.0722,1.0624,1.0670,1.0521,1.0607,1.0407,1.0537
32,37.2386,1.1141,1.0831,1.0782,1.0813,1.0782,1.0765,1.0757,1.0695,1.0716,1.0608,1.0663,1.0508,1.0603
33,38.3844,1.0771,1.0490,1.0438,1.0485,1.0448,1.0452,1.0434,1.0398,1.0403,1.0326,1.0360,1.0241,1.0308
34,39.5302,1.1512,1.1232,1.1179,1.1237,1.1196,1.1215,1.1188,1.1169,1.1162,1.1105,1.1123,1.1027,1.1075
