frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.7 b=0.35 nugget0,GC a=0.7 b=0.25 nugget0,GC a=0.7 b=0.15 nugget0,GC a=0.8 b=0.35 nugget0,GC a=0.8 b=0.25 nugget0,GC a=0.8 b=0.15 nugget0
ultra_low,0.5729,5.1561,0.9014,1.0249,0.9651,0.8931,1.1231,1.0433,0.9512
low_mid,6.3019,16.6141,0.5781,0.9386,0.9398,0.9344,0.9583,0.9485,0.9404
mid,17.7599,33.8012,0.8964,1.0600,1.0644,1.0669,1.0528,1.0599,1.0649
high,34.9470,56.7172,1.1111,1.0466,1.0439,1.0409,1.0543,1.0537,1.0513
very_high,57.8630,79.6333,1.0638,0.9437,0.9373,0.9309,0.9637,0.9563,0.9491
