year,variant,model_label,nugget_mode,n_slices,sigmasq_median,range_lat_median,range_lon_median,nugget_median,loss_median,loss_mean
2024,gc_a0p75_b0p5_nugget0,GC a=0.75 b=0.5 nugget0,nugget0,40,21.3564,0.2580,0.3238,0.0000,1.3758,1.3673
2024,gc_a0p75_b1p0_nugget0,GC a=0.75 b=1 nugget0,nugget0,40,15.9825,0.4696,0.5708,0.0000,1.2899,1.2773
2024,gc_a0p85_b0p5_nugget0,GC a=0.85 b=0.5 nugget0,nugget0,40,16.5743,0.1307,0.1648,0.0000,1.4748,1.4818
2024,gc_a0p85_b1p0_nugget0,GC a=0.85 b=1 nugget0,nugget0,40,13.9147,0.2352,0.2906,0.0000,1.3113,1.2869
2024,gc_a0p8_b0p5_nugget0,GC a=0.8 b=0.5 nugget0,nugget0,40,18.1852,0.1763,0.2221,0.0000,1.4166,1.4268
2024,gc_a0p8_b1p0_nugget0,GC a=0.8 b=1 nugget0,nugget0,40,14.6055,0.3196,0.3902,0.0000,1.3013,1.2795
2024,gc_a0p95_b0p5_nugget0,GC a=0.95 b=0.5 nugget0,nugget0,40,15.1687,0.0841,0.1065,0.0000,1.5859,1.6322
2024,gc_a0p95_b1p0_nugget0,GC a=0.95 b=1 nugget0,nugget0,40,12.9200,0.1484,0.1844,0.0000,1.3573,1.3320
2024,gc_a0p9_b0p5_nugget0,GC a=0.9 b=0.5 nugget0,nugget0,40,15.7923,0.1026,0.1298,0.0000,1.5054,1.5451
2024,gc_a0p9_b1p0_nugget0,GC a=0.9 b=1 nugget0,nugget0,40,13.3681,0.1830,0.2265,0.0000,1.3031,1.2993
2024,gc_a1p0_b0p5_nugget0,GC a=1 b=0.5 nugget0,nugget0,40,14.6547,0.0712,0.0903,0.0000,1.8291,1.8040
2024,gc_a1p0_b1p0_nugget0,GC a=1 b=1 nugget0,nugget0,40,12.5327,0.1241,0.1555,0.0000,1.3490,1.3601
2024,matern_s03_nugget0,Matern s=0.3 nugget0,nugget0,40,16.2442,0.4001,0.5171,0.0000,1.2959,1.2812
