frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.7 b=2 nugget0,GC a=0.7 b=1 nugget0,GC a=0.7 b=0.5 nugget0
ultra_low,0.5729,5.1561,0.9014,1.2074,1.1906,1.0924
low_mid,6.3019,16.6141,0.5781,0.8073,0.8854,0.9333
mid,17.7599,33.8012,0.8964,0.9663,1.0110,1.0509
high,34.9470,56.7172,1.1111,1.0668,1.0569,1.0502
very_high,57.8630,79.6333,1.0638,1.0017,0.9769,0.9529
