date_str,day_idx,hour_idx,time_key,smooth,fit_scope,fit_type,model,kernel,mean_design,loss,fit_iter_raw,fit_steps_reported,precompute_s,fit_s,total_s,n_grid,n_valid,valid_fraction,est_sigmasq,est_range,est_nugget,n_batches,n_tails,mean_m,max_m,largest_batch_n
20240706,5,0,2024_07_y24m07day06_hm00:53,0.3000,global_anchor,global_sigmasq_range_nugget,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,lat,1.3265,0,1,0.1446,1.4677,1.6123,18126,18069,0.9969,15.5357,0.4565,0.6562,1,18069,8.0000,8,18069
20240706,5,1,2024_07_y24m07day06_hm01:53,0.3000,global_anchor,global_sigmasq_range_nugget,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,lat,1.3881,0,1,0.0859,1.3884,1.4743,18126,17517,0.9664,20.1634,0.5962,0.9340,1,17517,8.0000,8,17517
20240706,5,2,2024_07_y24m07day06_hm02:53,0.3000,global_anchor,global_sigmasq_range_nugget,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,lat,1.4743,0,1,0.0676,1.8405,1.9080,18126,16585,0.9150,27.8893,1.0037,1.8005,1,16585,8.0000,8,16585
20240706,5,3,2024_07_y24m07day06_hm03:53,0.3000,global_anchor,global_sigmasq_range_nugget,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,lat,1.3485,1,2,0.0792,2.6179,2.6971,18126,16582,0.9148,37.7342,1.3317,0.0002,1,16582,8.0000,8,16582
20240706,5,4,2024_07_y24m07day06_hm04:48,0.3000,global_anchor,global_sigmasq_range_nugget,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,lat,1.3300,1,2,0.0755,2.8404,2.9159,18126,16703,0.9215,35.3932,1.2696,0.0001,1,16703,8.0000,8,16703
20240706,5,5,2024_07_y24m07day06_hm05:48,0.3000,global_anchor,global_sigmasq_range_nugget,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,lat,1.3442,1,2,0.0676,3.6172,3.6849,18126,17675,0.9751,37.0168,1.2958,0.0000,1,17675,8.0000,8,17675
20240706,5,6,2024_07_y24m07day06_hm06:48,0.3000,global_anchor,global_sigmasq_range_nugget,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,lat,1.2784,1,2,0.0772,4.0044,4.0816,18126,18096,0.9983,28.6826,1.0463,0.0000,1,18096,8.0000,8,18096
20240706,5,7,2024_07_y24m07day06_hm07:48,0.3000,global_anchor,global_sigmasq_range_nugget,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,lat,1.2678,1,2,0.0677,2.6188,2.6865,18126,18102,0.9987,13.5986,0.3068,0.0001,1,18102,8.0000,8,18102
20240706,5,0,2024_07_y24m07day06_hm00:53,0.5000,global_anchor,global_sigmasq_range_nugget,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,lat,1.3120,0,1,0.0580,1.1051,1.1631,18126,18069,0.9969,12.9560,0.3017,2.0446,1,18069,8.0000,8,18069
20240706,5,1,2024_07_y24m07day06_hm01:53,0.5000,global_anchor,global_sigmasq_range_nugget,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,lat,1.4006,0,1,0.1396,1.0308,1.1704,18126,17517,0.9664,16.4629,0.3515,2.4830,1,17517,8.0000,8,17517
20240706,5,2,2024_07_y24m07day06_hm02:53,0.5000,global_anchor,global_sigmasq_range_nugget,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,lat,1.5255,0,1,0.0675,1.0226,1.0901,18126,16585,0.9150,19.1375,0.3798,3.2005,1,16585,8.0000,8,16585
20240706,5,3,2024_07_y24m07day06_hm03:53,0.5000,global_anchor,global_sigmasq_range_nugget,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,lat,1.3584,0,1,0.0632,1.0958,1.1590,18126,16582,0.9148,19.6864,0.3046,1.3479,1,16582,8.0000,8,16582
20240706,5,4,2024_07_y24m07day06_hm04:48,0.5000,global_anchor,global_sigmasq_range_nugget,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,lat,1.3379,0,1,0.0565,0.8503,0.9068,18126,16703,0.9215,20.2347,0.3074,1.1447,1,16703,8.0000,8,16703
20240706,5,5,2024_07_y24m07day06_hm05:48,0.5000,global_anchor,global_sigmasq_range_nugget,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,lat,1.3536,0,1,0.0723,1.1294,1.2018,18126,17675,0.9751,16.7182,0.2533,1.3099,1,17675,8.0000,8,17675
20240706,5,6,2024_07_y24m07day06_hm06:48,0.5000,global_anchor,global_sigmasq_range_nugget,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,lat,1.2814,0,1,0.1760,0.9722,1.1482,18126,18096,0.9983,14.0317,0.2267,1.0052,1,18096,8.0000,8,18096
20240706,5,7,2024_07_y24m07day06_hm07:48,0.5000,global_anchor,global_sigmasq_range_nugget,HybridSpaceIso_A10_exactloc,hybrid_space_iso_tonly_exactloc,lat,1.2710,0,1,0.0620,0.9368,0.9988,18126,18102,0.9987,11.5443,0.1926,1.0597,1,18102,8.0000,8,18102
