frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,Matern s=0.3 nugget free,GC a=0.6 b=2.5 nugget0,GC a=0.6 b=2.5 nugget free,GC a=0.6 b=3.3 nugget0,GC a=0.6 b=3.3 nugget free,GC a=0.6 b=5 nugget0,GC a=0.6 b=5 nugget free,GC a=0.7 b=2.5 nugget0,GC a=0.7 b=2.5 nugget free,GC a=0.7 b=3.3 nugget0,GC a=0.7 b=3.3 nugget free,GC a=0.7 b=5 nugget0,GC a=0.7 b=5 nugget free
ultra_low,0.5729,5.1561,0.9014,0.7111,1.0202,0.9323,1.0120,0.9184,0.9994,0.9001,1.2013,0.9603,1.1911,0.9322,1.1749,0.8991
low_mid,6.3019,16.6141,0.5781,0.7867,0.8343,0.8895,0.8191,0.8831,0.8011,0.8757,0.7864,0.8604,0.7641,0.8520,0.7356,0.8429
mid,17.7599,33.8012,0.8964,1.1172,1.0099,1.0749,1.0027,1.0748,0.9943,1.0750,0.9546,1.0749,0.9424,1.0786,0.9286,1.0833
high,34.9470,56.7172,1.1111,1.0890,1.0487,1.0549,1.0516,1.0564,1.0549,1.0581,1.0676,1.0747,1.0687,1.0763,1.0721,1.0780
very_high,57.8630,79.6333,1.0638,0.9362,0.9590,0.9311,0.9632,0.9314,0.9681,0.9315,1.0078,0.9488,1.0143,0.9471,1.0216,0.9449
