n,true_smooth,fit_smooth,rep,fit_type,loss_per_obs,success,message,n_iter,n_eval,fit_s,est_sigmasq,est_range,est_nugget,true_sigmasq,true_range,true_nugget
200,0.5000,0.5000,0,nugget0_sigma_range,1.1650,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7,36,0.0912,14.6996,0.2444,0.0000,12.0000,0.2000,0.0000
400,0.5000,0.5000,0,nugget0_sigma_range,0.8095,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,39,0.1576,17.6981,0.3007,0.0000,12.0000,0.2000,0.0000
800,0.5000,0.5000,0,nugget0_sigma_range,0.3981,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,54,0.5737,5.2598,0.1006,0.0000,12.0000,0.2000,0.0000
1600,0.5000,0.5000,0,nugget0_sigma_range,0.1262,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,81,3.5625,21.1019,0.3508,0.0000,12.0000,0.2000,0.0000
3200,0.5000,0.5000,0,nugget0_sigma_range,-0.2243,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,63,11.4770,5.6861,0.0949,0.0000,12.0000,0.2000,0.0000
200,0.5000,1.5000,0,nugget0_sigma_range,1.3429,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10,63,0.3108,8.4553,0.0190,0.0000,12.0000,0.2000,0.0000
400,0.5000,1.5000,0,nugget0_sigma_range,1.0540,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,39,0.5567,12.8027,0.0145,0.0000,12.0000,0.2000,0.0000
800,0.5000,1.5000,0,nugget0_sigma_range,0.6677,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,69,3.8745,3.4250,0.0057,0.0000,12.0000,0.2000,0.0000
1600,0.5000,1.5000,0,nugget0_sigma_range,0.4844,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9,33,7.0534,15.5044,0.0061,0.0000,12.0000,0.2000,0.0000
3200,0.5000,1.5000,0,nugget0_sigma_range,0.1922,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9,36,27.7378,33.6378,0.0050,0.0000,12.0000,0.2000,0.0000
200,1.5000,0.5000,0,nugget0_sigma_range,-0.6925,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,54,0.0521,1.2524,0.8731,0.0000,12.0000,0.2000,0.0000
400,1.5000,0.5000,0,nugget0_sigma_range,-1.3348,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9,42,0.0825,1.1986,1.5000,0.0000,12.0000,0.2000,0.0000
800,1.5000,0.5000,0,nugget0_sigma_range,-2.0023,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5,45,0.3953,0.6351,1.5000,0.0000,12.0000,0.2000,0.0000
1600,1.5000,0.5000,0,nugget0_sigma_range,-2.3465,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2,27,1.0456,0.6405,1.5000,0.0000,12.0000,0.2000,0.0000
3200,1.5000,0.5000,0,nugget0_sigma_range,-3.5127,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6,30,5.3645,0.1246,1.5000,0.0000,12.0000,0.2000,0.0000
200,1.5000,1.5000,0,nugget0_sigma_range,-1.6457,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9,45,0.2027,1.9572,0.1096,0.0000,12.0000,0.2000,0.0000
400,1.5000,1.5000,0,nugget0_sigma_range,-2.6826,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9,72,1.0054,3.6381,0.1379,0.0000,12.0000,0.2000,0.0000
800,1.5000,1.5000,0,nugget0_sigma_range,-3.6395,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6,66,3.6182,3.8342,0.1338,0.0000,12.0000,0.2000,0.0000
1600,1.5000,1.5000,0,nugget0_sigma_range,-4.7080,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,5,87,18.5421,3.8752,0.1381,0.0000,12.0000,0.2000,0.0000
3200,1.5000,1.5000,0,nugget0_sigma_range,-5.6914,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1,57,44.0840,3.8752,0.1381,0.0000,12.0000,0.2000,0.0000
