date_str,hour_idx,time_key,resolution_stride,resolution_label,fit_type,parameter,estimate,loss,n_grid,n_valid
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,full,sigmasq,10.0860,1.6257,2266,2259
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,full,range,0.5288,1.6257,2266,2259
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,full,nugget,2.9860,1.6257,2266,2259
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,full,sigmasq,10.7934,1.5266,4532,4518
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,full,range,0.4470,1.5266,4532,4518
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,full,nugget,1.9478,1.5266,4532,4518
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,full,sigmasq,11.9823,1.5392,9063,9033
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,full,range,0.3575,1.5392,9063,9033
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,full,nugget,2.7319,1.5392,9063,9033
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,full,sigmasq,12.0694,1.4260,18126,18067
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,full,range,0.3373,1.4260,18126,18067
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,full,nugget,1.8091,1.4260,18126,18067
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,full,sigmasq,13.0757,1.6627,2266,2208
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,full,range,0.4395,1.6627,2266,2208
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,full,nugget,1.9007,1.6627,2266,2208
20240703,1,2024_07_y24m07day03_hm01:53,4,x4,full,sigmasq,14.6186,1.5507,4532,4422
20240703,1,2024_07_y24m07day03_hm01:53,4,x4,full,range,0.4076,1.5507,4532,4422
20240703,1,2024_07_y24m07day03_hm01:53,4,x4,full,nugget,0.5797,1.5507,4532,4422
20240703,1,2024_07_y24m07day03_hm01:53,2,x2,full,sigmasq,14.4861,1.4486,9063,8840
20240703,1,2024_07_y24m07day03_hm01:53,2,x2,full,range,0.3585,1.4486,9063,8840
20240703,1,2024_07_y24m07day03_hm01:53,2,x2,full,nugget,0.4758,1.4486,9063,8840
20240703,1,2024_07_y24m07day03_hm01:53,1,x1,full,sigmasq,14.1441,1.3901,18126,17670
20240703,1,2024_07_y24m07day03_hm01:53,1,x1,full,range,0.3189,1.3901,18126,17670
20240703,1,2024_07_y24m07day03_hm01:53,1,x1,full,nugget,0.5996,1.3901,18126,17670
20240703,2,2024_07_y24m07day03_hm02:53,8,x8,full,sigmasq,14.9281,1.7118,2266,2082
20240703,2,2024_07_y24m07day03_hm02:53,8,x8,full,range,0.4887,1.7118,2266,2082
20240703,2,2024_07_y24m07day03_hm02:53,8,x8,full,nugget,2.1906,1.7118,2266,2082
20240703,2,2024_07_y24m07day03_hm02:53,4,x4,full,sigmasq,15.6155,1.6181,4532,4176
20240703,2,2024_07_y24m07day03_hm02:53,4,x4,full,range,0.4576,1.6181,4532,4176
20240703,2,2024_07_y24m07day03_hm02:53,4,x4,full,nugget,1.7235,1.6181,4532,4176
20240703,2,2024_07_y24m07day03_hm02:53,2,x2,full,sigmasq,16.6419,1.4597,9063,8353
20240703,2,2024_07_y24m07day03_hm02:53,2,x2,full,range,0.3254,1.4597,9063,8353
20240703,2,2024_07_y24m07day03_hm02:53,2,x2,full,nugget,0.0001,1.4597,9063,8353
20240703,2,2024_07_y24m07day03_hm02:53,1,x1,full,sigmasq,17.0162,1.3570,18126,16698
20240703,2,2024_07_y24m07day03_hm02:53,1,x1,full,range,0.3401,1.3570,18126,16698
20240703,2,2024_07_y24m07day03_hm02:53,1,x1,full,nugget,0.0002,1.3570,18126,16698
20240703,3,2024_07_y24m07day03_hm03:53,8,x8,full,sigmasq,17.2324,1.7481,2266,2114
20240703,3,2024_07_y24m07day03_hm03:53,8,x8,full,range,0.4212,1.7481,2266,2114
20240703,3,2024_07_y24m07day03_hm03:53,8,x8,full,nugget,1.3703,1.7481,2266,2114
20240703,3,2024_07_y24m07day03_hm03:53,4,x4,full,sigmasq,17.9549,1.6486,4532,4217
20240703,3,2024_07_y24m07day03_hm03:53,4,x4,full,range,0.4010,1.6486,4532,4217
20240703,3,2024_07_y24m07day03_hm03:53,4,x4,full,nugget,0.8816,1.6486,4532,4217
20240703,3,2024_07_y24m07day03_hm03:53,2,x2,full,sigmasq,18.4277,1.4811,9063,8428
20240703,3,2024_07_y24m07day03_hm03:53,2,x2,full,range,0.3614,1.4811,9063,8428
20240703,3,2024_07_y24m07day03_hm03:53,2,x2,full,nugget,0.0001,1.4811,9063,8428
20240703,3,2024_07_y24m07day03_hm03:53,1,x1,full,sigmasq,18.5412,1.3841,18126,16863
20240703,3,2024_07_y24m07day03_hm03:53,1,x1,full,range,0.3593,1.3841,18126,16863
20240703,3,2024_07_y24m07day03_hm03:53,1,x1,full,nugget,0.0003,1.3841,18126,16863
20240703,4,2024_07_y24m07day03_hm04:48,8,x8,full,sigmasq,16.0280,1.7854,2266,2145
20240703,4,2024_07_y24m07day03_hm04:48,8,x8,full,range,0.4074,1.7854,2266,2145
20240703,4,2024_07_y24m07day03_hm04:48,8,x8,full,nugget,2.7050,1.7854,2266,2145
20240703,4,2024_07_y24m07day03_hm04:48,4,x4,full,sigmasq,17.3470,1.6992,4532,4288
20240703,4,2024_07_y24m07day03_hm04:48,4,x4,full,range,0.3272,1.6992,4532,4288
20240703,4,2024_07_y24m07day03_hm04:48,4,x4,full,nugget,1.3401,1.6992,4532,4288
20240703,4,2024_07_y24m07day03_hm04:48,2,x2,full,sigmasq,19.4654,1.5323,9063,8552
20240703,4,2024_07_y24m07day03_hm04:48,2,x2,full,range,0.3317,1.5323,9063,8552
20240703,4,2024_07_y24m07day03_hm04:48,2,x2,full,nugget,0.0000,1.5323,9063,8552
20240703,4,2024_07_y24m07day03_hm04:48,1,x1,full,sigmasq,19.1895,1.4235,18126,17088
20240703,4,2024_07_y24m07day03_hm04:48,1,x1,full,range,0.3324,1.4235,18126,17088
20240703,4,2024_07_y24m07day03_hm04:48,1,x1,full,nugget,0.0000,1.4235,18126,17088
20240703,5,2024_07_y24m07day03_hm05:48,8,x8,full,sigmasq,15.2865,1.7564,2266,2221
20240703,5,2024_07_y24m07day03_hm05:48,8,x8,full,range,0.3689,1.7564,2266,2221
20240703,5,2024_07_y24m07day03_hm05:48,8,x8,full,nugget,2.2664,1.7564,2266,2221
20240703,5,2024_07_y24m07day03_hm05:48,4,x4,full,sigmasq,16.1472,1.6585,4532,4439
20240703,5,2024_07_y24m07day03_hm05:48,4,x4,full,range,0.3287,1.6585,4532,4439
20240703,5,2024_07_y24m07day03_hm05:48,4,x4,full,nugget,1.2046,1.6585,4532,4439
20240703,5,2024_07_y24m07day03_hm05:48,2,x2,full,sigmasq,17.2208,1.5162,9063,8881
20240703,5,2024_07_y24m07day03_hm05:48,2,x2,full,range,0.2796,1.5162,9063,8881
20240703,5,2024_07_y24m07day03_hm05:48,2,x2,full,nugget,0.0001,1.5162,9063,8881
20240703,5,2024_07_y24m07day03_hm05:48,1,x1,full,sigmasq,17.2060,1.4220,18126,17760
20240703,5,2024_07_y24m07day03_hm05:48,1,x1,full,range,0.2745,1.4220,18126,17760
20240703,5,2024_07_y24m07day03_hm05:48,1,x1,full,nugget,0.0000,1.4220,18126,17760
20240703,6,2024_07_y24m07day03_hm06:48,8,x8,full,sigmasq,12.9191,1.6972,2266,2264
20240703,6,2024_07_y24m07day03_hm06:48,8,x8,full,range,0.3416,1.6972,2266,2264
20240703,6,2024_07_y24m07day03_hm06:48,8,x8,full,nugget,2.1552,1.6972,2266,2264
20240703,6,2024_07_y24m07day03_hm06:48,4,x4,full,sigmasq,13.3969,1.6245,4532,4527
20240703,6,2024_07_y24m07day03_hm06:48,4,x4,full,range,0.3845,1.6245,4532,4527
20240703,6,2024_07_y24m07day03_hm06:48,4,x4,full,nugget,2.3376,1.6245,4532,4527
20240703,6,2024_07_y24m07day03_hm06:48,2,x2,full,sigmasq,14.7837,1.5060,9063,9052
20240703,6,2024_07_y24m07day03_hm06:48,2,x2,full,range,0.2644,1.5060,9063,9052
20240703,6,2024_07_y24m07day03_hm06:48,2,x2,full,nugget,0.4095,1.5060,9063,9052
20240703,6,2024_07_y24m07day03_hm06:48,1,x1,full,sigmasq,14.9729,1.3808,18126,18104
20240703,6,2024_07_y24m07day03_hm06:48,1,x1,full,range,0.2477,1.3808,18126,18104
20240703,6,2024_07_y24m07day03_hm06:48,1,x1,full,nugget,0.0001,1.3808,18126,18104
20240703,7,2024_07_y24m07day03_hm07:48,8,x8,full,sigmasq,11.3209,1.7242,2266,2263
20240703,7,2024_07_y24m07day03_hm07:48,8,x8,full,range,0.3839,1.7242,2266,2263
20240703,7,2024_07_y24m07day03_hm07:48,8,x8,full,nugget,3.8549,1.7242,2266,2263
20240703,7,2024_07_y24m07day03_hm07:48,4,x4,full,sigmasq,12.3783,1.6124,4532,4526
20240703,7,2024_07_y24m07day03_hm07:48,4,x4,full,range,0.3375,1.6124,4532,4526
20240703,7,2024_07_y24m07day03_hm07:48,4,x4,full,nugget,2.1960,1.6124,4532,4526
20240703,7,2024_07_y24m07day03_hm07:48,2,x2,full,sigmasq,14.1760,1.4753,9063,9051
20240703,7,2024_07_y24m07day03_hm07:48,2,x2,full,range,0.2313,1.4753,9063,9051
20240703,7,2024_07_y24m07day03_hm07:48,2,x2,full,nugget,0.0667,1.4753,9063,9051
20240703,7,2024_07_y24m07day03_hm07:48,1,x1,full,sigmasq,13.7975,1.3992,18126,18102
20240703,7,2024_07_y24m07day03_hm07:48,1,x1,full,range,0.2005,1.3992,18126,18102
20240703,7,2024_07_y24m07day03_hm07:48,1,x1,full,nugget,0.0000,1.3992,18126,18102
