date_str,hour_idx,time_key,resolution_stride,resolution_label,variant,fit_type,smooth,est_sigmasq,est_range,est_nugget,direction,k_mid,data_k_max,data_spectrum,theory_spectrum_expected,theory_spectrum_scaled,theory_scale_to_data
20240703,0,2024_07_y24m07day03_hm00:56,8,x8,nugget_free,full,0.3,10.676641552126936,1.2053296591100267,4.122358245828543,lat,0.615515802036,8.617221228499,28.868496056742913,38.4464089299366,23.70565515585847,1.3952187788207424
20240703,0,2024_07_y24m07day03_hm00:56,8,x8,nugget_free,full,0.3,10.676641552126936,1.2053296591100267,4.122358245828543,lat,1.231031604071,8.617221228499,14.375830325962813,25.145727150031682,14.560337523108482,1.3952187788207424
20240703,0,2024_07_y24m07day03_hm00:56,8,x8,nugget_free,full,0.3,10.676641552126936,1.2053296591100267,4.122358245828543,lat,1.846547406107,8.617221228499,16.55728612390967,17.30729005723462,10.846992032050244,1.3952187788207424
20240703,0,2024_07_y24m07day03_hm00:56,8,x8,nugget_free,full,0.3,10.676641552126936,1.2053296591100267,4.122358245828543,lat,2.462063208142,8.617221228499,9.797405017229439,13.625863800355237,9.094302601585216,1.3952187788207424
20240703,0,2024_07_y24m07day03_hm00:56,8,x8,nugget_free,full,0.3,10.676641552126936,1.2053296591100267,4.122358245828543,lat,3.077579010178,8.617221228499,5.230180232512394,11.575414350562664,8.134535562304029,1.3952187788207424
20240703,0,2024_07_y24m07day03_hm00:56,8,x8,nugget_free,full,0.3,10.676641552126936,1.2053296591100267,4.122358245828543,lat,3.693094812214,8.617221228499,6.5443481776217975,10.28849102285309,7.549998548478015,1.3952187788207424
20240703,0,2024_07_y24m07day03_hm00:56,8,x8,nugget_free,full,0.3,10.676641552126936,1.2053296591100267,4.122358245828543,lat,4.308610614249,8.617221228499,12.451171944612934,9.43836126105678,7.16573296859603,1.3952187788207424
20240703,0,2024_07_y24m07day03_hm00:56,8,x8,nugget_free,full,0.3,10.676641552126936,1.2053296591100267,4.122358245828543,lat,4.924126416285,8.617221228499,9.90128095644224,8.885108395797047,6.898377585480454,1.3952187788207424
20240703,0,2024_07_y24m07day03_hm00:56,8,x8,nugget_free,full,0.3,10.676641552126936,1.2053296591100267,4.122358245828543,lat,5.539642218321,8.617221228499,4.964104698060183,8.52516000185227,6.704084371914634,1.3952187788207424
20240703,0,2024_07_y24m07day03_hm00:56,8,x8,nugget_free,full,0.3,10.676641552126936,1.2053296591100267,4.122358245828543,lat,6.155158020356,8.617221228499,5.789930892116507,8.248303816359838,6.55794868883277,1.3952187788207424
20240703,0,2024_07_y24m07day03_hm00:56,8,x8,nugget_free,full,0.3,10.676641552126936,1.2053296591100267,4.122358245828543,lat,6.770673822392,8.617221228499,6.526607117774466,8.02864883618077,6.444937489574352,1.3952187788207424
