frequency_band,k_mid_min,k_mid_max,Matern s=0.3,GC a=0.8 b=4,GC a=0.7 b=4,GC a=0.6 b=3.5,GC a=0.7 b=3.5
ultra_low,0.5729,5.1561,1.6036,1.8224,1.2134,0.8109,1.1920
low_mid,6.3019,16.6141,0.7714,0.8265,0.8784,0.9232,0.8838
mid,17.7599,33.8012,1.0091,0.9621,1.0199,1.0625,1.0224
high,34.9470,56.7172,1.0775,1.0599,1.0480,1.0223,1.0472
very_high,57.8630,79.6333,0.9786,1.0011,0.9515,0.8955,0.9497
