frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.8 b=1 nugget0,GC a=0.8 b=0.5 nugget0,GC a=0.85 b=1 nugget0
ultra_low,0.5729,5.1561,0.7204,0.9767,0.9414,1.0717
low_mid,6.3019,16.6141,0.9004,0.9323,0.9455,0.9256
mid,17.7599,33.8012,1.0910,1.0454,1.0459,1.0357
high,34.9470,56.7172,1.0601,1.0484,1.0412,1.0527
very_high,57.8630,79.6333,0.9075,0.9404,0.9272,0.9598
