k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.75 b=1 nugget0,GC a=0.8 b=1 nugget0,GC a=0.7 b=1 nugget0
0,0.5729,7.5909,1.7925,2.0841,1.5190
1,1.7187,2.1532,1.5550,1.7600,1.3612
2,2.8645,1.0888,1.1302,1.2312,1.0335
3,4.0103,0.8933,1.0906,1.1542,1.0297
4,5.1561,0.8672,1.0993,1.1444,1.0563
5,6.3019,0.7499,0.9675,0.9922,0.9445
6,7.4477,0.7065,0.8911,0.9054,0.8779
7,8.5935,0.7766,0.9638,0.9701,0.9587
8,9.7393,0.7735,0.9482,0.9488,0.9486
9,10.8851,0.7910,0.9429,0.9396,0.9469
10,12.0309,0.7925,0.9287,0.9209,0.9373
11,13.1767,0.7720,0.8891,0.8773,0.9019
12,14.3225,0.8751,0.9999,0.9878,1.0123
13,15.4683,0.9255,1.0400,1.0252,1.0549
14,16.6141,0.9509,1.0513,1.0349,1.0677
15,17.7599,0.9566,1.0479,1.0307,1.0648
16,18.9057,0.9046,0.9788,0.9623,0.9949
17,20.0515,0.9514,1.0162,0.9986,1.0333
18,21.1974,0.9696,1.0230,1.0055,1.0395
19,22.3432,0.9886,1.0324,1.0153,1.0483
20,23.4890,0.9910,1.0322,1.0156,1.0476
21,24.6348,0.9999,1.0337,1.0177,1.0483
22,25.7806,0.9768,1.0013,0.9863,1.0150
23,26.9264,0.9814,1.0004,0.9859,1.0136
24,28.0722,1.0530,1.0710,1.0577,1.0824
25,29.2180,1.0120,1.0215,1.0101,1.0309
26,30.3638,1.0627,1.0686,1.0581,1.0766
27,31.5096,1.0150,1.0170,1.0079,1.0239
28,32.6554,1.0809,1.0807,1.0723,1.0866
29,33.8012,1.0431,1.0379,1.0316,1.0418
30,34.9470,1.0479,1.0397,1.0346,1.0421
31,36.0928,1.0883,1.0787,1.0749,1.0798
32,37.2386,1.0868,1.0741,1.0718,1.0736
33,38.3844,1.1095,1.0943,1.0933,1.0925
34,39.5302,1.1303,1.1130,1.1131,1.1102
35,40.6760,1.0474,1.0307,1.0317,1.0271
36,41.8218,1.1073,1.0883,1.0913,1.0826
37,42.9676,1.1267,1.1061,1.1105,1.0989
38,44.1134,1.0917,1.0711,1.0765,1.0629
39,45.2592,1.0916,1.0699,1.0763,1.0607
40,46.4050,1.0845,1.0625,1.0698,1.0526
41,47.5508,1.1121,1.0892,1.0980,1.0777
42,48.6966,1.0982,1.0750,1.0846,1.0626
43,49.8424,1.0896,1.0659,1.0760,1.0533
44,50.9882,1.0543,1.0313,1.0414,1.0188
45,52.1340,1.0511,1.0275,1.0383,1.0143
46,53.2798,1.0161,0.9919,1.0026,0.9791
47,54.4256,1.0748,1.0493,1.0617,1.0346
48,55.5714,1.0212,0.9974,1.0098,0.9829
49,56.7172,1.0335,1.0105,1.0239,0.9948
50,57.8630,1.0320,1.0075,1.0213,0.9916
51,59.0088,1.0565,1.0314,1.0463,1.0144
52,60.1546,1.0425,1.0163,1.0314,0.9991
53,61.3005,1.0427,1.0194,1.0354,1.0013
54,62.4463,1.0141,0.9905,1.0064,0.9725
55,63.5921,1.0396,1.0133,1.0299,0.9947
56,64.7379,1.0111,0.9876,1.0045,0.9688
57,65.8837,1.0237,0.9989,1.0163,0.9796
58,67.0295,0.9651,0.9418,0.9580,0.9239
59,68.1753,1.0123,0.9901,1.0079,0.9705
60,69.3211,0.9690,0.9471,0.9643,0.9281
61,70.4669,1.0188,0.9951,1.0134,0.9750
62,71.6127,0.9977,0.9744,0.9926,0.9545
63,72.7585,0.9725,0.9479,0.9664,0.9279
64,73.9043,0.9470,0.9245,0.9436,0.9040
65,75.0501,0.9542,0.9315,0.9513,0.9104
66,76.1959,0.9576,0.9345,0.9548,0.9129
67,77.3417,0.9402,0.9161,0.9361,0.8947
68,78.4875,0.9734,0.9501,0.9715,0.9274
69,79.6333,0.9534,0.9325,0.9540,0.9097
