frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.75 b=1 nugget0,GC a=0.8 b=1 nugget0,GC a=0.7 b=1 nugget0
ultra_low,0.5729,5.1561,2.5187,1.3335,1.4748,1.1999
low_mid,6.3019,16.6141,0.8114,0.9622,0.9602,0.9651
mid,17.7599,33.8012,0.9991,1.0308,1.0170,1.0432
high,34.9470,56.7172,1.0781,1.0583,1.0640,1.0501
very_high,57.8630,79.6333,0.9962,0.9725,0.9903,0.9530
