frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.6 b=0.3 nugget0,GC a=0.6 b=0.5 nugget0,GC a=0.6 b=1 nugget0,GC a=0.65 b=0.3 nugget0,GC a=0.65 b=0.5 nugget0,GC a=0.65 b=1 nugget0,GC a=0.7 b=0.3 nugget0,GC a=0.7 b=0.5 nugget0,GC a=0.7 b=1 nugget0,GC a=0.75 b=0.3 nugget0,GC a=0.75 b=0.5 nugget0,GC a=0.75 b=1 nugget0,GC a=0.8 b=0.3 nugget0,GC a=0.8 b=0.5 nugget0,GC a=0.8 b=1 nugget0,GC a=0.85 b=0.3 nugget0,GC a=0.85 b=0.5 nugget0,GC a=0.85 b=1 nugget0,GC a=0.9 b=0.3 nugget0,GC a=0.9 b=0.5 nugget0,GC a=0.9 b=1 nugget0,GC a=1 b=0.3 nugget0,GC a=1 b=0.5 nugget0,GC a=1 b=1 nugget0
ultra_low,0.5729,5.1561,0.7204,0.6620,0.6802,0.7413,0.7356,0.7728,0.8037,0.7944,0.8275,0.8586,0.8448,0.8837,0.9152,0.8952,0.9414,0.9767,0.9453,1.0001,1.0717,0.9947,1.0595,1.1716,1.0896,1.1970,1.3844
low_mid,6.3019,16.6141,0.9004,0.9206,0.9338,0.9494,0.9257,0.9385,0.9493,0.9297,0.9402,0.9426,0.9330,0.9406,0.9327,0.9369,0.9455,0.9323,0.9500,0.9534,0.9256,0.9580,0.9636,0.9319,0.9866,0.9794,0.9190
mid,17.7599,33.8012,1.0910,1.0641,1.0742,1.0862,1.0620,1.0710,1.0787,1.0560,1.0625,1.0631,1.0483,1.0510,1.0524,1.0433,1.0459,1.0454,1.0390,1.0399,1.0357,1.0337,1.0327,1.0241,1.0217,1.0164,0.9856
high,34.9470,56.7172,1.0601,0.9874,0.9913,0.9972,1.0065,1.0112,1.0181,1.0202,1.0253,1.0326,1.0297,1.0349,1.0425,1.0360,1.0412,1.0484,1.0397,1.0439,1.0527,1.0420,1.0468,1.0541,1.0425,1.0471,1.0534
very_high,57.8630,79.6333,0.9075,0.8412,0.8427,0.8456,0.8653,0.8678,0.8725,0.8864,0.8899,0.8970,0.9047,0.9096,0.9196,0.9208,0.9272,0.9404,0.9349,0.9429,0.9598,0.9474,0.9570,0.9779,0.9683,0.9821,1.0134
