frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.7 b=2 nugget0,GC a=0.7 b=1.5 nugget0,GC a=0.7 b=1 nugget0
ultra_low,0.5729,5.1561,1.6777,1.2542,1.1852,1.0833
low_mid,6.3019,16.6141,0.7423,0.9048,0.9213,0.9400
mid,17.7599,33.8012,0.9532,1.0129,1.0232,1.0368
high,34.9470,56.7172,1.0637,1.0347,1.0325,1.0289
very_high,57.8630,79.6333,1.0177,0.9679,0.9609,0.9505
