smooth,nugget_mean,nugget_median,nugget_sd,nugget_min,nugget_max,n_tile_hour,global_nugget_mean
0.3000,0.6409,0.1395,1.2858,0.0000,8.9999,72,0.4239
0.5000,1.6914,1.5044,1.4954,0.0000,10.3193,72,1.6994
