date_str,hour_idx,time_key,resolution_stride,resolution_label,variant,true_smooth,fit_smooth,smooth,parameter,estimate,loss,n_grid,n_valid
20240703,4,y24m07day03_hm04:48,8,x8,nugget_free,0.5000,0.3000,0.3000,sigmasq,7.1831,1.6075,300,284
20240703,4,y24m07day03_hm04:48,8,x8,nugget_free,0.5000,0.3000,0.3000,range,0.2167,1.6075,300,284
20240703,4,y24m07day03_hm04:48,8,x8,nugget_free,0.5000,0.3000,0.3000,nugget,2.1992,1.6075,300,284
20240703,4,y24m07day03_hm04:48,4,x4,nugget_free,0.5000,0.3000,0.3000,sigmasq,10.6404,1.5604,1160,1085
20240703,4,y24m07day03_hm04:48,4,x4,nugget_free,0.5000,0.3000,0.3000,range,0.2546,1.5604,1160,1085
20240703,4,y24m07day03_hm04:48,4,x4,nugget_free,0.5000,0.3000,0.3000,nugget,0.0002,1.5604,1160,1085
20240703,4,y24m07day03_hm04:48,2,x2,nugget_free,0.5000,0.3000,0.3000,sigmasq,10.3839,1.3966,4560,4235
20240703,4,y24m07day03_hm04:48,2,x2,nugget_free,0.5000,0.3000,0.3000,range,0.2513,1.3966,4560,4235
20240703,4,y24m07day03_hm04:48,2,x2,nugget_free,0.5000,0.3000,0.3000,nugget,0.0001,1.3966,4560,4235
20240703,4,y24m07day03_hm04:48,1,x1,nugget_free,0.5000,0.3000,0.3000,sigmasq,10.7082,1.1801,18126,16880
20240703,4,y24m07day03_hm04:48,1,x1,nugget_free,0.5000,0.3000,0.3000,range,0.2937,1.1801,18126,16880
20240703,4,y24m07day03_hm04:48,1,x1,nugget_free,0.5000,0.3000,0.3000,nugget,0.0001,1.1801,18126,16880
20240703,5,y24m07day03_hm05:48,8,x8,nugget_free,0.5000,0.3000,0.3000,sigmasq,11.6737,1.7057,300,290
20240703,5,y24m07day03_hm05:48,8,x8,nugget_free,0.5000,0.3000,0.3000,range,0.2289,1.7057,300,290
20240703,5,y24m07day03_hm05:48,8,x8,nugget_free,0.5000,0.3000,0.3000,nugget,0.0000,1.7057,300,290
20240703,5,y24m07day03_hm05:48,4,x4,nugget_free,0.5000,0.3000,0.3000,sigmasq,10.7908,1.5588,1160,1124
