date_str,true_smooth,fit_smooth,hour_idx,time_key,resolution_stride,resolution_label,variant,fit_type,smooth,n_valid_spectrum,est_sigmasq,est_range,est_nugget,k_bin,k_mid,k_mean,n_freq,data_k_max,data_spectrum,theory_spectrum_expected,theory_spectrum_scaled,theory_scale_to_data
20240703,0.3,0.5,3,y24m07day03_hm03:53,4,x4,nugget0,full,0.5,1067,10.5628,0.1652,0.0,50,57.86304245813197,57.8464178745161,0,21.197352187632504,,,0.11682344029312448,2175.716462966767
20240703,0.3,0.5,3,y24m07day03_hm03:53,4,x4,nugget0,full,0.5,1067,10.5628,0.1652,0.0,51,59.00884527908508,59.01680172468367,0,21.197352187632504,,,0.11008216942147465,2175.716462966767
20240703,0.3,0.5,3,y24m07day03_hm03:53,4,x4,nugget0,full,0.5,1067,10.5628,0.1652,0.0,52,60.15464810003819,60.18481906490257,0,21.197352187632504,,,0.10385559484706146,2175.716462966767
20240703,0.3,0.5,3,y24m07day03_hm03:53,4,x4,nugget0,full,0.5,1067,10.5628,0.1652,0.0,53,61.300450920991295,61.316496119891646,0,21.197352187632504,,,0.09826598125412173,2175.716462966767
20240703,0.3,0.5,3,y24m07day03_hm03:53,4,x4,nugget0,full,0.5,1067,10.5628,0.1652,0.0,54,62.4462537419444,62.47812958804519,0,21.197352187632504,,,0.09293610658225247,2175.716462966767
20240703,0.3,0.5,3,y24m07day03_hm03:53,4,x4,nugget0,full,0.5,1067,10.5628,0.1652,0.0,55,63.59205656289751,63.61583170564809,0,21.197352187632504,,,0.08808124577293869,2175.716462966767
20240703,0.3,0.5,3,y24m07day03_hm03:53,4,x4,nugget0,full,0.5,1067,10.5628,0.1652,0.0,56,64.73785938385063,64.75341049599007,0,21.197352187632504,,,0.08356013218267365,2175.716462966767
20240703,0.3,0.5,3,y24m07day03_hm03:53,4,x4,nugget0,full,0.5,1067,10.5628,0.1652,0.0,57,65.88366220480373,65.89391875623019,0,21.197352187632504,,,0.0793311184221922,2175.716462966767
20240703,0.3,0.5,3,y24m07day03_hm03:53,4,x4,nugget0,full,0.5,1067,10.5628,0.1652,0.0,58,67.02946502575685,67.00481738400732,0,21.197352187632504,,,0.07548011963426776,2175.716462966767
20240703,0.3,0.5,3,y24m07day03_hm03:53,4,x4,nugget0,full,0.5,1067,10.5628,0.1652,0.0,59,68.17526784670994,68.14676835534127,0,21.197352187632504,,,0.0717777369842578,2175.716462966767
20240703,0.3,0.5,3,y24m07day03_hm03:53,4,x4,nugget0,full,0.5,1067,10.5628,0.1652,0.0,60,69.32107066766307,69.30713817867169,0,21.197352187632504,,,0.06825791109535659,2175.716462966767
20240703,0.3,0.5,3,y24m07day03_hm03:53,4,x4,nugget0,full,0.5,1067,10.5628,0.1652,0.0,61,70.46687348861616,70.46202857561308,0,21.197352187632504,,,0.06497965793023328,2175.716462966767
20240703,0.3,0.5,3,y24m07day03_hm03:53,4,x4,nugget0,full,0.5,1067,10.5628,0.1652,0.0,62,71.61267630956928,71.61042320910808,0,21.197352187632504,,,0.06192480733758553,2175.716462966767
20240703,0.3,0.5,3,y24m07day03_hm03:53,4,x4,nugget0,full,0.5,1067,10.5628,0.1652,0.0,63,72.75847913052237,72.74635450000629,0,21.197352187632504,,,0.05908880921561878,2175.716462966767
20240703,0.3,0.5,3,y24m07day03_hm03:53,4,x4,nugget0,full,0.5,1067,10.5628,0.1652,0.0,64,73.9042819514755,73.89765808278074,0,21.197352187632504,,,0.056387878908933785,2175.716462966767
20240703,0.3,0.5,3,y24m07day03_hm03:53,4,x4,nugget0,full,0.5,1067,10.5628,0.1652,0.0,65,75.05008477242859,75.04866362252366,0,21.197352187632504,,,0.05384890335046446,2175.716462966767
