frequency_band,k_bin_start,k_bin_end,k_mid_min,k_mid_max,variant,model_label,n_bins,ratio_mean,ratio_median,ratio_min,ratio_max
mid,15,29,17.7599,33.8012,gc_a0p6_b5p0_nugget_free,GC a=0.6 b=5 nugget free,15,1.0715,1.0750,1.0125,1.1257
mid,15,29,17.7599,33.8012,gc_a0p7_b2p5_nugget0,GC a=0.7 b=2.5 nugget0,15,0.9592,0.9546,0.8723,1.0428
mid,15,29,17.7599,33.8012,gc_a0p7_b2p5_nugget_free,GC a=0.7 b=2.5 nugget free,15,1.0682,1.0749,0.9975,1.1310
mid,15,29,17.7599,33.8012,gc_a0p7_b3p3_nugget0,GC a=0.7 b=3.3 nugget0,15,0.9480,0.9424,0.8534,1.0367
mid,15,29,17.7599,33.8012,gc_a0p7_b3p3_nugget_free,GC a=0.7 b=3.3 nugget free,15,1.0713,1.0786,0.9970,1.1355
mid,15,29,17.7599,33.8012,gc_a0p7_b5p0_nugget0,GC a=0.7 b=5 nugget0,15,0.9353,0.9286,0.8319,1.0298
mid,15,29,17.7599,33.8012,gc_a0p7_b5p0_nugget_free,GC a=0.7 b=5 nugget free,15,1.0753,1.0833,0.9970,1.1408
high,30,49,34.9470,56.7172,matern_s03_nugget0,Matern s=0.3 nugget0,20,1.1037,1.1111,1.0332,1.1568
high,30,49,34.9470,56.7172,matern_s03_nugget_free,Matern s=0.3 nugget free,20,1.0863,1.0890,0.9905,1.1760
high,30,49,34.9470,56.7172,gc_a0p6_b2p5_nugget0,GC a=0.6 b=2.5 nugget0,20,1.0474,1.0487,0.9961,1.1031
high,30,49,34.9470,56.7172,gc_a0p6_b2p5_nugget_free,GC a=0.6 b=2.5 nugget free,20,1.0521,1.0549,0.9765,1.1274
high,30,49,34.9470,56.7172,gc_a0p6_b3p3_nugget0,GC a=0.6 b=3.3 nugget0,20,1.0494,1.0516,0.9999,1.1033
high,30,49,34.9470,56.7172,gc_a0p6_b3p3_nugget_free,GC a=0.6 b=3.3 nugget free,20,1.0535,1.0564,0.9771,1.1293
high,30,49,34.9470,56.7172,gc_a0p6_b5p0_nugget0,GC a=0.6 b=5 nugget0,20,1.0516,1.0549,1.0043,1.1034
high,30,49,34.9470,56.7172,gc_a0p6_b5p0_nugget_free,GC a=0.6 b=5 nugget free,20,1.0551,1.0581,0.9777,1.1315
high,30,49,34.9470,56.7172,gc_a0p7_b2p5_nugget0,GC a=0.7 b=2.5 nugget0,20,1.0644,1.0676,1.0193,1.1039
high,30,49,34.9470,56.7172,gc_a0p7_b2p5_nugget_free,GC a=0.7 b=2.5 nugget free,20,1.0704,1.0747,0.9952,1.1444
