n,true_smooth,fit_smooth,rep,fit_type,loss_per_obs,success,n_iter,n_eval,fit_s,message,est_sigmasq,est_range,est_nugget,true_sigmasq,true_range,true_nugget
200,0.3000,0.3000,0,full_nugget_free,2.1374,True,13,60,0.9830,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.8461,0.4419,2.1343,12.0000,0.3000,2.0000
400,0.3000,0.3000,0,full_nugget_free,2.0500,True,12,60,3.1495,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6.2275,0.1070,2.0315,12.0000,0.3000,2.0000
800,0.3000,0.3000,0,full_nugget_free,2.0119,True,12,56,12.6953,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.2581,0.3099,2.1010,12.0000,0.3000,2.0000
1600,0.3000,0.3000,0,full_nugget_free,1.9432,True,10,56,30.5651,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16.3452,0.5197,2.0081,12.0000,0.3000,2.0000
200,0.3000,0.3000,0,full_nugget0,2.1727,True,9,36,0.5713,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.7381,0.0660,0.0000,12.0000,0.3000,2.0000
400,0.3000,0.3000,0,full_nugget0,2.0842,True,12,42,2.3396,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.9547,0.0142,0.0000,12.0000,0.3000,2.0000
800,0.3000,0.3000,0,full_nugget0,2.0931,True,11,39,8.0378,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18.4176,0.0320,0.0000,12.0000,0.3000,2.0000
1600,0.3000,0.3000,0,full_nugget0,2.0497,True,10,39,29.5351,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,30.9256,0.0449,0.0000,12.0000,0.3000,2.0000
200,0.3000,0.3000,0,sigma_only_nugget_free,2.1377,True,4,12,0.1430,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.9922,0.3000,2.0000,12.0000,0.3000,2.0000
400,0.3000,0.3000,0,sigma_only_nugget_free,2.0512,True,3,10,0.4389,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11.1591,0.3000,2.0000,12.0000,0.3000,2.0000
800,0.3000,0.3000,0,sigma_only_nugget_free,2.0122,True,4,12,1.8948,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12.8349,0.3000,2.0000,12.0000,0.3000,2.0000
1600,0.3000,0.3000,0,sigma_only_nugget_free,1.9433,True,2,10,5.3456,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.9425,0.3000,2.0000,12.0000,0.3000,2.0000
200,0.3000,0.3000,0,range_only_nugget_free,2.1377,True,5,12,0.1149,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3097,2.0000,12.0000,0.3000,2.0000
400,0.3000,0.3000,0,range_only_nugget_free,2.0514,True,2,8,0.3145,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.3189,2.0000,12.0000,0.3000,2.0000
800,0.3000,0.3000,0,range_only_nugget_free,2.0122,True,3,10,1.7239,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0000,0.2682,2.0000,12.0000,0.3000,2.0000
