frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.75 b=1 nugget0
ultra_low,0.5729,5.1561,1.5981,1.2631
low_mid,6.3019,16.6141,0.8195,0.9317
mid,17.7599,33.8012,1.0384,1.0403
high,34.9470,56.7172,1.0822,1.0592
very_high,57.8630,79.6333,0.9745,0.9633
