year,variant,model_label,nugget_mode,n_slices,loss_mean,loss_median,sigmasq_median,range_lat_median,range_lon_median,nugget_median,total_s_sum
2024,gc_a0p65_b0p3_nugget0,GC a=0.65 b=0.3 nugget0,nugget0,40,1.4236,1.3551,44.4382,0.6298,0.7991,0.0000,78.1216
2024,gc_a0p65_b0p5_nugget0,GC a=0.65 b=0.5 nugget0,nugget0,40,1.2992,1.3398,31.9281,0.8317,1.0587,0.0000,69.9202
2024,gc_a0p65_b1p0_nugget0,GC a=0.65 b=1 nugget0,nugget0,40,1.2963,1.3080,23.7745,1.5025,1.8775,0.0000,62.4764
2024,gc_a0p6_b0p3_nugget0,GC a=0.6 b=0.3 nugget0,nugget0,40,1.3429,1.3488,66.0700,1.8026,2.2729,0.0000,83.5263
2024,gc_a0p6_b0p5_nugget0,GC a=0.6 b=0.5 nugget0,nugget0,40,1.2888,1.2919,45.8735,2.3075,2.9776,0.0000,78.3962
2024,gc_a0p6_b1p0_nugget0,GC a=0.6 b=1 nugget0,nugget0,40,1.3026,1.3253,33.3645,3.9966,5.2285,0.0000,68.0201
2024,gc_a0p75_b0p3_nugget0,GC a=0.75 b=0.3 nugget0,nugget0,40,1.6375,1.6307,29.2259,0.1922,0.2411,0.0000,62.7165
2024,gc_a0p75_b0p5_nugget0,GC a=0.75 b=0.5 nugget0,nugget0,40,1.3673,1.3758,21.3564,0.2580,0.3238,0.0000,59.2082
2024,gc_a0p75_b1p0_nugget0,GC a=0.75 b=1 nugget0,nugget0,40,1.2773,1.2899,15.9825,0.4696,0.5708,0.0000,58.4584
2024,gc_a0p7_b0p3_nugget0,GC a=0.7 b=0.3 nugget0,nugget0,40,1.5493,1.5372,35.2866,0.3176,0.3970,0.0000,64.6945
2024,gc_a0p7_b0p5_nugget0,GC a=0.7 b=0.5 nugget0,nugget0,40,1.3297,1.3236,26.2965,0.4242,0.5314,0.0000,63.6686
2024,gc_a0p7_b1p0_nugget0,GC a=0.7 b=1 nugget0,nugget0,40,1.2834,1.3024,19.3655,0.7752,0.9399,0.0000,58.4971
2024,gc_a0p85_b0p3_nugget0,GC a=0.85 b=0.3 nugget0,nugget0,40,1.9055,1.9275,21.7855,0.0977,0.1236,0.0000,68.0500
2024,gc_a0p85_b0p5_nugget0,GC a=0.85 b=0.5 nugget0,nugget0,40,1.4818,1.4748,16.5743,0.1307,0.1648,0.0000,57.0036
2024,gc_a0p85_b1p0_nugget0,GC a=0.85 b=1 nugget0,nugget0,40,1.2869,1.3113,13.9147,0.2352,0.2906,0.0000,52.2289
2024,gc_a0p8_b0p3_nugget0,GC a=0.8 b=0.3 nugget0,nugget0,40,1.7918,1.7873,24.6262,0.1314,0.1657,0.0000,62.3500
2024,gc_a0p8_b0p5_nugget0,GC a=0.8 b=0.5 nugget0,nugget0,40,1.4268,1.4166,18.1852,0.1763,0.2221,0.0000,61.9163
2024,gc_a0p8_b1p0_nugget0,GC a=0.8 b=1 nugget0,nugget0,40,1.2795,1.3013,14.6055,0.3196,0.3902,0.0000,53.4609
2024,gc_a0p9_b0p3_nugget0,GC a=0.9 b=0.3 nugget0,nugget0,40,2.1105,2.1378,20.2969,0.0770,0.0983,0.0000,63.4690
2024,gc_a0p9_b0p5_nugget0,GC a=0.9 b=0.5 nugget0,nugget0,40,1.5451,1.5054,15.7923,0.1026,0.1298,0.0000,55.1844
2024,gc_a0p9_b1p0_nugget0,GC a=0.9 b=1 nugget0,nugget0,40,1.2993,1.3031,13.3681,0.1830,0.2265,0.0000,48.9667
2024,gc_a1p0_b0p3_nugget0,GC a=1 b=0.3 nugget0,nugget0,40,2.3497,2.1226,18.6104,0.0542,0.0691,0.0000,63.9155
2024,gc_a1p0_b0p5_nugget0,GC a=1 b=0.5 nugget0,nugget0,40,1.8040,1.8291,14.6547,0.0712,0.0903,0.0000,63.1490
2024,gc_a1p0_b1p0_nugget0,GC a=1 b=1 nugget0,nugget0,40,1.3601,1.3490,12.5327,0.1241,0.1555,0.0000,49.7389
2024,matern_s03_nugget0,Matern s=0.3 nugget0,nugget0,40,1.2812,1.2959,16.2442,0.4001,0.5171,0.0000,63.4556
