frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.7 b=0.15 nugget0,GC a=0.7 b=0.1 nugget0,GC a=0.7 b=0.07 nugget0,GC a=0.8 b=0.15 nugget0,GC a=0.8 b=0.1 nugget0,GC a=0.8 b=0.07 nugget0
ultra_low,0.5729,5.1561,3.9057,1.1135,1.0445,1.0032,1.2000,1.1145,1.0641
low_mid,6.3019,16.6141,0.5828,0.9217,0.9141,0.9086,0.9316,0.9230,0.9168
mid,17.7599,33.8012,0.8999,1.0667,1.0667,1.0663,1.0639,1.0650,1.0652
high,34.9470,56.7172,1.1037,1.0394,1.0378,1.0367,1.0491,1.0479,1.0470
very_high,57.8630,79.6333,1.0639,0.9232,0.9198,0.9176,0.9426,0.9387,0.9363
