date_str,day_idx,hour_idx,time_key,fit_scope,smooth,mean_design,model,kernel,coord_mode,loss,fit_iter_raw,fit_steps_reported,precompute_s,fit_s,total_s,n_valid,est_sigmasq,est_range_lat,est_range_lon,est_nugget,n_batches,n_tails,mean_m,max_m,largest_batch_n,total_conditioning_nominal,head_right_cols,above_count,right_col_count,per_time_conditioning_count
20240703,2,,,pooled_day,0.5000,base,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.4026,0,1,0.5070,15.4670,15.9740,140352,14.8221,0.2031,0.2367,1.6410,1,140352,10.0000,10,140352,10,,,,
20240703,2,,,pooled_day,0.5000,base,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4085,0,1,1.2560,15.7030,16.9600,140352,14.3775,0.1785,0.2147,1.4265,1,140352,10.0000,10,140352,10,0.0000,2.0000,3.0000,10.0000
20240703_h01,2,0.0000,2024_07_y24m07day03_hm00:53,hourly,0.5000,base,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.4147,0,1,0.0440,2.1220,2.1650,18067,11.5267,0.2753,0.3831,3.2931,1,18067,10.0000,10,18067,10,,,,
20240703_h01,2,0.0000,2024_07_y24m07day03_hm00:53,hourly,0.5000,base,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4181,0,1,0.8310,2.1320,2.9640,18067,11.8275,0.2371,0.3362,2.9654,1,18067,10.0000,10,18067,10,0.0000,2.0000,3.0000,10.0000
20240703_h02,2,1.0000,2024_07_y24m07day03_hm01:53,hourly,0.5000,base,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.3506,0,1,0.0440,2.3580,2.4010,17670,13.8899,0.2274,0.3157,1.9319,1,17670,10.0000,10,17670,10,,,,
20240703_h02,2,1.0000,2024_07_y24m07day03_hm01:53,hourly,0.5000,base,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.3558,0,1,0.8100,2.0920,2.9020,17670,13.0262,0.1976,0.2882,1.8309,1,17670,10.0000,10,17670,10,0.0000,2.0000,3.0000,10.0000
20240703_h03,2,2.0000,2024_07_y24m07day03_hm02:53,hourly,0.5000,base,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.3595,0,1,0.0420,2.2490,2.2910,16698,16.2563,0.2161,0.2799,1.2985,1,16698,10.0000,10,16698,10,,,,
20240703_h03,2,2.0000,2024_07_y24m07day03_hm02:53,hourly,0.5000,base,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.3649,0,1,0.7550,2.3000,3.0540,16698,15.5766,0.1970,0.2608,1.2124,1,16698,10.0000,10,16698,10,0.0000,2.0000,3.0000,10.0000
20240703_h04,2,3.0000,2024_07_y24m07day03_hm03:53,hourly,0.5000,base,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.3926,0,1,0.0420,2.1110,2.1530,16863,17.6478,0.2084,0.2627,1.1280,1,16863,10.0000,10,16863,10,,,,
20240703_h04,2,3.0000,2024_07_y24m07day03_hm03:53,hourly,0.5000,base,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4011,0,1,0.7670,2.9050,3.6720,16863,17.2768,0.1847,0.2354,0.8615,1,16863,10.0000,10,16863,10,0.0000,2.0000,3.0000,10.0000
20240703_h05,2,4.0000,2024_07_y24m07day03_hm04:48,hourly,0.5000,base,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.4446,0,1,0.0440,2.3130,2.3560,17088,17.9760,0.1884,0.2267,1.0433,1,17088,10.0000,10,17088,10,,,,
20240703_h05,2,4.0000,2024_07_y24m07day03_hm04:48,hourly,0.5000,base,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4504,0,1,0.7800,2.5490,3.3300,17088,17.3970,0.1730,0.2116,0.9281,1,17088,10.0000,10,17088,10,0.0000,2.0000,3.0000,10.0000
20240703_h06,2,5.0000,2024_07_y24m07day03_hm05:48,hourly,0.5000,base,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.4186,7,8,0.0440,3.7030,3.7470,17760,15.6726,0.1807,0.1920,1.2736,1,17760,10.0000,10,17760,10,,,,
20240703_h06,2,5.0000,2024_07_y24m07day03_hm05:48,hourly,0.5000,base,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4514,0,1,0.8180,2.7780,3.5970,17760,15.3202,0.1635,0.1778,1.0783,1,17760,10.0000,10,17760,10,0.0000,2.0000,3.0000,10.0000
20240703_h07,2,6.0000,2024_07_y24m07day03_hm06:48,hourly,0.5000,base,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.3769,1,2,0.0440,3.5920,3.6370,18104,13.5485,0.1697,0.1728,1.1502,1,18104,10.0000,10,18104,10,,,,
20240703_h07,2,6.0000,2024_07_y24m07day03_hm06:48,hourly,0.5000,base,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.3808,1,2,0.8480,3.6610,4.5090,18104,13.2552,0.1493,0.1557,0.8887,1,18104,10.0000,10,18104,10,0.0000,2.0000,3.0000,10.0000
20240703_h08,2,7.0000,2024_07_y24m07day03_hm07:48,hourly,0.5000,base,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.4123,0,1,0.0450,2.6840,2.7290,18102,12.0693,0.1849,0.1812,1.8690,1,18102,10.0000,10,18102,10,,,,
20240703_h08,2,7.0000,2024_07_y24m07day03_hm07:48,hourly,0.5000,base,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4213,0,1,0.8330,2.6620,3.4950,18102,12.0301,0.1457,0.1535,1.3417,1,18102,10.0000,10,18102,10,0.0000,2.0000,3.0000,10.0000
20240703,2,,,pooled_day,0.5000,latlon,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.4024,0,1,0.4850,15.7410,16.2260,140352,14.1917,0.1908,0.2227,1.6007,1,140352,10.0000,10,140352,10,,,,
20240703,2,,,pooled_day,0.5000,latlon,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4083,0,1,1.2570,15.9730,17.2300,140352,13.8444,0.1690,0.2032,1.3878,1,140352,10.0000,10,140352,10,0.0000,2.0000,3.0000,10.0000
20240703_h01,2,0.0000,2024_07_y24m07day03_hm00:53,hourly,0.5000,latlon,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.4144,0,1,0.0430,2.1220,2.1660,18067,10.1131,0.2284,0.3161,3.2057,1,18067,10.0000,10,18067,10,,,,
20240703_h01,2,0.0000,2024_07_y24m07day03_hm00:53,hourly,0.5000,latlon,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4176,0,1,0.8230,2.1150,2.9380,18067,10.3230,0.1975,0.2764,2.8833,1,18067,10.0000,10,18067,10,0.0000,2.0000,3.0000,10.0000
20240703_h02,2,1.0000,2024_07_y24m07day03_hm01:53,hourly,0.5000,latlon,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.3504,0,1,0.0430,2.3120,2.3550,17670,12.7317,0.2020,0.2804,1.8742,1,17670,10.0000,10,17670,10,,,,
20240703_h02,2,1.0000,2024_07_y24m07day03_hm01:53,hourly,0.5000,latlon,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.3555,0,1,0.8090,2.0750,2.8840,17670,12.1104,0.1788,0.2592,1.7756,1,17670,10.0000,10,17670,10,0.0000,2.0000,3.0000,10.0000
20240703_h03,2,2.0000,2024_07_y24m07day03_hm02:53,hourly,0.5000,latlon,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.3593,0,1,0.0430,2.4800,2.5230,16698,15.2134,0.1972,0.2556,1.2428,1,16698,10.0000,10,16698,10,,,,
20240703_h03,2,2.0000,2024_07_y24m07day03_hm02:53,hourly,0.5000,latlon,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.3646,0,1,0.7550,2.4510,3.2060,16698,14.7476,0.1827,0.2415,1.1656,1,16698,10.0000,10,16698,10,0.0000,2.0000,3.0000,10.0000
20240703_h04,2,3.0000,2024_07_y24m07day03_hm03:53,hourly,0.5000,latlon,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.3924,0,1,0.0430,2.5420,2.5850,16863,16.7613,0.1945,0.2455,1.0878,1,16863,10.0000,10,16863,10,,,,
20240703_h04,2,3.0000,2024_07_y24m07day03_hm03:53,hourly,0.5000,latlon,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.3794,7,8,0.7590,3.5680,4.3270,16863,16.4843,0.1729,0.2204,0.8129,1,16863,10.0000,10,16863,10,0.0000,2.0000,3.0000,10.0000
20240703_h05,2,4.0000,2024_07_y24m07day03_hm04:48,hourly,0.5000,latlon,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.4445,0,1,0.0420,2.3000,2.3420,17088,17.4400,0.1805,0.2174,1.0119,1,17088,10.0000,10,17088,10,,,,
20240703_h05,2,4.0000,2024_07_y24m07day03_hm04:48,hourly,0.5000,latlon,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4502,0,1,0.7760,2.3560,3.1330,17088,16.9148,0.1662,0.2032,0.8946,1,17088,10.0000,10,17088,10,0.0000,2.0000,3.0000,10.0000
20240703_h06,2,5.0000,2024_07_y24m07day03_hm05:48,hourly,0.5000,latlon,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.4470,0,1,0.0440,2.6670,2.7110,17760,15.2898,0.1742,0.1854,1.2453,1,17760,10.0000,10,17760,10,,,,
20240703_h06,2,5.0000,2024_07_y24m07day03_hm05:48,hourly,0.5000,latlon,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4512,0,1,0.8150,2.9400,3.7550,17760,14.9798,0.1581,0.1721,1.0505,1,17760,10.0000,10,17760,10,0.0000,2.0000,3.0000,10.0000
