date_str,hour_idx,time_key,resolution_stride,resolution_label,variant,fit_type,smooth,gc_alpha,n_valid_spectrum,est_sigmasq,est_range,est_range_lat,est_range_lon,est_nugget,est_gc_alpha,est_gc_beta,k_bin,k_mid,k_mean,n_freq,data_k_max,data_spectrum,theory_spectrum_expected,theory_spectrum_scaled,theory_scale_to_data
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,1,0.8585571089246282,0.6312221526199868,4,5.437528356522645,26.59333414786301,42.37300278487349,217.9528747825072,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,2,1.4309285148743802,1.3301097996432678,10,5.437528356522645,36.49785000489492,20.962310372924605,36.49785000489492,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,3,2.0032999208241327,1.998298277954558,8,5.437528356522645,13.914926763943239,12.450167225811214,21.4970493863223,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,4,2.575671326773884,2.6806323221091155,14,5.437528356522645,9.95074105879705,10.20956935334207,8.724685527692444,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,5,3.1480427327236367,3.2456341177382377,17,5.437528356522645,9.74813475346425,8.071860996312482,7.308578293976749,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,6,3.7204141386733887,3.818679770550174,10,5.437528356522645,6.287280620284748,6.862847698744519,4.057473279367265,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,7,4.292785544623141,4.336704374521381,9,5.437528356522645,0.9847292426207984,6.454863565086844,3.377330942811554,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,8,4.865156950572893,4.9319451499524245,6,5.437528356522645,12.677815784973218,6.196848489113616,2.488454893215284,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,9,5.437528356522645,5.40768725136614,1,5.437528356522645,0.9851501265863186,6.0493238479966465,2.0431284861711285,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,10,6.009899762472397,6.100048681231336,0,5.437528356522645,,,1.5098367225350116,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,11,6.5822711684221495,6.6079638604977955,0,5.437528356522645,,,1.3166526481334018,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,12,7.154642574371902,7.184824240435486,0,5.437528356522645,,,1.1721227351132053,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,13,7.727013980321653,7.717840052166835,0,5.437528356522645,,,0.855058279909245,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,14,8.299385386271405,8.32944332229866,0,5.437528356522645,,,0.8240843177110742,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,15,8.871756792221158,8.931448350708713,0,5.437528356522645,,,0.6047501872292583,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,16,9.44412819817091,9.450655774373653,0,5.437528356522645,,,0.6390754768651273,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,17,10.016499604120662,10.040729228620602,0,5.437528356522645,,,0.5022892015087961,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,18,10.588871010070413,10.615480820368408,0,5.437528356522645,,,0.481635766179002,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,19,11.161242416020166,11.255148819808907,0,5.437528356522645,,,0.40316803055861494,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,20,11.733613821969918,11.763078784198754,0,5.437528356522645,,,0.37890876112749083,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,21,12.30598522791967,12.376420890396352,0,5.437528356522645,,,0.34140332753538394,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,22,12.878356633869423,12.873666475513332,0,5.437528356522645,,,0.3197064800814856,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,23,13.450728039819175,13.41495067244545,0,5.437528356522645,,,0.3185250624705113,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,24,14.023099445768928,13.981674904088933,0,5.437528356522645,,,0.26574147746347593,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,25,14.595470851718678,14.587723380904793,0,5.437528356522645,,,0.2720958174725993,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,26,15.16784225766843,15.190262843542424,0,5.437528356522645,,,0.23257880480449883,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,27,15.740213663618182,15.768339971547254,0,5.437528356522645,,,0.23966487690000612,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,28,16.312585069567934,16.34951789433015,0,5.437528356522645,,,0.204494130332975,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,29,16.884956475517686,16.92101199562741,0,5.437528356522645,,,0.21300202362458306,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,30,17.45732788146744,17.512525593019426,0,5.437528356522645,,,0.1900343935951985,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,31,18.02969928741719,18.022479589150578,0,5.437528356522645,,,0.18855883577350493,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,32,18.602070693366944,18.654922856536857,0,5.437528356522645,,,0.178123548373162,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,33,19.174442099316696,19.183556569154884,0,5.437528356522645,,,0.17782918765506955,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,34,19.74681350526645,19.758613889242366,0,5.437528356522645,,,0.1753793805251114,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,35,20.3191849112162,20.319234723878573,0,5.437528356522645,,,0.1586712055309524,0.04672462522521542
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,cauchy_beta3p5,full,0.6,0.6,80,15.086920250454252,18.4562486882326,25.00168058661421,18.4562486882326,0.0,0.6,3.5,36,20.891556317165954,20.92224498032137,0,5.437528356522645,,,0.16669177275613492,0.04672462522521542
