frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.6 b=0.3 nugget0,GC a=0.6 b=0.5 nugget0,GC a=0.6 b=1 nugget0,GC a=0.65 b=0.3 nugget0,GC a=0.65 b=0.5 nugget0,GC a=0.65 b=1 nugget0,GC a=0.7 b=0.3 nugget0,GC a=0.7 b=0.5 nugget0,GC a=0.7 b=1 nugget0,GC a=0.75 b=0.3 nugget0,GC a=0.75 b=0.5 nugget0,GC a=0.75 b=1 nugget0,GC a=0.8 b=0.3 nugget0,GC a=0.8 b=0.5 nugget0,GC a=0.8 b=1 nugget0,GC a=0.85 b=0.3 nugget0,GC a=0.85 b=0.5 nugget0,GC a=0.85 b=1 nugget0,GC a=0.9 b=0.3 nugget0,GC a=0.9 b=0.5 nugget0,GC a=0.9 b=1 nugget0,GC a=1 b=0.3 nugget0,GC a=1 b=0.5 nugget0,GC a=1 b=1 nugget0
ultra_low,0.5729,5.1561,1.5835,0.7043,0.7534,0.8286,0.7981,0.8699,0.9833,0.8954,0.9944,1.1576,0.9929,1.1237,1.3505,1.0890,1.2562,1.5618,1.1828,1.3900,1.7902,1.2734,1.5238,2.0346,1.4433,1.7864,2.5634
low_mid,6.3019,16.6141,0.9028,0.9236,0.9371,0.9529,0.9311,0.9444,0.9558,0.9377,0.9492,0.9527,0.9437,0.9529,0.9467,0.9503,0.9571,0.9404,0.9578,0.9625,0.9356,0.9664,0.9694,0.9329,0.9860,0.9877,0.9353
mid,17.7599,33.8012,1.1031,1.0716,1.0792,1.0887,1.0737,1.0807,1.0876,1.0709,1.0763,1.0785,1.0650,1.0680,1.0643,1.0574,1.0576,1.0471,1.0493,1.0465,1.0285,1.0412,1.0353,1.0094,1.0264,1.0144,0.9722
high,34.9470,56.7172,1.0554,0.9869,0.9903,0.9955,1.0053,1.0093,1.0154,1.0189,1.0233,1.0300,1.0286,1.0333,1.0405,1.0354,1.0402,1.0478,1.0399,1.0448,1.0526,1.0428,1.0475,1.0553,1.0449,1.0489,1.0557
very_high,57.8630,79.6333,0.9078,0.8434,0.8445,0.8469,0.8670,0.8690,0.8732,0.8875,0.8907,0.8972,0.9055,0.9099,0.9194,0.9212,0.9271,0.9399,0.9351,0.9426,0.9591,0.9475,0.9566,0.9770,0.9681,0.9805,1.0094
