variant,model_label,k_bin,k_mid,n_slices,data_spectrum_mean,expected_periodogram_mean,ratio_of_means_I_over_EI,slice_ratio_median,slice_ratio_q25,slice_ratio_q75,slice_ratio_min,slice_ratio_max
matern_s03,Matern s=0.3,0,0.5729,24,5570.3479,1531.7395,3.6366,4.1438,1.2671,8.2604,0.3291,15.0222
matern_s03,Matern s=0.3,1,1.7187,24,1965.8672,1025.6283,1.9167,1.8962,1.5465,3.0966,0.7642,6.2222
matern_s03,Matern s=0.3,2,2.8645,24,550.2325,654.2968,0.8410,0.7777,0.7218,1.0579,0.5791,1.9266
matern_s03,Matern s=0.3,3,4.0103,24,339.9366,404.5463,0.8403,0.7967,0.5547,1.0125,0.4009,1.3329
matern_s03,Matern s=0.3,4,5.1561,24,210.4526,268.6729,0.7833,0.7139,0.5987,0.9152,0.3707,1.3575
gc_a08_b4,GC a=0.8 b=4,0,0.5729,24,5570.3479,1564.0692,3.5614,3.4495,0.8969,8.5401,0.2965,24.1097
gc_a08_b4,GC a=0.8 b=4,1,1.7187,24,1965.8672,837.0453,2.3486,2.9027,1.6376,3.7418,0.9445,8.5225
gc_a08_b4,GC a=0.8 b=4,2,2.8645,24,550.2325,495.5457,1.1104,1.0899,0.8838,1.4378,0.8260,2.5510
gc_a08_b4,GC a=0.8 b=4,3,4.0103,24,339.9366,308.9629,1.1003,1.0683,0.8397,1.2920,0.5499,1.9520
gc_a08_b4,GC a=0.8 b=4,4,5.1561,24,210.4526,212.2666,0.9915,0.9454,0.8324,1.1988,0.5768,1.4113
gc_a07_b4,GC a=0.7 b=4,0,0.5729,24,5570.3479,3259.5711,1.7089,1.8463,0.4199,4.9148,0.1340,15.0634
gc_a07_b4,GC a=0.7 b=4,1,1.7187,24,1965.8672,1274.4287,1.5425,1.9802,1.0323,2.8327,0.5995,6.3477
gc_a07_b4,GC a=0.7 b=4,2,2.8645,24,550.2325,619.3187,0.8884,0.9368,0.7071,1.1873,0.6500,2.1029
gc_a07_b4,GC a=0.7 b=4,3,4.0103,24,339.9366,345.8076,0.9830,0.9439,0.7900,1.1536,0.4806,1.7164
gc_a07_b4,GC a=0.7 b=4,4,5.1561,24,210.4526,222.9469,0.9440,0.8979,0.7898,1.1213,0.5737,1.3396
gc_a06_b35,GC a=0.6 b=3.5,0,0.5729,24,5570.3479,8756.8414,0.6361,0.8688,0.1572,2.4842,0.0459,9.0171
gc_a06_b35,GC a=0.6 b=3.5,1,1.7187,24,1965.8672,2074.7710,0.9475,1.2891,0.5954,2.1095,0.3590,4.7273
gc_a06_b35,GC a=0.6 b=3.5,2,2.8645,24,550.2325,784.5730,0.7013,0.8161,0.5500,0.9801,0.4766,1.7691
gc_a06_b35,GC a=0.6 b=3.5,3,4.0103,24,339.9366,388.3007,0.8754,0.8546,0.7224,1.0333,0.4262,1.5454
gc_a06_b35,GC a=0.6 b=3.5,4,5.1561,24,210.4526,235.4063,0.8940,0.8910,0.7473,1.0546,0.5533,1.1832
gc_a07_b35,GC a=0.7 b=3.5,0,0.5729,24,5570.3479,3431.1544,1.6235,1.7320,0.3944,4.6511,0.1280,14.7426
gc_a07_b35,GC a=0.7 b=3.5,1,1.7187,24,1965.8672,1296.8645,1.5159,1.9322,1.0109,2.8350,0.5892,6.2737
gc_a07_b35,GC a=0.7 b=3.5,2,2.8645,24,550.2325,621.0729,0.8859,0.9436,0.7032,1.1910,0.6440,2.1023
gc_a07_b35,GC a=0.7 b=3.5,3,4.0103,24,339.9366,344.8033,0.9859,0.9423,0.7923,1.1611,0.4811,1.7267
gc_a07_b35,GC a=0.7 b=3.5,4,5.1561,24,210.4526,221.7957,0.9489,0.9120,0.7930,1.1256,0.5787,1.3374
