frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.7 b=2 nugget0,GC a=0.7 b=1.5 nugget0,GC a=0.7 b=1 nugget0
ultra_low,0.5729,5.1561,0.9552,1.0763,1.0838,1.0819
low_mid,6.3019,16.6141,0.7135,0.8834,0.9000,0.9170
mid,17.7599,33.8012,0.9585,1.0044,1.0136,1.0263
high,34.9470,56.7172,1.0590,1.0444,1.0432,1.0378
very_high,57.8630,79.6333,1.0135,0.9640,0.9570,0.9462
