variant,model_label,loss_mean,loss_median,est_sigmasq_mean,est_sigmasq_median,est_range_lat_mean,est_range_lat_median,est_range_lon_mean,est_range_lon_median,total_s_mean,total_s_sum
gc_a0p7_b3p0_nugget0,GC a=0.7 b=3 nugget0,1.4272,1.4263,11.6757,11.5401,1.5686,1.3802,1.7025,1.5214,1.3188,31.6512
gc_a0p7_b3p0_nugget_free,GC a=0.7 b=3 nugget free,1.2695,1.2399,11.6208,11.7057,1.9774,1.7235,2.1287,1.8899,2.5072,60.1718
gc_a0p7_b3p5_nugget0,GC a=0.7 b=3.5 nugget0,1.4425,1.4463,11.5871,11.5011,1.9415,1.7278,2.1095,1.9136,1.4112,33.8698
gc_a0p7_b3p5_nugget_free,GC a=0.7 b=3.5 nugget free,1.2758,1.2524,11.5096,11.6345,2.4726,2.2048,2.6616,2.3506,2.4583,58.9988
gc_a0p7_b4p0_nugget0,GC a=0.7 b=4 nugget0,1.4471,1.4682,11.5276,11.4749,2.3402,2.1056,2.5448,2.3336,1.4670,35.2080
gc_a0p7_b4p0_nugget_free,GC a=0.7 b=4 nugget free,1.2758,1.2399,11.4317,11.5483,3.0028,2.6726,3.2322,2.8332,2.5977,62.3454
matern_s03_nugget0,Matern s=0.3 nugget0,1.2749,1.2458,11.5112,11.8748,0.2432,0.2284,0.2651,0.2534,1.4291,34.2986
matern_s03_nugget_free,Matern s=0.3 nugget free,1.2734,1.2569,11.1036,11.2807,0.3382,0.2841,0.3617,0.3128,3.3251,79.8034
