n,true_smooth,rep,y_mean,y_var
200,0.5000,0,-0.7376,10.9849
200,1.5000,0,0.0835,1.8472
400,0.5000,0,-3.7237,6.4658
400,1.5000,0,0.3562,4.0563
800,0.5000,0,1.0982,4.0170
800,1.5000,0,0.3079,8.6577
1600,0.5000,0,-4.4247,7.5679
1600,1.5000,0,4.4400,7.7238
3200,0.5000,0,0.6185,5.0971
3200,1.5000,0,2.5682,5.5528
