n,true_smooth,fit_smooth,variant,rep,loss_per_obs,success,message,n_iter,n_eval,fit_s,est_sigmasq,est_range,est_nugget,true_sigmasq,true_range,true_nugget
3200,1.5000,0.5000,nugget0_fit,0,2.1002,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9,39,7.1553,33.2081,0.0050,0.0000,12.0000,0.2000,2.0000
200,1.5000,1.5000,nugget_free,0,1.8319,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,64,0.2978,1.6460,0.0706,1.8702,12.0000,0.2000,2.0000
400,1.5000,1.5000,nugget_free,0,1.7878,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9,48,0.6773,4.1217,0.1519,1.8489,12.0000,0.2000,2.0000
800,1.5000,1.5000,nugget_free,0,1.8381,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,52,2.9681,8.8278,0.1991,2.1353,12.0000,0.2000,2.0000
1600,1.5000,1.5000,nugget_free,0,1.7798,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13,64,13.8871,27.2054,0.2532,1.9384,12.0000,0.2000,2.0000
3200,1.5000,1.5000,nugget_free,0,1.7752,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16,72,56.6096,11.5174,0.2383,1.9799,12.0000,0.2000,2.0000
200,1.5000,1.5000,nugget0_fit,0,1.9680,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12,72,0.4091,3.9541,0.0050,0.0000,12.0000,0.2000,2.0000
400,1.5000,1.5000,nugget0_fit,0,2.2323,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,6,24,0.3434,15.0562,0.0050,0.0000,12.0000,0.2000,2.0000
800,1.5000,1.5000,nugget0_fit,0,2.5139,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8,30,1.6412,100.3510,0.0050,0.0000,12.0000,0.2000,2.0000
1600,1.5000,1.5000,nugget0_fit,0,2.7128,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1,6,1.2944,500.0000,0.0050,0.0000,12.0000,0.2000,2.0000
3200,1.5000,1.5000,nugget0_fit,0,6.8093,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,3,2.2801,500.0000,0.0050,0.0000,12.0000,0.2000,2.0000
