date_str,hour_idx,time_key,resolution_stride,resolution_label,variant,smooth,parameter,estimate,loss,n_grid,n_valid
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,0.5000,sigmasq,14.1534,1.7910,300,300
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,0.5000,range,0.5357,1.7910,300,300
20240706,0,2024_07_y24m07day06_hm00:53,8,x8,nugget_free,0.5000,nugget,2.1995,1.7910,300,300
20240706,0,2024_07_y24m07day06_hm00:53,4,x4,nugget_free,0.5000,sigmasq,14.1147,1.6572,1160,1160
20240706,0,2024_07_y24m07day06_hm00:53,4,x4,nugget_free,0.5000,range,0.6175,1.6572,1160,1160
20240706,0,2024_07_y24m07day06_hm00:53,4,x4,nugget_free,0.5000,nugget,3.6749,1.6572,1160,1160
20240706,0,2024_07_y24m07day06_hm00:53,2,x2,nugget_free,0.5000,sigmasq,12.8521,1.4948,4560,4532
20240706,0,2024_07_y24m07day06_hm00:53,2,x2,nugget_free,0.5000,range,0.6732,1.4948,4560,4532
20240706,0,2024_07_y24m07day06_hm00:53,2,x2,nugget_free,0.5000,nugget,3.9562,1.4948,4560,4532
20240706,0,2024_07_y24m07day06_hm00:53,1,x1,nugget_free,0.5000,sigmasq,12.8307,1.3172,18126,18069
20240706,0,2024_07_y24m07day06_hm00:53,1,x1,nugget_free,0.5000,range,0.2944,1.3172,18126,18069
20240706,0,2024_07_y24m07day06_hm00:53,1,x1,nugget_free,0.5000,nugget,2.0243,1.3172,18126,18069
20240706,1,2024_07_y24m07day06_hm01:53,8,x8,nugget_free,0.5000,sigmasq,13.4093,1.8568,300,292
20240706,1,2024_07_y24m07day06_hm01:53,8,x8,nugget_free,0.5000,range,0.6526,1.8568,300,292
20240706,1,2024_07_y24m07day06_hm01:53,8,x8,nugget_free,0.5000,nugget,5.0456,1.8568,300,292
20240706,1,2024_07_y24m07day06_hm01:53,4,x4,nugget_free,0.5000,sigmasq,14.7841,1.7148,1160,1128
20240706,1,2024_07_y24m07day06_hm01:53,4,x4,nugget_free,0.5000,range,0.8494,1.7148,1160,1128
20240706,1,2024_07_y24m07day06_hm01:53,4,x4,nugget_free,0.5000,nugget,5.5197,1.7148,1160,1128
20240706,1,2024_07_y24m07day06_hm01:53,2,x2,nugget_free,0.5000,sigmasq,16.6756,1.5199,4560,4391
20240706,1,2024_07_y24m07day06_hm01:53,2,x2,nugget_free,0.5000,range,0.6092,1.5199,4560,4391
20240706,1,2024_07_y24m07day06_hm01:53,2,x2,nugget_free,0.5000,nugget,3.4606,1.5199,4560,4391
20240706,1,2024_07_y24m07day06_hm01:53,1,x1,nugget_free,0.5000,sigmasq,16.0717,1.3839,18126,17517
20240706,1,2024_07_y24m07day06_hm01:53,1,x1,nugget_free,0.5000,range,0.3376,1.3839,18126,17517
20240706,1,2024_07_y24m07day06_hm01:53,1,x1,nugget_free,0.5000,nugget,2.4572,1.3839,18126,17517
20240706,2,2024_07_y24m07day06_hm02:53,8,x8,nugget_free,0.5000,sigmasq,15.0307,1.8977,300,280
20240706,2,2024_07_y24m07day06_hm02:53,8,x8,nugget_free,0.5000,range,0.6074,1.8977,300,280
20240706,2,2024_07_y24m07day06_hm02:53,8,x8,nugget_free,0.5000,nugget,5.8280,1.8977,300,280
20240706,2,2024_07_y24m07day06_hm02:53,4,x4,nugget_free,0.5000,sigmasq,15.6374,1.7471,1160,1066
20240706,2,2024_07_y24m07day06_hm02:53,4,x4,nugget_free,0.5000,range,0.6818,1.7471,1160,1066
20240706,2,2024_07_y24m07day06_hm02:53,4,x4,nugget_free,0.5000,nugget,5.2241,1.7471,1160,1066
20240706,2,2024_07_y24m07day06_hm02:53,2,x2,nugget_free,0.5000,sigmasq,18.0314,1.5924,4560,4165
20240706,2,2024_07_y24m07day06_hm02:53,2,x2,nugget_free,0.5000,range,0.5118,1.5924,4560,4165
20240706,2,2024_07_y24m07day06_hm02:53,2,x2,nugget_free,0.5000,nugget,3.7328,1.5924,4560,4165
20240706,2,2024_07_y24m07day06_hm02:53,1,x1,nugget_free,0.5000,sigmasq,18.9805,1.4754,18126,16585
20240706,2,2024_07_y24m07day06_hm02:53,1,x1,nugget_free,0.5000,range,0.3654,1.4754,18126,16585
20240706,2,2024_07_y24m07day06_hm02:53,1,x1,nugget_free,0.5000,nugget,3.1259,1.4754,18126,16585
20240706,3,2024_07_y24m07day06_hm03:53,8,x8,nugget_free,0.5000,sigmasq,13.9474,1.9409,300,277
20240706,3,2024_07_y24m07day06_hm03:53,8,x8,nugget_free,0.5000,range,0.8973,1.9409,300,277
20240706,3,2024_07_y24m07day06_hm03:53,8,x8,nugget_free,0.5000,nugget,8.0793,1.9409,300,277
20240706,3,2024_07_y24m07day06_hm03:53,4,x4,nugget_free,0.5000,sigmasq,16.8762,1.7907,1160,1060
20240706,3,2024_07_y24m07day06_hm03:53,4,x4,nugget_free,0.5000,range,0.9807,1.7907,1160,1060
20240706,3,2024_07_y24m07day06_hm03:53,4,x4,nugget_free,0.5000,nugget,6.9500,1.7907,1160,1060
20240706,3,2024_07_y24m07day06_hm03:53,2,x2,nugget_free,0.5000,sigmasq,18.3010,1.5954,4560,4168
20240706,3,2024_07_y24m07day06_hm03:53,2,x2,nugget_free,0.5000,range,0.4406,1.5954,4560,4168
20240706,3,2024_07_y24m07day06_hm03:53,2,x2,nugget_free,0.5000,nugget,3.2380,1.5954,4560,4168
20240706,3,2024_07_y24m07day06_hm03:53,1,x1,nugget_free,0.5000,sigmasq,19.6041,1.3572,18126,16582
20240706,3,2024_07_y24m07day06_hm03:53,1,x1,nugget_free,0.5000,range,0.3002,1.3572,18126,16582
20240706,3,2024_07_y24m07day06_hm03:53,1,x1,nugget_free,0.5000,nugget,1.3192,1.3572,18126,16582
20240706,4,2024_07_y24m07day06_hm04:48,8,x8,nugget_free,0.5000,sigmasq,16.7950,1.9654,300,277
20240706,4,2024_07_y24m07day06_hm04:48,8,x8,nugget_free,0.5000,range,0.6724,1.9654,300,277
20240706,4,2024_07_y24m07day06_hm04:48,8,x8,nugget_free,0.5000,nugget,6.0906,1.9654,300,277
20240706,4,2024_07_y24m07day06_hm04:48,4,x4,nugget_free,0.5000,sigmasq,15.9366,1.7426,1160,1065
20240706,4,2024_07_y24m07day06_hm04:48,4,x4,nugget_free,0.5000,range,0.9308,1.7426,1160,1065
20240706,4,2024_07_y24m07day06_hm04:48,4,x4,nugget_free,0.5000,nugget,6.0385,1.7426,1160,1065
20240706,4,2024_07_y24m07day06_hm04:48,2,x2,nugget_free,0.5000,sigmasq,17.9925,1.5373,4560,4191
