n,true_smooth,rep,y_mean,y_var
200,0.3000,0,-0.6878,12.5343
200,0.5000,0,-0.1043,4.3391
200,1.5000,0,-5.3143,7.2869
400,0.3000,0,-0.5988,6.9686
400,0.5000,0,0.9833,4.4958
400,1.5000,0,-2.1460,5.6989
800,0.3000,0,2.4949,9.5273
800,0.5000,0,-3.8397,5.8516
800,1.5000,0,-5.7921,10.6842
1600,0.3000,0,3.4793,13.4065
1600,0.5000,0,0.1925,6.8406
1600,1.5000,0,-2.2827,3.1780
