date_str,hour_idx,time_key,resolution_stride,resolution_label,variant,fit_type,smooth,direction,k_mid,data_k_max,data_spectrum,theory_spectrum_expected,theory_spectrum_scaled,theory_scale_to_data
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,lat,1.189997217269,8.329980520882,32.91321483150292,24.19137462271089,8.98321931507128,0.9232511992980166
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,lat,2.379994434538,8.329980520882,15.208558185871064,14.240192661926859,8.10650312215095,0.9232511992980166
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,lat,3.569991651807,8.329980520882,4.597248748380772,10.3340611728437,7.913202868137709,0.9232511992980166
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,lat,4.759988869075,8.329980520882,7.12328027157198,9.265637274453411,7.855035433155382,0.9232511992980166
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,lat,5.949986086344,8.329980520882,8.47075180635856,8.899677025978665,7.832476659553603,0.9232511992980166
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,lat,7.139983303613,8.329980520882,6.982373100797531,8.752941624970026,7.822071315557272,0.9232511992980166
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,lat,8.329980520882,8.329980520882,7.816648945806233,8.697912853109528,7.816648945806233,0.9232511992980166
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,lon,0.623331875712,6.233318757123,12.032173047906847,25.885264974157842,10.58549413070053,0.9670544841040316
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,lon,1.246663751425,6.233318757123,29.39721171621229,20.23255113733754,9.325076878035592,0.9670544841040316
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,lon,1.869995627137,6.233318757123,31.906537457027,14.126257472374983,8.719068503909845,0.9670544841040316
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,lon,2.493327502849,6.233318757123,11.915970040390034,11.37214056403637,8.457785619378253,0.9670544841040316
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,lon,3.116659378561,6.233318757123,5.339347210770378,10.125435663714146,8.336898674316869,0.9670544841040316
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,lon,3.739991254274,6.233318757123,5.98753995350666,9.516179129873574,8.275489715150398,0.9670544841040316
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,lon,4.363323129986,6.233318757123,5.6456377437551195,9.198030498469107,8.241584949191324,0.9670544841040316
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,lon,4.986655005698,6.233318757123,7.097924445263647,9.027930614780036,8.22152935585688,0.9670544841040316
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,lon,5.60998688141,6.233318757123,9.606049480264327,8.943436027218562,8.208977790022743,0.9670544841040316
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,full,1.0,lon,6.233318757123,6.233318757123,2.988987320520498,8.917778289554843,8.20074984306001,0.9670544841040316
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,nugget_free,full,1.0,lat,1.231031604071,17.234442456997,62.0021331258862,45.76896651783504,6.154647919219263,1.0488569788772204
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,nugget_free,full,1.0,lat,2.462063208142,17.234442456997,26.193628505846135,30.2626799670846,5.9773349443024015,1.0488569788772204
