frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,Matern s=0.3 nugget free,GC a=0.7 b=2.5 nugget0,GC a=0.7 b=2.5 nugget free,GC a=0.7 b=3 nugget0,GC a=0.7 b=3 nugget free,GC a=0.7 b=3.5 nugget0,GC a=0.7 b=3.5 nugget free
ultra_low,0.5729,5.1561,0.9552,0.8286,1.0676,1.0226,1.0596,1.0122,1.0527,1.0034
low_mid,6.3019,16.6141,0.7135,0.7878,0.8700,0.8730,0.8594,0.8653,0.8510,0.8591
mid,17.7599,33.8012,0.9585,1.0685,0.9997,1.0382,0.9964,1.0386,0.9918,1.0391
high,34.9470,56.7172,1.0590,1.0632,1.0440,1.0480,1.0432,1.0491,1.0433,1.0499
very_high,57.8630,79.6333,1.0135,0.9438,0.9689,0.9463,0.9724,0.9467,0.9751,0.9469
