date_str,hour_idx,time_key,resolution_stride,resolution_label,fit_type,parameter,estimate,loss,n_grid,n_valid
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,full,sigmasq,8.6677,1.6153,2266,2259
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,full,range,0.4971,1.6153,2266,2259
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,full,nugget,4.4164,1.6153,2266,2259
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,full,sigmasq,9.0600,1.5040,4532,4518
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,full,range,0.3875,1.5040,4532,4518
20240703,0,2024_07_y24m07day03_hm00:53,4,x4,full,nugget,3.4295,1.5040,4532,4518
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,full,sigmasq,10.0542,1.5430,9063,9033
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,full,range,0.2933,1.5430,9063,9033
20240703,0,2024_07_y24m07day03_hm00:53,2,x2,full,nugget,4.2270,1.5430,9063,9033
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,full,sigmasq,10.2213,1.4111,18126,18067
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,full,range,0.2472,1.4111,18126,18067
20240703,0,2024_07_y24m07day03_hm00:53,1,x1,full,nugget,3.0520,1.4111,18126,18067
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,full,sigmasq,11.0936,1.6512,2266,2208
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,full,range,0.4165,1.6512,2266,2208
20240703,1,2024_07_y24m07day03_hm01:53,8,x8,full,nugget,3.8572,1.6512,2266,2208
20240703,1,2024_07_y24m07day03_hm01:53,4,x4,full,sigmasq,12.2582,1.5263,4532,4422
20240703,1,2024_07_y24m07day03_hm01:53,4,x4,full,range,0.3544,1.5263,4532,4422
20240703,1,2024_07_y24m07day03_hm01:53,4,x4,full,nugget,2.6059,1.5263,4532,4422
20240703,1,2024_07_y24m07day03_hm01:53,2,x2,full,sigmasq,12.0204,1.4181,9063,8840
20240703,1,2024_07_y24m07day03_hm01:53,2,x2,full,range,0.2861,1.4181,9063,8840
20240703,1,2024_07_y24m07day03_hm01:53,2,x2,full,nugget,2.2453,1.4181,9063,8840
20240703,1,2024_07_y24m07day03_hm01:53,1,x1,full,sigmasq,11.9110,1.3587,18126,17670
20240703,1,2024_07_y24m07day03_hm01:53,1,x1,full,range,0.2253,1.3587,18126,17670
20240703,1,2024_07_y24m07day03_hm01:53,1,x1,full,nugget,1.9943,1.3587,18126,17670
20240703,2,2024_07_y24m07day03_hm02:53,8,x8,full,sigmasq,12.6140,1.7045,2266,2082
20240703,2,2024_07_y24m07day03_hm02:53,8,x8,full,range,0.4593,1.7045,2266,2082
20240703,2,2024_07_y24m07day03_hm02:53,8,x8,full,nugget,4.4169,1.7045,2266,2082
20240703,2,2024_07_y24m07day03_hm02:53,4,x4,full,sigmasq,13.0138,1.6075,4532,4176
20240703,2,2024_07_y24m07day03_hm02:53,4,x4,full,range,0.3772,1.6075,4532,4176
