date_str,hour_idx,time_key,resolution_stride,resolution_label,variant,profile_type,fit_type,smooth,n_valid_spectrum,est_sigmasq,est_range,est_nugget,k_bin,k_mid,k_mean,n_freq,data_k_max,data_spectrum,theory_spectrum_raw,theory_spectrum_scaled,theory_scale_to_data
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,0,0.5729014104765542,0.627252201974578,2,10.885126799054529,1.2931510114763343,9.367216132282362,7.2905753588286135,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,1,1.7187042314296626,1.695268273838533,18,10.885126799054529,76.51564847964669,7.626571589371123,5.93581850964122,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,2,2.8645070523827707,2.888368177098319,26,10.885126799054529,20.01878369014109,7.052837019848827,5.489276542850045,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,3,4.0103098733358795,4.101153866844383,42,10.885126799054529,7.534439202135231,6.917399550119272,5.383864532971311,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,4,5.156112694288987,5.243474246005946,50,10.885126799054529,7.567933609625722,6.873405715318647,5.349623797686849,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,5,6.301915515242095,6.334396296799058,51,10.885126799054529,7.838091674453738,6.8556983404798,5.335842013553063,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,6,7.447718336195205,7.484202811445298,46,10.885126799054529,6.443334993209078,6.846100683780067,5.328372084552874,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,7,8.593521157148313,8.64988424118374,48,10.885126799054529,9.404429343404964,6.840851272028744,5.3242864275741,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,8,9.739323978101421,9.828990003837582,14,10.885126799054529,3.4769201347047973,6.837708553383078,5.321840425817094,0.7783075842248378
20240703,0,2024_07_y24m07day03_hm00:53,8,x8,nugget_free,sigma_only,sigma_only,0.5,300,6.556007145438524,0.8192239502222272,6.83092055628304,9,10.885126799054529,10.932120873774602,2,10.885126799054529,0.15722708841164987,6.835874853921629,5.320413243619059,0.7783075842248378
