k_bin,k_mid,Matern s=0.3 nugget0,Matern s=0.3 nugget free,GC a=0.75 b=1 nugget0,GC a=0.75 b=1 nugget free
0,0.5729,3.5255,2.0068,1.5633,1.2318
1,1.7187,2.1000,1.5227,1.7850,1.5569
2,2.8645,0.8442,0.7460,1.0187,0.9240
3,4.0103,0.7886,0.7586,1.0087,0.9476
4,5.1561,0.7320,0.7341,0.9399,0.8996
5,6.3019,0.6654,0.6844,0.8440,0.8172
6,7.4477,0.7705,0.8014,0.9425,0.9244
7,8.5935,0.7966,0.8380,0.9448,0.9336
8,9.7393,0.7860,0.8370,0.9163,0.9104
9,10.8851,0.7792,0.8365,0.8935,0.8918
10,12.0309,0.8164,0.8802,0.9154,0.9181
11,13.1767,0.8409,0.9070,0.9228,0.9292
12,14.3225,0.8558,0.9215,0.9239,0.9323
13,15.4683,0.9422,1.0260,1.0143,1.0273
14,16.6141,0.9419,1.0234,0.9998,1.0149
15,17.7599,0.9577,1.0372,0.9991,1.0167
16,18.9057,0.9632,1.0440,1.0005,1.0190
17,20.0515,0.9826,1.0610,1.0097,1.0296
18,21.1974,1.0264,1.1026,1.0451,1.0648
19,22.3432,0.9771,1.0437,0.9859,1.0042
20,23.4890,1.0162,1.0875,1.0236,1.0440
21,24.6348,1.0487,1.1183,1.0497,1.0706
22,25.7806,1.0616,1.1244,1.0569,1.0766
23,26.9264,1.0550,1.1140,1.0471,1.0674
24,28.0722,1.0582,1.1116,1.0466,1.0656
25,29.2180,1.0554,1.1047,1.0416,1.0595
26,30.3638,1.0802,1.1277,1.0651,1.0831
27,31.5096,1.0714,1.1133,1.0536,1.0701
28,32.6554,1.1126,1.1487,1.0917,1.1075
29,33.8012,1.1096,1.1426,1.0879,1.1031
30,34.9470,1.0850,1.1118,1.0621,1.0749
31,36.0928,1.0937,1.1150,1.0695,1.0813
32,37.2386,1.1100,1.1271,1.0844,1.0946
33,38.3844,1.1348,1.1489,1.1082,1.1180
34,39.5302,1.1386,1.1480,1.1116,1.1200
35,40.6760,1.0938,1.0993,1.0687,1.0757
36,41.8218,1.0947,1.0960,1.0696,1.0748
37,42.9676,1.0862,1.0841,1.0614,1.0658
38,44.1134,1.0841,1.0790,1.0595,1.0628
39,45.2592,1.0899,1.0811,1.0651,1.0673
40,46.4050,1.0895,1.0784,1.0653,1.0667
41,47.5508,1.1005,1.0862,1.0763,1.0765
42,48.6966,1.0677,1.0511,1.0442,1.0436
43,49.8424,1.1035,1.0846,1.0801,1.0787
44,50.9882,1.0879,1.0667,1.0656,1.0636
45,52.1340,1.0574,1.0347,1.0362,1.0335
46,53.2798,1.0190,0.9953,0.9997,0.9964
47,54.4256,1.0406,1.0141,1.0216,1.0174
48,55.5714,1.0229,0.9954,1.0060,1.0012
49,56.7172,1.0445,1.0149,1.0288,1.0230
50,57.8630,1.0098,0.9799,0.9949,0.9888
51,59.0088,1.0267,0.9932,1.0114,1.0046
52,60.1546,1.0141,0.9797,0.9995,0.9920
53,61.3005,1.0203,0.9842,1.0064,0.9980
54,62.4463,1.0102,0.9715,0.9964,0.9870
55,63.5921,1.0154,0.9775,1.0034,0.9937
56,64.7379,1.0045,0.9654,0.9932,0.9833
57,65.8837,1.0173,0.9761,1.0055,0.9948
58,67.0295,0.9390,0.9001,0.9277,0.9177
59,68.1753,0.9750,0.9346,0.9651,0.9544
60,69.3211,0.9951,0.9530,0.9855,0.9741
61,70.4669,1.0139,0.9712,1.0048,0.9931
62,71.6127,0.9347,0.8927,0.9247,0.9134
63,72.7585,0.9275,0.8839,0.9171,0.9050
64,73.9043,0.9460,0.8999,0.9364,0.9232
65,75.0501,0.9089,0.8629,0.8989,0.8858
66,76.1959,0.9369,0.8902,0.9290,0.9153
67,77.3417,0.9615,0.9115,0.9524,0.9375
68,78.4875,0.9057,0.8564,0.8955,0.8807
69,79.6333,0.9268,0.8766,0.9173,0.9026
