date_str,day_idx,hour_idx,time_key,fit_scope,smooth,model,kernel,coord_mode,loss,fit_iter_raw,fit_steps_reported,precompute_s,fit_s,total_s,n_valid,est_sigmasq,est_range_lat,est_range_lon,est_nugget,n_batches,n_tails,mean_m,max_m,largest_batch_n,total_conditioning_nominal,head_right_cols,above_count,right_col_count,per_time_conditioning_count
20240703,2,,,pooled_day,0.5000,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.4026,0,1,0.4800,16.7630,17.2430,140352,14.8221,0.2031,0.2367,1.6410,1,140352,10.0000,10,140352,10,,,,
20240703,2,,,pooled_day,0.5000,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4085,0,1,1.3050,18.6420,19.9470,140352,14.3775,0.1785,0.2147,1.4265,1,140352,10.0000,10,140352,10,0.0000,2.0000,3.0000,10.0000
20240703_h01,2,0.0000,2024_07_y24m07day03_hm00:53,hourly,0.5000,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.4147,0,1,0.0440,2.4810,2.5260,18067,11.5267,0.2753,0.3831,3.2931,1,18067,10.0000,10,18067,10,,,,
20240703_h01,2,0.0000,2024_07_y24m07day03_hm00:53,hourly,0.5000,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4181,0,1,0.8940,2.2740,3.1680,18067,11.8275,0.2371,0.3362,2.9654,1,18067,10.0000,10,18067,10,0.0000,2.0000,3.0000,10.0000
20240703_h02,2,1.0000,2024_07_y24m07day03_hm01:53,hourly,0.5000,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.3506,0,1,0.0430,1.9390,1.9820,17670,13.8899,0.2274,0.3157,1.9319,1,17670,10.0000,10,17670,10,,,,
20240703_h02,2,1.0000,2024_07_y24m07day03_hm01:53,hourly,0.5000,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.3558,0,1,0.8230,1.9080,2.7310,17670,13.0262,0.1976,0.2882,1.8309,1,17670,10.0000,10,17670,10,0.0000,2.0000,3.0000,10.0000
20240703_h03,2,2.0000,2024_07_y24m07day03_hm02:53,hourly,0.5000,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.3595,0,1,0.0430,1.9250,1.9680,16698,16.2563,0.2161,0.2799,1.2985,1,16698,10.0000,10,16698,10,,,,
20240703_h03,2,2.0000,2024_07_y24m07day03_hm02:53,hourly,0.5000,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.3649,0,1,0.7570,2.1290,2.8860,16698,15.5766,0.1970,0.2608,1.2124,1,16698,10.0000,10,16698,10,0.0000,2.0000,3.0000,10.0000
20240703_h04,2,3.0000,2024_07_y24m07day03_hm03:53,hourly,0.5000,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.3926,0,1,0.0440,2.1270,2.1710,16863,17.6478,0.2084,0.2627,1.1280,1,16863,10.0000,10,16863,10,,,,
20240703_h04,2,3.0000,2024_07_y24m07day03_hm03:53,hourly,0.5000,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4011,0,1,0.7620,2.6180,3.3800,16863,17.2768,0.1847,0.2354,0.8615,1,16863,10.0000,10,16863,10,0.0000,2.0000,3.0000,10.0000
20240703_h05,2,4.0000,2024_07_y24m07day03_hm04:48,hourly,0.5000,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.4446,0,1,0.0440,2.1800,2.2230,17088,17.9760,0.1884,0.2267,1.0433,1,17088,10.0000,10,17088,10,,,,
20240703_h05,2,4.0000,2024_07_y24m07day03_hm04:48,hourly,0.5000,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4504,0,1,0.7800,2.3440,3.1240,17088,17.3970,0.1730,0.2116,0.9281,1,17088,10.0000,10,17088,10,0.0000,2.0000,3.0000,10.0000
20240703_h06,2,5.0000,2024_07_y24m07day03_hm05:48,hourly,0.5000,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.4186,7,8,0.0430,3.3860,3.4290,17760,15.6726,0.1807,0.1920,1.2736,1,17760,10.0000,10,17760,10,,,,
20240703_h06,2,5.0000,2024_07_y24m07day03_hm05:48,hourly,0.5000,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4514,0,1,0.8120,2.6490,3.4610,17760,15.3202,0.1635,0.1778,1.0783,1,17760,10.0000,10,17760,10,0.0000,2.0000,3.0000,10.0000
20240703_h07,2,6.0000,2024_07_y24m07day03_hm06:48,hourly,0.5000,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.3769,1,2,0.0450,3.1000,3.1450,18104,13.5485,0.1697,0.1728,1.1502,1,18104,10.0000,10,18104,10,,,,
20240703_h07,2,6.0000,2024_07_y24m07day03_hm06:48,hourly,0.5000,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.3808,1,2,0.8260,3.3630,4.1890,18104,13.2552,0.1493,0.1557,0.8887,1,18104,10.0000,10,18104,10,0.0000,2.0000,3.0000,10.0000
20240703_h08,2,7.0000,2024_07_y24m07day03_hm07:48,hourly,0.5000,HybridSpace_A10_exactloc,hybrid_space_tonly,Source_Latitude/Source_Longitude,1.4123,0,1,0.0440,2.6560,2.7000,18102,12.0693,0.1849,0.1812,1.8690,1,18102,10.0000,10,18102,10,,,,
20240703_h08,2,7.0000,2024_07_y24m07day03_hm07:48,hourly,0.5000,ColumnSpace_Up2_Right3_M10_realloc,column_space_tonly,Source_Latitude/Source_Longitude,1.4213,0,1,0.8630,3.1850,4.0480,18102,12.0301,0.1457,0.1535,1.3417,1,18102,10.0000,10,18102,10,0.0000,2.0000,3.0000,10.0000
