smooth,resolution_stride,resolution_label,k_bin,k_mid,effective_k_max,data_spectrum,theory_spectrum_scaled,n_hours
0.3,1,x2,21,,,,,0
0.3,1,x2,22,,,,,0
0.3,1,x2,23,,,,,0
0.3,1,x2,24,,,,,0
0.3,1,x2,25,,,,,0
0.3,1,x2,26,,,,,0
0.3,1,x2,27,,,,,0
0.3,1,x2,28,,,,,0
0.3,1,x2,29,,,,,0
0.3,1,x2,30,,,,,0
0.3,1,x2,31,,,,,0
0.3,1,x2,32,,,,,0
0.3,1,x2,33,,,,,0
0.3,1,x2,34,,,,,0
0.3,1,x2,35,,,,,0
0.3,1,x2,36,,,,,0
0.3,1,x2,37,,,,,0
0.3,1,x2,38,,,,,0
0.3,1,x2,39,,,,,0
0.3,1,x2,40,,,,,0
0.3,1,x2,41,,,,,0
0.3,1,x2,42,,,,,0
0.3,1,x2,43,,,,,0
0.3,1,x2,44,,,,,0
0.3,1,x2,45,,,,,0
0.3,1,x2,46,,,,,0
0.3,1,x2,47,,,,,0
0.3,1,x2,48,,,,,0
0.3,1,x2,49,,,,,0
0.3,1,x2,50,,,,,0
0.3,1,x2,51,,,,,0
0.3,1,x2,52,,,,,0
0.3,1,x2,53,,,,,0
0.3,1,x2,54,,,,,0
0.3,1,x2,55,,,,,0
0.3,1,x2,56,,,,,0
0.3,1,x2,57,,,,,0
0.3,1,x2,58,,,,,0
0.3,1,x2,59,,,,,0
0.3,1,x2,60,,,,,0
0.3,1,x2,61,,,,,0
0.3,1,x2,62,,,,,0
0.3,1,x2,63,,,,,0
0.3,1,x2,64,,,,,0
0.3,1,x2,65,,,,,0
0.3,1,x2,66,,,,,0
0.3,1,x2,67,,,,,0
0.3,1,x2,68,,,,,0
0.3,1,x2,69,,,,,0
0.3,1,x1,0,0.09118009138166257,12.674032702051097,2469.0686723390672,7491.914280023552,8
0.3,1,x1,1,0.2735402741449877,12.674032702051097,4241.521173990417,4440.889989941594,8
0.3,1,x1,2,0.4559004569083128,12.674032702051097,1058.216751725186,2290.3236694533116,8
0.3,1,x1,3,0.6382606396716379,12.674032702051097,336.89650372787946,1251.965025884922,8
0.3,1,x1,4,0.8206208224349631,12.674032702051097,249.72597508933413,759.3295194470805,8
0.3,1,x1,5,1.0029810051982881,12.674032702051097,203.8438556838413,506.2171261699466,8
0.3,1,x1,6,1.1853411879616134,12.674032702051097,132.93446580573706,346.13625984573633,8
0.3,1,x1,7,1.3677013707249386,12.674032702051097,88.61714232321637,246.78585927500305,8
0.3,1,x1,8,1.5500615534882636,12.674032702051097,76.8035313793274,181.3349793371105,8
0.3,1,x1,9,1.7324217362515888,12.674032702051097,59.75202309334185,140.00091845896137,8
0.3,1,x1,10,1.9147819190149138,12.674032702051097,55.39885908767174,109.82692433011745,8
0.3,1,x1,11,2.097142101778239,12.674032702051097,41.84360482902159,88.32452526318171,8
0.3,1,x1,12,2.2795022845415644,12.674032702051097,37.60367437968743,72.14166107225938,8
0.3,1,x1,13,2.461862467304889,12.674032702051097,31.837848380699462,59.33768045311314,8
0.3,1,x1,14,2.6442226500682144,12.674032702051097,28.154231417142572,49.33306467639911,8
0.3,1,x1,15,2.82658283283154,12.674032702051097,22.50201195239148,41.42077292138305,8
0.3,1,x1,16,3.0089430155948644,12.674032702051097,18.31546011926254,35.327710693275414,8
0.3,1,x1,17,3.19130319835819,12.674032702051097,16.806048783530944,30.47010462398141,8
0.3,1,x1,18,3.3736633811215153,12.674032702051097,16.68827209943272,26.389018272889498,8
0.3,1,x1,19,3.55602356388484,12.674032702051097,13.975752346413,23.057795715863495,8
0.3,1,x1,20,3.7383837466481653,12.674032702051097,13.661868582272145,20.30693697987808,8
0.3,1,x1,21,3.9207439294114903,12.674032702051097,11.439680663898772,18.020494277916455,8
0.3,1,x1,22,4.103104112174815,12.674032702051097,11.408835135421933,16.05602722401159,8
0.3,1,x1,23,4.285464294938141,12.674032702051097,10.811610663578081,14.367945672045877,8
0.3,1,x1,24,4.467824477701466,12.674032702051097,9.991750476483954,12.893356938530331,8
0.3,1,x1,25,4.650184660464791,12.674032702051097,8.906325022882644,11.591546996099183,8
0.3,1,x1,26,4.832544843228116,12.674032702051097,8.572080948010967,10.507871036786357,8
0.3,1,x1,27,5.014905025991441,12.674032702051097,7.753051836769438,9.547707247180757,8
0.3,1,x1,28,5.197265208754766,12.674032702051097,7.140554594890357,8.6980048410658,8
0.3,1,x1,29,5.379625391518092,12.674032702051097,6.609129585742817,7.961574855917209,8
0.3,1,x1,30,5.561985574281417,12.674032702051097,6.4181473800154905,7.290257614179534,8
0.3,1,x1,31,5.744345757044742,12.674032702051097,6.19572093543405,6.7037066657439635,8
0.3,1,x1,32,5.926705939808067,12.674032702051097,5.683049674769851,6.186591217779867,8
0.3,1,x1,33,6.109066122571392,12.674032702051097,5.5024134488738525,5.723986126556184,8
0.3,1,x1,34,6.291426305334717,12.674032702051097,5.643061594019404,5.317667731033197,8
0.3,1,x1,35,6.4737864880980425,12.674032702051097,4.976285913148601,4.943965293385116,8
0.3,1,x1,36,6.656146670861368,12.674032702051097,5.171773818230678,4.595955025691402,8
0.3,1,x1,37,6.8385068536246925,12.674032702051097,4.787755596665502,4.278900338582258,8
0.3,1,x1,38,7.020867036388018,12.674032702051097,4.810594417111862,3.997668307942725,8
0.3,1,x1,39,7.2032272191513425,12.674032702051097,4.499681341886021,3.7414753701414454,8
0.3,1,x1,40,7.385587401914668,12.674032702051097,4.102132778386105,3.5082249967793864,8
0.3,1,x1,41,7.567947584677993,12.674032702051097,4.109116052728837,3.2943862376619144,8
0.3,1,x1,42,7.750307767441319,12.674032702051097,4.416557015519536,3.0945302311567233,8
0.3,1,x1,43,7.932667950204642,12.674032702051097,4.270974260244636,2.916837042392096,8
0.3,1,x1,44,8.115028132967968,12.674032702051097,4.024669111837422,2.7484145989361113,8
0.3,1,x1,45,8.297388315731293,12.674032702051097,3.774595817733969,2.5936979557155686,8
0.3,1,x1,46,8.479748498494619,12.674032702051097,3.584576942471048,2.4567485616979368,8
0.3,1,x1,47,8.662108681257944,12.674032702051097,3.4407649230859345,2.3243065488150196,8
0.3,1,x1,48,8.84446886402127,12.674032702051097,3.2322612108040345,2.199902646137457,8
0.3,1,x1,49,9.026829046784595,12.674032702051097,3.178593261079759,2.086095802086635,8
0.3,1,x1,50,9.209189229547919,12.674032702051097,3.193593576037565,1.9808617834372326,8
0.3,1,x1,51,9.391549412311244,12.674032702051097,3.1390978789583097,1.880589308242597,8
0.3,1,x1,52,9.57390959507457,12.674032702051097,3.0046245296264487,1.787319749879209,8
0.3,1,x1,53,9.756269777837895,12.674032702051097,2.976790489916182,1.7030070849686676,8
0.3,1,x1,54,9.93862996060122,12.674032702051097,2.83877152657897,1.6220687741373758,8
0.3,1,x1,55,10.120990143364544,12.674032702051097,2.765754669291123,1.547851595574424,8
0.3,1,x1,56,10.30335032612787,12.674032702051097,2.590560138615411,1.4782826146092045,8
0.3,1,x1,57,10.485710508891195,12.674032702051097,2.7561985427814313,1.4127903277255325,8
0.3,1,x1,58,10.66807069165452,12.674032702051097,2.645766002395121,1.3527790925101917,8
0.3,1,x1,59,10.850430874417846,12.674032702051097,2.633498453978126,1.2947242229329134,8
0.3,1,x1,60,11.032791057181171,12.674032702051097,2.8120969365337,1.2391888908681281,8
0.3,1,x1,61,11.215151239944497,12.674032702051097,2.88690689519566,1.1871437108465268,8
0.3,1,x1,62,11.39751142270782,12.674032702051097,2.8602838061073506,1.1383497798268811,8
0.3,1,x1,63,11.579871605471146,12.674032702051097,2.511419666416191,1.0927814241655425,8
0.3,1,x1,64,11.762231788234471,12.674032702051097,2.4112457492980894,1.049128916099941,8
0.3,1,x1,65,11.944591970997797,12.674032702051097,2.4877323962923072,1.0078554328498008,8
0.3,1,x1,66,12.12695215376112,12.674032702051097,2.484588163954238,0.9701823044481894,8
0.3,1,x1,67,12.309312336524446,12.674032702051097,2.31057610137054,0.9324111837491014,8
0.3,1,x1,68,12.491672519287771,12.674032702051097,2.712028935900042,0.8962076900571364,8
0.3,1,x1,69,12.674032702051097,12.674032702051097,2.4589795051132635,0.8646031835558368,8
0.3,2,x8,0,,,,,0
0.3,2,x8,1,,,,,0
0.3,2,x8,2,,,,,0
0.3,2,x8,3,,,,,0
0.3,2,x8,4,,,,,0
0.3,2,x8,5,,,,,0
0.3,2,x8,6,,,,,0
0.3,2,x8,7,,,,,0
0.3,2,x8,8,,,,,0
0.3,2,x8,9,,,,,0
0.3,2,x8,10,,,,,0
0.3,2,x8,11,,,,,0
0.3,2,x8,12,,,,,0
0.3,2,x8,13,,,,,0
0.3,2,x8,14,,,,,0
0.3,2,x8,15,,,,,0
0.3,2,x8,16,,,,,0
0.3,2,x8,17,,,,,0
0.3,2,x8,18,,,,,0
0.3,2,x8,19,,,,,0
0.3,2,x8,20,,,,,0
0.3,2,x8,21,,,,,0
0.3,2,x8,22,,,,,0
0.3,2,x8,23,,,,,0
0.3,2,x8,24,,,,,0
0.3,2,x8,25,,,,,0
0.3,2,x8,26,,,,,0
0.3,2,x8,27,,,,,0
0.3,2,x8,28,,,,,0
0.3,2,x8,29,,,,,0
0.3,2,x8,30,,,,,0
0.3,2,x8,31,,,,,0
0.3,2,x8,32,,,,,0
0.3,2,x8,33,,,,,0
0.3,2,x8,34,,,,,0
0.3,2,x8,35,,,,,0
0.3,2,x8,36,,,,,0
0.3,2,x8,37,,,,,0
0.3,2,x8,38,,,,,0
0.3,2,x8,39,,,,,0
0.3,2,x8,40,,,,,0
0.3,2,x8,41,,,,,0
0.3,2,x8,42,,,,,0
0.3,2,x8,43,,,,,0
0.3,2,x8,44,,,,,0
0.3,2,x8,45,,,,,0
0.3,2,x8,46,,,,,0
0.3,2,x8,47,,,,,0
0.3,2,x8,48,,,,,0
0.3,2,x8,49,,,,,0
0.3,2,x8,50,,,,,0
0.3,2,x8,51,,,,,0
0.3,2,x8,52,,,,,0
0.3,2,x8,53,,,,,0
0.3,2,x8,54,,,,,0
0.3,2,x8,55,,,,,0
0.3,2,x8,56,,,,,0
0.3,2,x8,57,,,,,0
0.3,2,x8,58,,,,,0
0.3,2,x8,59,,,,,0
0.3,2,x8,60,,,,,0
0.3,2,x8,61,,,,,0
0.3,2,x8,62,,,,,0
0.3,2,x8,63,,,,,0
0.3,2,x8,64,,,,,0
0.3,2,x8,65,,,,,0
0.3,2,x8,66,,,,,0
0.3,2,x8,67,,,,,0
0.3,2,x8,68,,,,,0
0.3,2,x8,69,,,,,0
0.3,2,x4,0,,,,,0
0.3,2,x4,1,,,,,0
0.3,2,x4,2,,,,,0
0.3,2,x4,3,,,,,0
0.3,2,x4,4,,,,,0
0.3,2,x4,5,,,,,0
0.3,2,x4,6,,,,,0
0.3,2,x4,7,,,,,0
0.3,2,x4,8,,,,,0
0.3,2,x4,9,,,,,0
0.3,2,x4,10,,,,,0
0.3,2,x4,11,,,,,0
0.3,2,x4,12,,,,,0
0.3,2,x4,13,,,,,0
0.3,2,x4,14,,,,,0
0.3,2,x4,15,,,,,0
0.3,2,x4,16,,,,,0
0.3,2,x4,17,,,,,0
0.3,2,x4,18,,,,,0
0.3,2,x4,19,,,,,0
0.3,2,x4,20,,,,,0
0.3,2,x4,21,,,,,0
0.3,2,x4,22,,,,,0
0.3,2,x4,23,,,,,0
0.3,2,x4,24,,,,,0
0.3,2,x4,25,,,,,0
0.3,2,x4,26,,,,,0
0.3,2,x4,27,,,,,0
0.3,2,x4,28,,,,,0
0.3,2,x4,29,,,,,0
0.3,2,x4,30,,,,,0
0.3,2,x4,31,,,,,0
0.3,2,x4,32,,,,,0
0.3,2,x4,33,,,,,0
0.3,2,x4,34,,,,,0
0.3,2,x4,35,,,,,0
0.3,2,x4,36,,,,,0
0.3,2,x4,37,,,,,0
0.3,2,x4,38,,,,,0
0.3,2,x4,39,,,,,0
0.3,2,x4,40,,,,,0
0.3,2,x4,41,,,,,0
0.3,2,x4,42,,,,,0
0.3,2,x4,43,,,,,0
0.3,2,x4,44,,,,,0
0.3,2,x4,45,,,,,0
0.3,2,x4,46,,,,,0
0.3,2,x4,47,,,,,0
0.3,2,x4,48,,,,,0
0.3,2,x4,49,,,,,0
0.3,2,x4,50,,,,,0
0.3,2,x4,51,,,,,0
0.3,2,x4,52,,,,,0
0.3,2,x4,53,,,,,0
0.3,2,x4,54,,,,,0
0.3,2,x4,55,,,,,0
0.3,2,x4,56,,,,,0
0.3,2,x4,57,,,,,0
0.3,2,x4,58,,,,,0
0.3,2,x4,59,,,,,0
0.3,2,x4,60,,,,,0
0.3,2,x4,61,,,,,0
0.3,2,x4,62,,,,,0
0.3,2,x4,63,,,,,0
0.3,2,x4,64,,,,,0
0.3,2,x4,65,,,,,0
0.3,2,x4,66,,,,,0
0.3,2,x4,67,,,,,0
0.3,2,x4,68,,,,,0
0.3,2,x4,69,,,,,0
0.3,2,x2,0,0.09118009138166257,6.337016351025548,662.3710943475584,1492.2963939459066,8
