k_bin,k_mid,Matern s=0.3 nugget0,GC a=0.7 b=0.15 nugget0,GC a=0.7 b=0.1 nugget0,GC a=0.7 b=0.07 nugget0,GC a=0.8 b=0.15 nugget0,GC a=0.8 b=0.1 nugget0,GC a=0.8 b=0.07 nugget0
0,0.5729,15.0540,1.8055,1.6261,1.5226,2.0040,1.7808,1.6541
1,1.7187,2.3938,1.1560,1.0802,1.0344,1.2546,1.1604,1.1045
2,2.8645,0.9014,0.8931,0.8530,0.8279,0.9512,0.9017,0.8711
3,4.0103,0.6189,0.8433,0.8159,0.7983,0.8857,0.8521,0.8308
4,5.1561,0.5605,0.8697,0.8473,0.8327,0.9045,0.8774,0.8599
5,6.3019,0.4503,0.7468,0.7324,0.7228,0.7703,0.7529,0.7414
6,7.4477,0.5359,0.8973,0.8825,0.8725,0.9202,0.9028,0.8910
7,8.5935,0.5405,0.9095,0.8979,0.8899,0.9270,0.9135,0.9042
8,9.7393,0.5902,0.9778,0.9677,0.9605,0.9920,0.9805,0.9724
9,10.8851,0.5661,0.9223,0.9147,0.9092,0.9321,0.9237,0.9175
10,12.0309,0.5956,0.9516,0.9457,0.9413,0.9582,0.9518,0.9470
11,13.1767,0.5577,0.8756,0.8723,0.8696,0.8785,0.8752,0.8723
12,14.3225,0.6240,0.9466,0.9427,0.9396,0.9488,0.9450,0.9419
13,15.4683,0.6612,0.9754,0.9725,0.9701,0.9757,0.9732,0.9708
14,16.6141,0.7060,1.0142,1.0122,1.0102,1.0130,1.0115,1.0097
15,17.7599,0.7411,1.0366,1.0352,1.0336,1.0340,1.0333,1.0321
16,18.9057,0.7853,1.0711,1.0702,1.0690,1.0675,1.0675,1.0667
17,20.0515,0.7836,1.0416,1.0414,1.0407,1.0373,1.0381,1.0379
18,21.1974,0.8109,1.0488,1.0486,1.0479,1.0444,1.0453,1.0452
19,22.3432,0.8544,1.0766,1.0766,1.0761,1.0721,1.0732,1.0733
20,23.4890,0.8416,1.0380,1.0382,1.0378,1.0336,1.0349,1.0352
21,24.6348,0.8894,1.0735,1.0738,1.0735,1.0692,1.0707,1.0710
22,25.7806,0.9431,1.1138,1.1144,1.1143,1.1095,1.1113,1.1119
23,26.9264,0.8964,1.0386,1.0396,1.0399,1.0348,1.0369,1.0379
24,28.0722,0.9602,1.0905,1.0909,1.0907,1.0876,1.0892,1.0897
25,29.2180,0.9585,1.0669,1.0672,1.0671,1.0649,1.0663,1.0668
26,30.3638,0.9745,1.0642,1.0643,1.0641,1.0630,1.0642,1.0646
27,31.5096,1.0281,1.1061,1.1062,1.1060,1.1055,1.1067,1.1072
28,32.6554,1.0234,1.0839,1.0841,1.0839,1.0842,1.0854,1.0858
29,33.8012,1.0085,1.0503,1.0501,1.0498,1.0515,1.0523,1.0525
30,34.9470,1.0332,1.0604,1.0601,1.0596,1.0626,1.0632,1.0633
31,36.0928,1.0428,1.0558,1.0553,1.0548,1.0589,1.0593,1.0593
32,37.2386,1.0830,1.0820,1.0813,1.0807,1.0861,1.0863,1.0862
33,38.3844,1.1230,1.1096,1.1088,1.1081,1.1148,1.1147,1.1145
34,39.5302,1.0946,1.0704,1.0697,1.0691,1.0761,1.0761,1.0759
35,40.6760,1.0479,1.0156,1.0147,1.0140,1.0218,1.0215,1.0212
36,41.8218,1.1356,1.0888,1.0875,1.0865,1.0965,1.0958,1.0952
37,42.9676,1.1052,1.0501,1.0488,1.0478,1.0585,1.0576,1.0569
38,44.1134,1.1096,1.0460,1.0445,1.0434,1.0551,1.0540,1.0532
39,45.2592,1.1158,1.0438,1.0421,1.0410,1.0535,1.0523,1.0514
40,46.4050,1.1126,1.0347,1.0330,1.0319,1.0450,1.0437,1.0427
41,47.5508,1.1242,1.0380,1.0361,1.0348,1.0490,1.0474,1.0463
42,48.6966,1.1059,1.0154,1.0134,1.0121,1.0269,1.0251,1.0239
43,49.8424,1.1568,1.0574,1.0554,1.0540,1.0699,1.0680,1.0668
44,50.9882,1.1239,1.0232,1.0212,1.0198,1.0362,1.0343,1.0330
45,52.1340,1.1381,1.0311,1.0288,1.0274,1.0450,1.0428,1.0414
46,53.2798,1.1162,1.0069,1.0048,1.0034,1.0210,1.0190,1.0176
47,54.4256,1.1134,1.0004,0.9979,0.9962,1.0154,1.0128,1.0112
48,55.5714,1.1006,0.9856,0.9829,0.9811,1.0012,0.9984,0.9967
49,56.7172,1.0907,0.9722,0.9694,0.9676,0.9882,0.9853,0.9834
50,57.8630,1.0698,0.9506,0.9477,0.9459,0.9669,0.9638,0.9619
51,59.0088,1.0927,0.9671,0.9641,0.9622,0.9842,0.9810,0.9789
52,60.1546,1.0767,0.9505,0.9474,0.9454,0.9678,0.9645,0.9624
53,61.3005,1.0596,0.9324,0.9293,0.9273,0.9500,0.9465,0.9444
54,62.4463,1.0629,0.9327,0.9295,0.9274,0.9507,0.9471,0.9449
