frequency_band,k_mid_min,k_mid_max,Matern s=0.3 nugget0,GC a=0.7 b=2 nugget0,GC a=0.7 b=1 nugget0,GC a=0.7 b=0.5 nugget0
ultra_low,0.5729,5.1561,1.6576,1.1885,1.0318,0.8806
low_mid,6.3019,16.6141,0.8765,0.9339,0.9478,0.9430
mid,17.7599,33.8012,1.0949,1.0744,1.0794,1.0775
high,34.9470,56.7172,1.0667,1.0454,1.0395,1.0328
very_high,57.8630,79.6333,0.9234,0.9165,0.9085,0.9015
